feature_set,candidate,scenario,n_diff_cells,top_targets,prob_pressure_min_public_better,prefers_favorable_min
shape_only,e144,global_t010,185,"S2,Q1,Q3,Q1",0.026081578866299814,False
shape_only,e144,global_t010_subject_t010,185,"Q1,Q1,Q1,Q3",0.005881782330853212,False
shape_only,e144,global_t010_subject_t020,185,"S2,Q1,Q1,Q3",0.017316907305231305,False
shape_only,e154,global_t010,294,"Q3,Q3,Q3,Q3",0.0013693627205825436,False
shape_only,e154,global_t010_subject_t010,294,"Q3,Q3,Q3,Q3",0.0018161849632728946,False
shape_only,e154,global_t010_subject_t020,294,"Q3,Q3,Q3,Q3",0.0016447166511099401,False
shape_only,e176,global_t010,904,"S1,Q3,Q3,Q3",0.9208640171348335,True
shape_only,e176,global_t010_subject_t010,904,"S1,Q3,Q3,Q3",0.9333240893587454,True
shape_only,e176,global_t010_subject_t020,904,"S1,Q3,Q3,Q3",0.9235085194617719,True
shape_support,e144,global_t010,185,"S2,Q1,Q3,Q1",0.008419754936755612,False
shape_support,e144,global_t010_subject_t010,185,"Q1,Q1,Q1,Q3",0.00710113021936318,False
shape_support,e144,global_t010_subject_t020,185,"S2,Q1,Q1,Q3",0.0022415871336842145,False
shape_support,e154,global_t010,294,"Q3,Q3,Q3,Q3",0.0009401148931608093,False
shape_support,e154,global_t010_subject_t010,294,"Q3,Q3,Q3,Q3",0.004709561512472198,False
shape_support,e154,global_t010_subject_t020,294,"Q3,Q3,Q3,Q3",0.0012678701666250583,False
shape_support,e176,global_t010,904,"S1,Q3,Q3,Q3",0.8201106025581956,True
shape_support,e176,global_t010_subject_t010,904,"S1,Q3,Q3,Q3",0.8752501959410512,True
shape_support,e176,global_t010_subject_t020,904,"S1,Q3,Q3,Q3",0.7540475465648767,True
shape_support_public_axis,e144,global_t010,185,"S2,Q1,Q3,Q1",0.008419754936756011,False
shape_support_public_axis,e144,global_t010_subject_t010,185,"Q1,Q1,Q1,Q3",0.007101130219363413,False
shape_support_public_axis,e144,global_t010_subject_t020,185,"S2,Q1,Q1,Q3",0.002241587133684244,False
shape_support_public_axis,e154,global_t010,294,"Q3,Q3,Q3,Q3",0.0009401148931607827,False
shape_support_public_axis,e154,global_t010_subject_t010,294,"Q3,Q3,Q3,Q3",0.004709561512472156,False
shape_support_public_axis,e154,global_t010_subject_t020,294,"Q3,Q3,Q3,Q3",0.0012678701666250269,False
shape_support_public_axis,e176,global_t010,904,"S1,Q3,Q3,Q3",0.8201106025581942,True
shape_support_public_axis,e176,global_t010_subject_t010,904,"S1,Q3,Q3,Q3",0.8752501959410511,True
shape_support_public_axis,e176,global_t010_subject_t020,904,"S1,Q3,Q3,Q3",0.7540475465648748,True
