calendar_context,train_span_zone,test_run_length,dominant_target,n_rows,mean_abs_move,max_abs_move,mean_mixmin_raw05_distance
gap_adjacent,after_train_end,5,S3,1,0.014170422057909011,0.02022696915834754,0.013509029790658877
gap_adjacent,inside_train_calendar,2,S4,1,0.013617576522865524,0.01985024936196389,0.013921241934770567
gap_adjacent,inside_train_calendar,1,S3,2,0.012484001852286424,0.020420654760021306,0.013800112834919893
between_train_runs,inside_train_calendar,15,S4,1,0.012136883653491979,0.020284937168729367,0.011358323015959229
gap_adjacent,after_train_end,8,S1,1,0.011737639856494005,0.02052138096737688,0.011201715842792762
gap_adjacent,inside_train_calendar,5,S4,2,0.01150515257620979,0.02049647554508688,0.011908217400669219
after_train_run,after_train_end,5,Q3,2,0.011460690112273984,0.02046741567653887,0.011817398888425607
between_train_runs,inside_train_calendar,6,Q1,4,0.011435890168577857,0.020516716581959415,0.012085659477976395
gap_adjacent,inside_train_calendar,3,Q1,3,0.011224644472766112,0.019260863120976524,0.012012914731411093
gap_adjacent,after_train_end,4,S2,6,0.011087113662968473,0.0205074470448936,0.011752814662778296
gap_adjacent,inside_train_calendar,3,S4,2,0.0108489740311511,0.019996775775076914,0.01162871834153241
gap_adjacent,inside_train_calendar,2,Q1,3,0.010643743921976563,0.020451976150106632,0.01102425314687562
after_train_run,after_train_end,3,S2,1,0.010641533862437396,0.015489055589985812,0.01171747796989932
gap_adjacent,inside_train_calendar,1,S1,1,0.010566430448498476,0.018568273661406176,0.010465025350905124
between_train_runs,inside_train_calendar,3,S4,2,0.01054298170587956,0.020454313013027248,0.010304003919008391
gap_adjacent,inside_train_calendar,5,Q2,1,0.010451944272562796,0.017895448077255183,0.010616368169209855
gap_adjacent,after_train_end,3,S3,5,0.010370966839234969,0.020343478151537975,0.011623860561807442
gap_adjacent,after_train_end,1,S4,1,0.0103507571025601,0.02040881749804574,0.009941574235010627
gap_adjacent,after_train_end,4,S1,3,0.010296501147013628,0.01812340291939074,0.011844477380158246
gap_adjacent,after_train_end,1,Q3,1,0.010295178316559492,0.020478885932179614,0.012135663589380992
