source_scope,view,model,split,target_kind,tail_q,policy,tail_auc,tail_logloss,tail_brier,corr_benefit,active_full_delta,active_policy_delta,loss_vs_full,q3_policy_delta,q3_full_delta,s4_policy_delta,s4_full_delta,subject_delta,subject_win_rate,dropped_cells,dropped_q3,dropped_s4,dropped_mean_benefit,dropped_bad_prob_mean,mean_amp_active,stress_promote
q3s4,movement,hgb_shallow,row5,risk,0.2,drop_q3_top25,0.8664799253034547,0.33771821118371204,0.11518884620204049,-0.10338723015322139,-0.0038461243581564553,-0.004440365815250202,-0.0005942414570937471,-0.00545059600896125,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004520940580405253,0.7,25,25,0,-0.021392692455375437,0.5796662467152568,0.9722222222222222,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_q3_p20,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.004408623892809604,-0.0005624995346531492,-0.0053871121640799435,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004192907568860238,0.7,90,90,0,-0.0056249953465313685,0.7205474908076884,0.9,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_q3_p20,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.004408623892809604,-0.0005624995346531492,-0.0053871121640799435,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004192907568860238,0.7,90,90,0,-0.0056249953465313685,0.7200774476647727,0.9,True
q3s4,movement,hgb_shallow,row5,risk,0.2,drop_q3_top21,0.8664799253034547,0.33771821118371204,0.11518884620204049,-0.10338723015322139,-0.0038461243581564553,-0.004373798079402302,-0.0005276737212458471,-0.0053174605372656725,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004450902340972262,0.7,21,21,0,-0.022614588053397406,0.5849310590406352,0.9766666666666667,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_global_top40,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.004350977186838079,-0.0005048528286816234,-0.004635247196026371,-0.004262113094773756,-0.00406670717765012,-0.0034301356215395984,-0.004407431378758597,0.7,40,18,22,-0.011359188645335496,0.8101691013516884,0.9555555555555556,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_global_top40,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.004350977186838079,-0.0005048528286816234,-0.004635247196026371,-0.004262113094773756,-0.00406670717765012,-0.0034301356215395984,-0.004407431378758597,0.7,40,18,22,-0.011359188645335496,0.8097804271727348,0.9555555555555556,True
q3s4,movement,hgb_shallow,row5,risk,0.2,drop_q3_p05,0.8664799253034547,0.33771821118371204,0.11518884620204049,-0.10338723015322139,-0.0038461243581564553,-0.004350892440043497,-0.0005047680818870415,-0.005271649258548061,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004425762005090617,0.7,22,22,0,-0.02064960334992696,0.5834747468683136,0.9755555555555555,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_global_top50,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.004331902588652903,-0.00048577823049644753,-0.004562809396974066,-0.004262113094773756,-0.004100995780331962,-0.0034301356215395984,-0.004350150760966997,0.8,50,25,25,-0.008744008148934048,0.7985697012597189,0.9444444444444444,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_each_top25,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.004331902588652903,-0.00048577823049644753,-0.004562809396974066,-0.004262113094773756,-0.004100995780331962,-0.0034301356215395984,-0.004350150760966997,0.8,50,25,25,-0.008744008148934048,0.7985697012597189,0.9444444444444444,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_global_top50,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.004331902588652903,-0.00048577823049644753,-0.004562809396974066,-0.004262113094773756,-0.004100995780331962,-0.0034301356215395984,-0.004350150760966997,0.8,50,25,25,-0.008744008148934048,0.798191252446421,0.9444444444444444,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_each_top25,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.004331902588652903,-0.00048577823049644753,-0.004562809396974066,-0.004262113094773756,-0.004100995780331962,-0.0034301356215395984,-0.004350150760966997,0.8,50,25,25,-0.008744008148934048,0.798191252446421,0.9444444444444444,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.2,drop_q3_top25,0.528801738972919,0.711258703610836,0.2581645702437995,0.0013724512171627058,-0.0038461243581564553,-0.004271725217159017,-0.0004256008590025617,-0.005113314812778658,-0.004262113094773756,-0.0034301356215395984,-0.0034301356215395984,-0.004294454543881177,0.7,25,25,0,-0.015321630924089549,0.6949466729253146,0.9722222222222222,True
all3,latent_no_targetid,hgb_shallow,subject5,contrast,0.1,drop_global_p20,0.5915952179688443,0.6869103754658927,0.24681893343572117,0.059447304182907584,-0.0038461243581564553,-0.004261599703531571,-0.0004154753453751159,-0.005361256854776175,-0.004262113094773756,-0.003161942552287411,-0.0034301356215395984,-0.004089299956150272,0.8,180,89,91,-0.002077376726875577,0.7227155955355834,0.8,True
all3,latent_with_targetid,hgb_shallow,subject5,contrast,0.1,drop_global_p20,0.5925612848689771,0.6863862687936478,0.24656790974674483,0.06055346532164935,-0.0038461243581564553,-0.004261599703531571,-0.0004154753453751159,-0.005361256854776175,-0.004262113094773756,-0.003161942552287411,-0.0034301356215395984,-0.004089299956150272,0.8,180,89,91,-0.002077376726875577,0.7226048424753263,0.8,True
all3,movement,hgb_shallow,row5,contrast,0.1,drop_s4_p20,0.5885073418892358,0.6964610543744182,0.25152757013554516,0.02201365070974386,-0.0038461243581564553,-0.0042478049118594985,-0.00040168055370304323,-0.004262113094773756,-0.004262113094773756,-0.004233496728945463,-0.0034301356215395984,-0.004270076251003918,0.7,90,0,90,-0.004016805537030015,0.8383917403791447,0.9,True
