mask_name,ranker,rows,all_four,e154_submit,actionable,relaxed,budget_ok,post101_ok,best_all_minus_base,best_all_four_all_minus_base,best_post101_p95,best_e72_gap,min_q2s3_l1,min_e101_active_l1,min_tail_equal_resid
top_s3_e101_3,s3_e101,408,4,4,183,25,408,108,-1.2747435848337041e-05,-1.2158049659705128e-05,-5.645072505257483e-06,-1.071463990816421e-05,0.0009759994224782698,5.605604268828723e-05,0.24040058748850618
s3_e101_active,full,306,3,3,139,28,306,81,-1.2744656288421474e-05,-1.2153586834817709e-05,-5.644206420732795e-06,-1.071463990816421e-05,0.0009703938182094645,2.34257058195908e-16,0.24040058748850618
top_s3_e101_2,s3_e101,408,2,2,175,29,408,114,-1.2753089989936406e-05,-1.2145034615884676e-05,-5.64683428218921e-06,-1.071463990816421e-05,0.000981605026747075,0.00011211208537634021,0.24040058748850618
top_s3_e101_1,s3_e101,408,1,1,83,99,408,132,-1.2774687416561292e-05,-1.2138530084304655e-05,-5.653563835622516e-06,-1.071463990816421e-05,0.0010189757218724432,0.0004858190366300208,0.24040058748850618
top_s3_abs_1,s3_abs,408,0,0,104,80,408,80,-1.2689512889019205e-05,,-5.627024260134823e-06,-1.071463990816421e-05,0.0010098915986071666,0.0008595259878837042,0.24040058748850618
top_s3_composite_5,s3_composite,408,0,0,206,28,408,45,-1.2630950979253264e-05,,-5.6087769241085804e-06,-1.071463990816421e-05,0.0009239389998188198,2.34257058195908e-16,0.24040058748850618
top_s3_abs_2,s3_abs,408,0,0,192,36,408,36,-1.2582959979523523e-05,,-5.593823383457262e-06,-1.071463990816421e-05,0.0009663670304939013,0.0008595259878837042,0.24040058748850618
top_s3_abs_3,s3_abs,408,0,0,206,23,408,23,-1.250925085394261e-05,,-5.570856318550208e-06,-1.071463990816421e-05,0.000924588521754228,0.0008595259878837042,0.24040058748850618
top_s3_abs_5,s3_abs,408,0,0,208,11,408,11,-1.2445534120053559e-05,,-5.5510027881852514e-06,-1.071463990816421e-05,0.0008498471315034886,0.0005200000000002242,0.24040058748850618
top_s3_composite_8,s3_composite,408,0,0,208,8,408,8,-1.2409490361742215e-05,,-5.539771894722512e-06,-1.071463990816421e-05,0.000801265227840511,2.34257058195908e-16,0.24040058748850618
top_s3_abs_8,s3_abs,408,0,0,208,7,408,7,-1.2399430717846549e-05,,-5.536637405031137e-06,-1.071463990816421e-05,0.0007377350461273811,0.0005200000000002242,0.24040058748850618
top_s3_composite_13,s3_composite,408,0,0,208,4,408,4,-1.2338630283825758e-05,,-5.517692566064088e-06,-1.071463990816421e-05,0.0006144117522136651,2.34257058195908e-16,0.24040058748850618
top_s3_abs_13,s3_abs,408,0,0,208,4,408,4,-1.2201720347659872e-05,,-5.475032727603644e-06,-1.071463990816421e-05,0.0005508815705005365,0.00048681817783085,0.24040058748850618
top_s3_composite_3,s3_composite,12,0,0,0,0,12,3,-1.2165388640128505e-05,,-4.513155575804679e-06,-4.82979188826593e-07,0.0009759994224782698,5.605604268828723e-05,0.25156090530028935
top_s3_composite_21,s3_composite,408,0,0,208,0,408,0,-1.206369975104149e-05,,,-1.071463990816421e-05,0.0003154461912107173,2.34257058195908e-16,0.24040058748850618
top_s3_abs_21,s3_abs,408,0,0,208,0,408,0,-1.2006648053342062e-05,,,-1.071463990816421e-05,0.00024800000000003807,0.00011211208537634021,0.24040058748850618
top_s3_composite_34,s3_composite,408,0,0,208,0,408,0,-1.1828862067964074e-05,,,-1.071463990816421e-05,8.903970041045755e-05,2.34257058195908e-16,0.24040058748850618
top_s3_abs_34,s3_abs,408,0,0,208,0,408,0,-1.1810623829044964e-05,,,-1.071463990816421e-05,8.903970041045588e-05,0.00011211208537634021,0.24040058748850618
s3_non_e101,full,306,0,0,156,0,306,0,-1.1777633534326704e-05,,,-1.071463990816421e-05,8.595259878838676e-05,0.0008595259878837042,0.24040058748850618
s3_all,full,306,0,0,156,0,306,0,-1.1730209545257608e-05,,,-1.071463990816421e-05,3.9767451484595826e-17,2.34257058195908e-16,0.24040058748850618
