pred_index,base_index,tag,keep_targets,selection_mode,requested_n,selected_n,unique_source_files,unique_seed_ranks,source_families,aggregator,shrink,source_best_all_delta,source_median_all_delta,source_worst_all_delta,source_best_inverse_top_delta,source_median_inverse_top_delta,mean_abs_logit_move_raw,active_cells,active_rows,all_delta_vs_mixmin,all_minus_base,all_worst_minus_base,set_inverse_top_delta_vs_mixmin,set_inverse_top_minus_base,set_inverse_top_worst_minus_base,set_raw05_compatible_delta_vs_mixmin,set_raw05_compatible_minus_base,set_raw05_compatible_worst_minus_base,set_all_sign_delta_vs_mixmin,set_all_sign_minus_base,set_all_sign_worst_minus_base,best_set_delta_vs_mixmin,worst_set_delta_vs_mixmin,sets_beating_base,sets_tail_neutral,row_id,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,nonanchor_evaluated,mean_abs_logit_move_vs_mixmin,mean_abs_q2s3_logit_move_vs_mixmin,all_beats_base,all_margin_vs_mixmin,all_sets_beat_base,all_sets_tail_neutral,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,block_tail_safe,strict_gate,loose_gate,deployable_gate,structural_all_sets_tail_neutral,structural_all_sets_beat_base,structural_hidden_core_beats_base,structural_world_nonworse,structural_raw_energy_nonworse,structural_strict_gate,structural_loose_gate,materialized_submission
65,0,e86_mean_top_40_s1.25_a3f7c96f,"Q2,S1,S2,S3",top,40,40,18,40,"gate,rawcorr_micro,rawcorr_refine",mean,1.25,-2.382255741384398e-05,-2.3269732116304453e-05,-2.3162078546690168e-05,-8.651093079792282e-06,-6.453296285846566e-06,0.00606414534733855,579,250,-2.7705869828476004e-05,-2.7705869828476004e-05,-3.498042661254086e-05,-6.9100032192848104e-06,-6.9100032192848104e-06,-1.3700079533940368e-05,-3.533869208549589e-05,-3.533869208549589e-05,-3.498042661254086e-05,-4.086891418064731e-05,-4.086891418064731e-05,-3.498042661254086e-05,-4.086891418064731e-05,-6.9100032192848104e-06,3,3,64,-0.0003074391775771235,-0.00017278562923006557,-0.00023918120377530716,-0.000290814306410897,-0.00046435628805567564,-0.0003775852972332863,-0.0005349503017766118,1.982541115402065e-17,0.8333333333333334,1.0,True,0.006064145347338555,0.005556388911177617,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
200,0,e86_mean_seed_rank_40_s1.25_a3f7c96f,"Q2,S1,S2,S3",seed_rank,40,40,18,40,"gate,rawcorr_micro,rawcorr_refine",mean,1.25,-2.382255741384398e-05,-2.3269732116304453e-05,-2.3162078546690168e-05,-8.651093079792282e-06,-6.453296285846566e-06,0.00606414534733855,579,250,-2.7705869828476004e-05,-2.7705869828476004e-05,-3.498042661254086e-05,-6.9100032192848104e-06,-6.9100032192848104e-06,-1.3700079533940368e-05,-3.533869208549589e-05,-3.533869208549589e-05,-3.498042661254086e-05,-4.086891418064731e-05,-4.086891418064731e-05,-3.498042661254086e-05,-4.086891418064731e-05,-6.9100032192848104e-06,3,3,199,-0.0003074391775771235,-0.00017278562923006557,-0.00023918120377530716,-0.000290814306410897,-0.00046435628805567564,-0.0003775852972332863,-0.0005349503017766118,1.982541115402065e-17,0.8333333333333334,1.0,True,0.006064145347338555,0.005556388911177617,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
75,0,e86_trim20_top_40_s1.25_62c8c6bb,"Q2,S1,S2,S3",top,40,40,18,40,"gate,rawcorr_micro,rawcorr_refine",trim20,1.25,-2.382255741384398e-05,-2.3269732116304453e-05,-2.3162078546690168e-05,-8.651093079792282e-06,-6.453296285846566e-06,0.005975265642174512,579,250,-2.764144183131645e-05,-2.764144183131645e-05,-3.481747076239383e-05,-6.802918651072076e-06,-6.802918651072076e-06,-1.3554105958935025e-05,-3.5253197926632396e-05,-3.5253197926632396e-05,-3.481747076239383e-05,-4.0868208916244875e-05,-4.0868208916244875e-05,-3.481747076239383e-05,-4.0868208916244875e-05,-6.802918651072076e-06,3,3,74,-0.00027801226006283765,-0.00015213310171346972,-0.00023136140440846442,-0.00023190668593459085,-0.0004609090708969088,-0.0003464078784157498,-0.0005058949616760307,1.586032892321652e-17,0.8333333333333334,1.0,True,0.005975265642174516,0.005260076838338687,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
210,0,e86_trim20_seed_rank_40_s1.25_62c8c6bb,"Q2,S1,S2,S3",seed_rank,40,40,18,40,"gate,rawcorr_micro,rawcorr_refine",trim20,1.25,-2.382255741384398e-05,-2.3269732116304453e-05,-2.3162078546690168e-05,-8.651093079792282e-06,-6.453296285846566e-06,0.005975265642174512,579,250,-2.764144183131645e-05,-2.764144183131645e-05,-3.481747076239383e-05,-6.802918651072076e-06,-6.802918651072076e-06,-1.3554105958935025e-05,-3.5253197926632396e-05,-3.5253197926632396e-05,-3.481747076239383e-05,-4.0868208916244875e-05,-4.0868208916244875e-05,-3.481747076239383e-05,-4.0868208916244875e-05,-6.802918651072076e-06,3,3,209,-0.00027801226006283765,-0.00015213310171346972,-0.00023136140440846442,-0.00023190668593459085,-0.0004609090708969088,-0.0003464078784157498,-0.0005058949616760307,1.586032892321652e-17,0.8333333333333334,1.0,True,0.005975265642174516,0.005260076838338687,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
50,0,e86_mean_top_20_s1.25_e40f112b,"Q2,S1,S2,S3",top,20,20,15,20,"gate,rawcorr_micro,rawcorr_refine",mean,1.25,-2.382255741384398e-05,-2.373950233469646e-05,-2.3270261102270595e-05,-8.651093079792282e-06,-8.502202809679282e-06,0.0059019010808139165,579,250,-2.741479835521865e-05,-2.741479835521865e-05,-3.395621740087673e-05,-7.4009369120942026e-06,-7.4009369120942026e-06,-1.3596315236785728e-05,-3.465681664405196e-05,-3.465681664405196e-05,-3.395621740087673e-05,-4.018664150950979e-05,-4.018664150950979e-05,-3.395621740087673e-05,-4.018664150950979e-05,-7.4009369120942026e-06,3,3,49,-0.00021992527640790627,-9.941228023890858e-05,-0.0002184506964431343,-0.00010511996278900204,-0.00049210903376809,-0.000298614498278546,-0.00047848397923427985,1.918411215142818e-05,0.75,0.9722222222222222,True,0.005901901080813918,0.005015293302724765,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
185,0,e86_mean_seed_rank_20_s1.25_e40f112b,"Q2,S1,S2,S3",seed_rank,20,20,15,20,"gate,rawcorr_micro,rawcorr_refine",mean,1.25,-2.382255741384398e-05,-2.373950233469646e-05,-2.3270261102270595e-05,-8.651093079792282e-06,-8.502202809679282e-06,0.0059019010808139165,579,250,-2.741479835521865e-05,-2.741479835521865e-05,-3.395621740087673e-05,-7.4009369120942026e-06,-7.4009369120942026e-06,-1.3596315236785728e-05,-3.465681664405196e-05,-3.465681664405196e-05,-3.395621740087673e-05,-4.018664150950979e-05,-4.018664150950979e-05,-3.395621740087673e-05,-4.018664150950979e-05,-7.4009369120942026e-06,3,3,184,-0.00021992527640790627,-9.941228023890858e-05,-0.0002184506964431343,-0.00010511996278900204,-0.00049210903376809,-0.000298614498278546,-0.00047848397923427985,1.918411215142818e-05,0.75,0.9722222222222222,True,0.005901901080813918,0.005015293302724765,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
80,0,e86_mean_top_80_s1.25_dfed81b9,"Q2,S1,S2,S3",top,80,80,18,80,"gate,rawcorr_micro,rawcorr_refine",mean,1.25,-2.382255741384398e-05,-2.3160697265489638e-05,-2.2964475070330614e-05,-8.712976644953407e-06,-6.528929415050566e-06,0.00623789566184525,579,250,-2.7328647598579003e-05,-2.7328647598579003e-05,-3.3466173918639264e-05,-6.970857310939493e-06,-6.970857310939493e-06,-1.390210327567587e-05,-3.4780429539194024e-05,-3.4780429539194024e-05,-3.3466173918639264e-05,-4.023465594538145e-05,-4.023465594538145e-05,-3.3466173918639264e-05,-4.023465594538145e-05,-6.970857310939493e-06,3,3,79,-0.00038958848972801553,-0.00023559074168300054,-0.000262505903746435,-0.0004433310192122897,-0.0004679709117227371,-0.0004556509654675134,-0.0006057317691533207,2.379049338482478e-17,0.8333333333333334,1.0,True,0.0062378956618452455,0.006182613289927905,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
215,0,e86_mean_seed_rank_80_s1.25_dfed81b9,"Q2,S1,S2,S3",seed_rank,80,80,18,80,"gate,rawcorr_micro,rawcorr_refine",mean,1.25,-2.382255741384398e-05,-2.3160697265489638e-05,-2.2964475070330614e-05,-8.712976644953407e-06,-6.528929415050566e-06,0.00623789566184525,579,250,-2.7328647598579003e-05,-2.7328647598579003e-05,-3.3466173918639264e-05,-6.970857310939493e-06,-6.970857310939493e-06,-1.390210327567587e-05,-3.4780429539194024e-05,-3.4780429539194024e-05,-3.3466173918639264e-05,-4.023465594538145e-05,-4.023465594538145e-05,-3.3466173918639264e-05,-4.023465594538145e-05,-6.970857310939493e-06,3,3,214,-0.00038958848972801553,-0.00023559074168300054,-0.000262505903746435,-0.0004433310192122897,-0.0004679709117227371,-0.0004556509654675134,-0.0006057317691533207,2.379049338482478e-17,0.8333333333333334,1.0,True,0.0062378956618452455,0.006182613289927905,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
90,0,e86_trim20_top_80_s1.25_fac19a88,"Q2,S1,S2,S3",top,80,80,18,80,"gate,rawcorr_micro,rawcorr_refine",trim20,1.25,-2.382255741384398e-05,-2.3160697265489638e-05,-2.2964475070330614e-05,-8.712976644953407e-06,-6.528929415050566e-06,0.006236888483535378,579,250,-2.715261237073996e-05,-2.715261237073996e-05,-3.2748594384179874e-05,-6.985388404823212e-06,-6.985388404823212e-06,-1.390929037281552e-05,-3.4516751101443255e-05,-3.4516751101443255e-05,-3.2748594384179874e-05,-3.995569760595341e-05,-3.995569760595341e-05,-3.2748594384179874e-05,-3.995569760595341e-05,-6.985388404823212e-06,3,3,89,-0.0004003718582456406,-0.00024427497305223866,-0.00026609176378086796,-0.00045644912062245413,-0.0004677989018807699,-0.000462124011251612,-0.000611503535212398,1.586032892321652e-17,0.8333333333333334,1.0,True,0.006236888483535363,0.006201764291683985,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
225,0,e86_trim20_seed_rank_80_s1.25_fac19a88,"Q2,S1,S2,S3",seed_rank,80,80,18,80,"gate,rawcorr_micro,rawcorr_refine",trim20,1.25,-2.382255741384398e-05,-2.3160697265489638e-05,-2.2964475070330614e-05,-8.712976644953407e-06,-6.528929415050566e-06,0.006236888483535378,579,250,-2.715261237073996e-05,-2.715261237073996e-05,-3.2748594384179874e-05,-6.985388404823212e-06,-6.985388404823212e-06,-1.390929037281552e-05,-3.4516751101443255e-05,-3.4516751101443255e-05,-3.2748594384179874e-05,-3.995569760595341e-05,-3.995569760595341e-05,-3.2748594384179874e-05,-3.995569760595341e-05,-6.985388404823212e-06,3,3,224,-0.0004003718582456406,-0.00024427497305223866,-0.00026609176378086796,-0.00045644912062245413,-0.0004677989018807699,-0.000462124011251612,-0.000611503535212398,1.586032892321652e-17,0.8333333333333334,1.0,True,0.006236888483535363,0.006201764291683985,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
