view_id,split,mean_spearman,mean_mae,mean_r2,mean_sign_hit_rate,positive_spearman_targets,S4_spearman,S4_mae,S4_sign_hit_rate,null_mean_spearman_median,null_mean_spearman_p90,null_dominance,representation_gate
calendar,subject_holdout,0.047842299878482576,0.5049323712488204,-0.03818427825373335,0.5265780730897011,5,0.0016040308454158228,0.5072385270227254,0.4883720930232558,-0.013421167262651783,0.05507625195073217,0.875,False
calendar,block_random5,-0.03753149795291282,0.5140626954454384,-0.08888636390830873,0.4900332225913621,3,-0.2769878205766288,0.5396271081603431,0.43023255813953487,-0.06856592462967263,0.0022980280766084684,0.7361111111111112,False
family_jepa,subject_holdout,0.14314125944681635,0.6295581998307908,-0.8605680317886383,0.553156146179402,7,0.12463319668880944,0.5436678390645983,0.5581395348837209,-0.009295283104305942,0.060745104908061495,0.9861111111111112,True
family_jepa,block_random5,-0.009149970104499985,0.5655665354218434,-0.3615570612516445,0.5033222591362126,3,-0.11300869079732535,0.580268162833023,0.47674418604651164,-0.056534471289596516,0.01892549721637835,0.75,False
story_episode,subject_holdout,0.08332580050893472,0.5260463068798653,-0.17112654748418546,0.5382059800664453,6,0.1089325653548569,0.5083019630560813,0.5465116279069767,-0.02692521803308514,0.05112030093932299,0.9583333333333334,True
story_episode,block_random5,0.050014213094786375,0.5430345541765442,-0.22311034808447375,0.5282392026578073,5,0.024843607152822716,0.5309617466780384,0.5116279069767442,-0.01452735242428555,0.06272443838789332,0.875,True
raw_top120,subject_holdout,-0.05850557344187485,36.28059159714642,-77871.44589933111,0.46511627906976744,3,0.11072530571149812,45.29833219427982,0.47674418604651164,-0.005670035176654939,0.061681766019399,0.1388888888888889,False
raw_top120,block_random5,-0.14775957803247045,0.6927092925921775,-1.1542965613554126,0.446843853820598,1,-0.09482652939075895,0.6466734322031124,0.43023255813953487,-0.053180182023947795,0.017983657479787418,0.06944444444444445,False
human_full,subject_holdout,0.04909841441834568,24.650085350049466,-35596.40478097012,0.5132890365448505,4,0.17760395648977664,18.401602487349955,0.5348837209302325,0.0011656909966605603,0.07309907762405243,0.7361111111111112,False
human_full,block_random5,-0.04252876639634929,0.6422697757582903,-0.7937823808473963,0.47009966777408635,3,-0.1366351216027443,0.6396668700989179,0.47674418604651164,-0.05793365843566056,0.015238755527227824,0.6527777777777778,False
