basename,changed_rows,changed_cells,mean_abs_logit_delta,max_abs_prob_delta,cos_with_e323_bad_delta,l1_ratio_to_e323_delta
submission_e331_localresid_Q1_jepa_resid_dateblock_pos_q80_s1p0_f55d27bb.csv,42,42,0.002040000000000006,0.021234382822725384,-0.055851972466253286,0.08031831391332939
submission_e331_localresid_Q1_jepa_resid_dateblock_pos_q80_s0p7_0d69fc41.csv,42,42,0.001428000000000001,0.014869186012345714,-0.05585197246623769,0.05622281973933045
submission_e331_localresid_Q1_jepa_resid_dateblock_pos_q80_s0p4_04e3c597.csv,42,42,0.0008160000000000051,0.008498683654340422,-0.05585197246619785,0.03212732556533186
submission_e331_localresid_S1_family_story_subject_abs_q75_s1p0_dbbbb40a.csv,45,45,0.0021141265738226726,0.0212343010106244,-0.030859662234843502,0.08323680480823552
submission_e331_localresid_S1_family_story_subject_abs_q75_s0p7_757d2f5a.csv,45,45,0.0014798886016758723,0.014869143785359806,-0.03085966223483446,0.058265763365764923
submission_e331_localresid_S1_family_story_subject_abs_q75_s0p4_d1b8887b.csv,45,45,0.0008456506295290666,0.008498668134564402,-0.030859662234812665,0.033294721923294114
submission_e331_localresid_Q1_jepa_resid_dateblock_pos_q90_s1p0_02a5d855.csv,11,11,0.0005342857142857151,0.02123385485453222,-0.0068765884162932805,0.02103574888206243
submission_e331_localresid_Q1_jepa_resid_dateblock_pos_q90_s0p7_cf6801db.csv,11,11,0.00037399999999999874,0.014859556023690823,-0.006876588416289627,0.014725024217443629
submission_e331_localresid_Q1_jepa_resid_dateblock_pos_q90_s0p4_01f360c3.csv,11,11,0.00021371428571428661,0.00848788884978735,-0.0068765884162798885,0.008414299552824994
submission_e331_localresid_Q2_jepa_resid_subject_abs_q75_s1p0_107d1dc1.csv,37,37,0.0017971428571428567,0.02124284300075474,-5.5054874787823736e-11,0.07075660987602805
submission_e331_localresid_Q2_jepa_resid_subject_abs_q75_s0p7_c1bceab6.csv,37,37,0.0012579999999999996,0.014867938858594887,-5.505487478780692e-11,0.04952962691321963
submission_e331_localresid_Q2_jepa_resid_subject_abs_q75_s0p4_38366bc2.csv,37,37,0.0007188571428571421,0.008496499426313142,-5.5054874787764897e-11,0.028302643950411197
submission_e331_localresid_S2_raw_day_subject_pos_q80_s1p0_d1be19f0.csv,51,51,0.0024161334830320636,0.02124573953193437,-5.38868896039601e-11,0.09512733703268364
submission_e331_localresid_S2_raw_day_subject_pos_q80_s0p7_5b1f4ee5.csv,51,51,0.0016912934381224309,0.01487389573833936,-5.38868896039464e-11,0.06658913592287802
submission_e331_localresid_S2_raw_day_subject_pos_q80_s0p4_f2b28a54.csv,51,51,0.0009664533932128241,0.008499521412339284,-5.3886889603905794e-11,0.03805093481307341
submission_e331_localresid_S2_family_dateblock_neg_q80_s1p0_4f176a4b.csv,31,31,0.0015045965576899354,0.02123486254965018,-3.420643553666183e-11,0.05923855815365427
submission_e331_localresid_S2_family_dateblock_neg_q80_s0p7_960a1b1d.csv,31,31,0.0010532175903829565,0.014860447046104619,-3.420643553665174e-11,0.041466990707558056
submission_e331_localresid_S2_family_dateblock_neg_q80_s0p4_2ed25e15.csv,31,31,0.0006018386230759731,0.0084885039160994,-3.420643553662032e-11,0.023695423261461665
submission_e331_localresid_Q2_jepa_resid_subject_pos_q80_s1p0_66fc29df.csv,51,51,0.0023550476719971882,0.021243699912507685,-2.2437888860686085e-11,0.09272228343153195
submission_e331_localresid_Q2_jepa_resid_subject_pos_q80_s0p7_70c65813.csv,51,51,0.001648533370398033,0.01487341790331631,-2.243788886067982e-11,0.06490559840207243
submission_e331_localresid_Q2_jepa_resid_subject_pos_q80_s0p4_8fe92177.csv,51,51,0.0009420190687988776,0.008499791555830416,-2.2437888860664707e-11,0.03708891337261288
submission_e331_localresid_Q2_jepa_resid_subject_blockabs_q65_s1p0_161afeb3.csv,55,55,0.002450168038415219,0.021244625873482137,-1.915372273777613e-11,0.0964673361028625
submission_e331_localresid_Q2_jepa_resid_subject_blockabs_q65_s0p7_bdaaf9a2.csv,55,55,0.0017151176268906524,0.01487369409556688,-1.915372273777097e-11,0.06752713527200371
submission_e331_localresid_Q2_jepa_resid_subject_blockabs_q65_s0p4_b3f7ac13.csv,55,55,0.000980067215366087,0.00849973664381437,-1.9153722737758352e-11,0.03858693444114498
submission_e331_localresid_S2_family_dateblock_neg_q90_s1p0_7114ebd9.csv,14,14,0.0006800000000000006,0.02123486254965018,-8.51686172295317e-12,0.026772771304443076
submission_e331_localresid_S2_family_dateblock_neg_q90_s0p7_5b532948.csv,14,14,0.0004760000000000008,0.014860447046104619,-8.516861722948738e-12,0.01874093991311017
submission_e331_localresid_S2_family_dateblock_neg_q90_s0p4_4c5567af.csv,14,14,0.00027199999999999994,0.0084885039160994,-8.516861722938107e-12,0.010709108521777219
submission_e331_localresid_S2_jepa_resid_dateblock_pos_q90_s0p4_f93bacb8.csv,14,14,0.0002720000000000023,0.008360635998959642,1.29385240975874e-10,0.01070910852177731
submission_e331_localresid_S2_jepa_resid_dateblock_pos_q90_s0p7_56200896.csv,14,14,0.0004759999999999999,0.01465371929776016,1.293852409760309e-10,0.018740939913110134
submission_e331_localresid_S2_jepa_resid_dateblock_pos_q90_s1p0_5d7f5eb2.csv,14,14,0.0006799999999999992,0.020963996130971774,1.2938524097609657e-10,0.02677277130444302
submission_e331_localresid_S2_jepa_resid_dateblock_pos_q80_s0p4_db9e2c3b.csv,54,54,0.001049142857142855,0.008499566573489714,1.3368508485517461e-10,0.04130656144114063
submission_e331_localresid_S2_jepa_resid_dateblock_pos_q80_s0p7_3276d49e.csv,54,54,0.0018359999999999974,0.014873882024068419,1.336850848552537e-10,0.07228648252199614
