combo,target,cell_group,n,loss_delta_mean,abs_step_mean,desired_abs_mean,label_rate,base_mean,cand_mean,cond_mean
q3_center_c010_s4_rank,Q3,toward,275,-0.004183432207890111,0.12156758490102686,0.8361663625129749,0.6,0.6170404253069656,0.6220546363409932,0.6117198866678435
q3_center_c010_s4_rank,Q3,not_toward,175,-0.008276837876976027,0.1094842152443817,0.6729135768466161,0.6,0.5876266860734979,0.5739957044856975,0.6512396421746746
q3_center_c010_s4_rank,Q3,closer,265,-0.0007102803721154682,0.11712399307184605,0.8658600801660477,0.6113207547169811,0.6193130377779428,0.6245139805645775,0.6135669407543501
q3_center_c010_s4_rank,Q3,not_closer,185,-0.013030628037999925,0.11650251541356743,0.6392038075417474,0.5837837837837838,0.5859612541141774,0.5730706401576063,0.6464576589963362
q3_center_c010_s4_rank,S4,toward,229,-0.006780612687079707,0.1245411941023395,0.677421163657021,0.5414847161572053,0.5670589666598512,0.5682703743098152,0.5464324052640962
q3_center_c010_s4_rank,S4,not_toward,221,0.000645115985705964,0.12101284805905556,0.7580011434223366,0.579185520361991,0.5564405268628916,0.5488791147889922,0.5782642037315295
q3_center_c010_s4_rank,S4,closer,217,-0.007113184468630166,0.12374798596833696,0.712728588008966,0.5483870967741935,0.566253300611424,0.5668385844245581,0.5443452643162574
q3_center_c010_s4_rank,S4,not_closer,233,0.0005724092583369563,0.12193330435775923,0.7209682213555736,0.5708154506437768,0.5577377406400256,0.5512112758162484,0.5785686157661725
s4_rank,S4,toward,229,-0.006780612687079707,0.1245411941023395,0.677421163657021,0.5414847161572053,0.5670589666598512,0.5682703743098152,0.5464324052640962
s4_rank,S4,not_toward,221,0.000645115985705964,0.12101284805905556,0.7580011434223366,0.579185520361991,0.5564405268628916,0.5488791147889922,0.5782642037315295
s4_rank,S4,closer,217,-0.007113184468630166,0.12374798596833696,0.712728588008966,0.5483870967741935,0.566253300611424,0.5668385844245581,0.5443452643162574
s4_rank,S4,not_closer,233,0.0005724092583369563,0.12193330435775923,0.7209682213555736,0.5708154506437768,0.5577377406400256,0.5512112758162484,0.5785686157661725
