candidate,target,mean_prob_move,mean_abs_prob_move,mean_logit_move,mean_abs_logit_move,active_rows,move_up_rate,threshold_for_candidate_to_win_weighted,high_mixmin_cell_mass_frac,high_e72_failed_cell_mass_frac,ce_train_prior,ce_subject_prior,ce_recent7_prior
mixmin_vs_a2c8,Q1,-0.0028842975930164867,0.010344763402565453,-0.014791961351349516,0.052753268733377406,199,0.284,0.46556134018298,0.4669388379419027,0.2100071354545342,0.0012560902595407765,0.0014442273185520439,0.0022829530811960246
mixmin_vs_a2c8,Q2,3.972765329302263e-05,0.005870504376167066,0.0001862967800466926,0.025618373823401406,124,0.248,0.5653320553704376,0.0,0.1074568011781253,-0.0007327963044266978,-0.0008679664115689295,-0.0012168417105367633
mixmin_vs_a2c8,Q3,6.051597053712154e-05,0.01153986754866692,0.0026802772814316046,0.05335057219239105,199,0.42,0.6230727268629579,0.49249181255730573,0.202319574324756,0.0008223626747665456,0.0006362044462369158,-0.0012876279643503682
mixmin_vs_a2c8,S1,-0.0007004723587572088,0.007326381460496998,-0.0064481075748214585,0.050967052154137535,195,0.336,0.6956475298705405,0.3544224991739852,0.33126999208539243,0.0025917845688922833,0.004670073652034525,0.006856487088713479
mixmin_vs_a2c8,S2,0.00046836035675918244,0.008394042269370256,-0.003322407908868559,0.04747831323512375,189,0.348,0.655070633828859,0.3251252403082553,0.1518202686564315,-0.005199122993485449,-0.0010608216506322067,-0.0012311534443316123
mixmin_vs_a2c8,S3,0.006412316739629967,0.009688316880300302,0.033700716431603696,0.05685829916991801,201,0.624,0.6343179063938176,0.3581343145553246,0.13890917209824674,-0.003348287255923657,-0.0018875752650724736,0.0010757152469828778
mixmin_vs_a2c8,S4,-0.0006053299563558174,0.006306894723427555,-0.0014644432742477154,0.032273520707312105,149,0.268,0.5302852092440389,0.3256504951943131,0.2095627290081986,0.002368409688714698,0.0001819674518313934,-0.0015852506360755708
e72_failed_vs_mixmin,Q1,-2.8137862361473753e-05,0.0014175891251746587,-0.00029342444322458944,0.007474067637788305,158,0.316,0.5111278750772562,0.27779304412197675,0.43409170567673905,-0.001337996338092877,-0.0013860155834786588,-0.0012645887913026546
e72_failed_vs_mixmin,Q2,1.2962851600022417e-05,0.0009906720486921236,-2.4712894126467377e-06,0.004326074059193732,40,0.124,0.537596391569228,0.0,0.9999999999999843,-0.00045038688443251463,-0.0006472744572825659,-3.00414292313092e-06
e72_failed_vs_mixmin,Q3,0.0001924448606301904,0.0015649501723855753,0.0004139803157018817,0.007189307751153376,157,0.36,0.5968361530544323,0.3431779024538621,0.4279432027543751,-0.000690537347369305,-0.0008148487944725813,0.0002501065260477757
e72_failed_vs_mixmin,S1,0.000499636201632342,0.0015530478463770519,0.00013629365993327115,0.0097554588070426,197,0.404,0.6339069101933528,0.203565504173543,0.47019355387392475,-0.002171009979946013,-0.0016118296419031517,-0.0013234980976696163
e72_failed_vs_mixmin,S2,0.0007675671488431929,0.0011999946163259926,0.0024793177545700093,0.00612764562318959,149,0.4,0.6198899307728618,0.18185036485411443,0.35602581058930155,-0.0007773462360580668,-0.00027714081889205,0.0004801149557226664
e72_failed_vs_mixmin,S3,9.665156635355676e-05,0.000757912380744903,-0.0008585118598042017,0.005281045637553398,39,0.112,0.7207248546486821,0.24626238587321803,0.9999999999999793,-0.0008517845166852153,-0.00013023939960077292,-6.167661734314847e-05
e72_failed_vs_mixmin,S4,-0.0002855409643667157,0.001329759887402997,-0.0021584785965295624,0.006635951991630595,153,0.232,0.623159394964304,0.11091260026880571,0.39619148776598223,-0.000972359544561865,-0.000403742100123928,1.2494860216848647e-05
e85_vs_mixmin,Q1,-9.93649607039515e-18,1.2601031329495527e-17,-5.0515147620444624e-17,6.294964549624637e-17,0,0.012,0.07692307692307697,0.37742504409171074,0.14814814814814814,2.781108676686017e-17,1.790234627208065e-17,1.7562340470789196e-17
e85_vs_mixmin,Q2,0.0,4.440892098500626e-18,-5.551115123125783e-19,1.4988010832439614e-17,0,0.02,,0.0,0.2518518518518518,9.992007221626408e-19,1.2212453270876721e-18,2.858824288409778e-18
e85_vs_mixmin,Q3,-2.4424906541753442e-18,7.771561172376097e-18,-6.772360450213455e-18,3.075317778211684e-17,0,0.024,,0.5126353790613718,0.1299638989169675,4.163336342344337e-18,4.218847493575595e-18,1.1102230246251566e-18
