candidate_id,basename,source_path,policy_id,target,view_id,split,rep,label_mode,gate_group,model,top_frac,delta_mode,scale,train_actual_delta,train_dominance,train_min_mode_dominance,test_selected_rows,test_delta_mean,test_delta_p90_abs,test_delta_l1,old_promotion_decision,old_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,incremental_bad_axis_vs_current,null_count,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,public_free_submission_ready,final_decision
Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_centered_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_centered_s050_4bfc096b.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_centered_s050_4bfc096b.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2,Q3,raw_human_context,subject5,pc,good,dateblock5,lr_l2,0.5,centered,0.5,-0.02281324244872729,0.9583333333333334,0.9375,125,0.013428913664793547,0.04,4.433393650944867,promote_candidate,True,-0.0004946496956193663,-0.0006327777812007012,-0.0003082526114092673,1.0,-0.0034048715860278966,15,1.0,0.0,0.3333333333333333,0.0,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf50_centered_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf50_centered_s050_ca3a22bc.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf50_centered_s050_ca3a22bc.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,good,dateblock5,hgb_shallow,0.5,centered,0.5,-0.020271177539041507,0.9895833333333334,0.96875,125,0.013092318896892937,0.04,4.384364161662693,promote_candidate,True,-0.0004713025151316862,-0.0006022602901920429,-0.00029883399932719215,1.0,-0.0048168617431024185,15,1.0,0.13333333333333333,0.5333333333333333,0.0,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf70_centered_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf70_centered_s050_6b9b622c.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf70_centered_s050_6b9b622c.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,good,dateblock5,hgb_shallow,0.7,centered,0.5,-0.019908213873707892,0.9166666666666666,0.875,175,0.012431694463356662,0.04,5.616519374806341,promote_candidate,True,-0.00044985528067390006,-0.0005757443075033987,-0.0002782463816133643,1.0,-0.00480393979691518,15,1.0,0.06666666666666667,0.13333333333333333,0.0,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf35_centered_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf35_centered_s050_25de31de.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf35_centered_s050_25de31de.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,good,dateblock5,hgb_shallow,0.35,centered,0.5,-0.018466115852563414,0.9375,0.90625,88,0.011099615112205544,0.04,3.251937889092143,promote_candidate,True,-0.00038117691852584165,-0.0004852100803194513,-0.00025624242389950903,1.0,-0.00864812546844776,15,1.0,0.26666666666666666,0.4,0.0,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_raw_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_raw_s050_b7ccfa00.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_raw_s050_b7ccfa00.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2,Q3,raw_human_context,subject5,pc,good,dateblock5,lr_l2,0.5,raw,0.5,-0.02281324244872729,0.9583333333333334,0.9375,125,0.011025163084254516,0.04,4.805603832557818,promote_candidate,True,-0.0004144101509760999,-0.0005338393666987808,-0.00024336004121279557,1.0,-0.0074630319977421755,15,1.0,0.0,0.2,0.0,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf25_centered_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf25_centered_s050_f1fad500.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf25_centered_s050_f1fad500.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2,Q3,raw_human_context,subject5,pc,good,dateblock5,lr_l2,0.25,centered,0.5,-0.01887677414508182,0.90625,0.75,62,0.00992,0.04,2.48,promote_candidate,True,-0.0003631735481627961,-0.00046342192922234116,-0.00023551136442635405,1.0,-0.010645485119071263,15,1.0,0.13333333333333333,0.5333333333333333,0.0,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf25_raw_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf25_raw_s050_51cf24a7.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf25_raw_s050_51cf24a7.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2,Q3,raw_human_context,subject5,pc,good,dateblock5,lr_l2,0.25,raw,0.5,-0.01887677414508182,0.90625,0.75,62,0.00991350276165017,0.04,2.4783756904125425,promote_candidate,True,-0.00036305492995081847,-0.00046328411687048096,-0.00023532762033249172,1.0,-0.010651953256516022,15,1.0,0.06666666666666667,0.26666666666666666,0.0,False,blocked_by_matched_nulls
Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l1_tf70_centered_s050,submission_e290_lifeplace_Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l1_tf70_centered_s050_30606fbd.csv,analysis_outputs/submission_e290_lifeplace_Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l1_tf70_centered_s050_30606fbd.csv,Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l1,Q3,family_jepa_context,dateblock5,pc,strong35,dateblock5,lr_l1,0.7,centered,0.5,-0.015035196276591556,1.0,1.0,60,0.009600000000000001,0.04,2.4000000000000004,promote_candidate,True,-0.00034436834037858194,-0.0004381444421928915,-0.0002330680144196407,1.0,-0.01241387083554879,15,1.0,1.0,0.6666666666666666,1.0,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf50_raw_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf50_raw_s050_74939ffd.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf50_raw_s050_74939ffd.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,good,dateblock5,hgb_shallow,0.5,raw,0.5,-0.020271177539041507,0.9895833333333334,0.96875,125,0.010219026636315876,0.04,4.685254376243219,promote_candidate,True,-0.00038257765777477567,-0.0004923424056134108,-0.00022645023535300345,1.0,-0.010466395541597756,15,1.0,0.06666666666666667,0.13333333333333333,0.0,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf35_raw_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf35_raw_s050_1ea8a352.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf35_raw_s050_1ea8a352.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,good,dateblock5,hgb_shallow,0.35,raw,0.5,-0.018466115852563414,0.9375,0.90625,88,0.00959339915397539,0.04,3.305354541070656,promote_candidate,True,-0.0003276569109713872,-0.00041730555794634264,-0.00021860907644844798,1.0,-0.01157840161140189,15,1.0,0.06666666666666667,0.0,0.0,False,blocked_by_matched_nulls
Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l2_tf50_centered_s050,submission_e290_lifeplace_Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l2_tf50_centered_s050_158fd2bf.csv,analysis_outputs/submission_e290_lifeplace_Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l2_tf50_centered_s050_158fd2bf.csv,Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l2,Q3,family_jepa_context,dateblock5,pc,strong35,dateblock5,lr_l2,0.5,centered,0.5,-0.014861037583915992,0.9583333333333334,0.875,47,0.00752,0.04,1.88,promote_candidate,True,-0.00027057178148261055,-0.0003442580977679323,-0.00018307794633556058,1.0,-0.010668796310890183,15,1.0,0.8666666666666667,0.6666666666666666,0.6,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf25_centered_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf25_centered_s050_b6dfaaae.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf25_centered_s050_b6dfaaae.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,good,dateblock5,hgb_shallow,0.25,centered,0.5,-0.016562553208593456,0.9479166666666666,0.84375,62,0.007862646609789943,0.04,2.3125955513862175,promote_candidate,True,-0.00028086193824914177,-0.000358641223493068,-0.0001801489995973632,1.0,-0.012791890096235381,15,1.0,0.6,0.5333333333333333,0.4,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_centered_s025,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_centered_s025_806d8c73.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2_tf50_centered_s025_806d8c73.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2,Q3,raw_human_context,subject5,pc,good,dateblock5,lr_l2,0.5,centered,0.25,-0.02281324244872729,0.9583333333333334,0.9375,125,0.006714456832396774,0.02,2.2166968254724333,promote_candidate,True,-0.00023570339961466615,-0.00030054916200028086,-0.00015461000909609973,1.0,-0.010565669212447892,15,1.0,0.26666666666666666,0.4666666666666667,0.0,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf25_raw_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf25_raw_s050_d7b9f020.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf25_raw_s050_d7b9f020.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,good,dateblock5,hgb_shallow,0.25,raw,0.5,-0.016562553208593456,0.9479166666666666,0.84375,62,0.006851278403501757,0.04,2.3528196008754394,promote_candidate,True,-0.00023855750085639675,-0.0003044638700392847,-0.0001542562579087607,1.0,-0.011655605486548815,15,1.0,0.13333333333333333,0.26666666666666666,0.0,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf50_centered_s025,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf50_centered_s025_036ece27.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow_tf50_centered_s025_036ece27.csv,Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow,Q3,raw_human_context,subject5,pc,good,dateblock5,hgb_shallow,0.5,centered,0.25,-0.020271177539041507,0.9895833333333334,0.96875,125,0.0065461594484464685,0.02,2.1921820808313464,promote_candidate,True,-0.00022212492847314098,-0.00028272613466379397,-0.0001494886811115167,1.0,-0.010867926750177725,15,1.0,0.4,0.4,0.2,False,blocked_by_matched_nulls
Q3_raw_human_context_subject5_pc_strong35_subject5_hgb_shallow_tf50_centered_s050,submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_subject5_hgb_shallow_tf50_centered_s050_699d69ad.csv,analysis_outputs/submission_e290_lifeplace_Q3_raw_human_context_subject5_pc_strong35_subject5_hgb_shallow_tf50_centered_s050_699d69ad.csv,Q3_raw_human_context_subject5_pc_strong35_subject5_hgb_shallow,Q3,raw_human_context,subject5,pc,strong35,subject5,hgb_shallow,0.5,centered,0.5,-0.020096584652324223,0.8958333333333334,0.71875,125,0.006676392364327118,0.04,4.010901908918221,promote_candidate,True,-0.00026821474295591003,-0.0003495788791869373,-0.00014272211121143833,1.0,-0.013975856647278212,15,1.0,0.2,0.26666666666666666,0.0,False,blocked_by_matched_nulls
