view_id,split,rep,target,base_loss,rep_loss,delta_logloss
family_jepa_context,subject5,pc,Q1,0.7133767632509279,0.7372079534014359,0.02383119015050794
family_jepa_context,subject5,pc,Q2,0.7227969273165776,0.7330302454164319,0.010233318099854283
family_jepa_context,subject5,pc,Q3,0.6943832259829932,0.7143935038667724,0.02001027788377918
family_jepa_context,subject5,pc,S1,0.6555027986685907,0.6984126480587046,0.042909849390113886
family_jepa_context,subject5,pc,S2,0.6809744824356668,0.7039485732724348,0.022974090836767935
family_jepa_context,subject5,pc,S3,0.6346768224885869,0.6761747184982149,0.041497896009627944
family_jepa_context,subject5,pc,S4,0.7226843518383355,0.7833221852574376,0.060637833419102116
family_jepa_context,subject5,cluster6,Q1,0.7133767632509279,0.7185526258797016,0.005175862628773675
family_jepa_context,subject5,cluster6,Q2,0.7227969273165776,0.7334825753079203,0.01068564799134264
family_jepa_context,subject5,cluster6,Q3,0.6943832259829932,0.6909463066947068,-0.0034369192882863775
family_jepa_context,subject5,cluster6,S1,0.6555027986685907,0.6660108409794567,0.010508042310865995
family_jepa_context,subject5,cluster6,S2,0.6809744824356668,0.688799455736431,0.007824973300764149
family_jepa_context,subject5,cluster6,S3,0.6346768224885869,0.6458635664862814,0.011186743997694482
family_jepa_context,subject5,cluster6,S4,0.7226843518383355,0.733359280951048,0.010674929112712506
family_jepa_context,dateblock5,pc,Q1,0.6763069666227742,0.6950413916887603,0.018734425065986104
family_jepa_context,dateblock5,pc,Q2,0.7047330121272107,0.7175431715004553,0.01281015937324459
family_jepa_context,dateblock5,pc,Q3,0.6798481239623563,0.6736485229426786,-0.006199601019677647
family_jepa_context,dateblock5,pc,S1,0.5784955811519379,0.5883665889569334,0.009871007804995502
family_jepa_context,dateblock5,pc,S2,0.5835782973280065,0.5964717800074351,0.01289348267942858
family_jepa_context,dateblock5,pc,S3,0.53061215461437,0.5409826951729256,0.010370540558555685
family_jepa_context,dateblock5,pc,S4,0.670939855156744,0.6705968281040116,-0.0003430270527324808
family_jepa_context,dateblock5,cluster6,Q1,0.6763069666227742,0.6914831407690768,0.015176174146302568
family_jepa_context,dateblock5,cluster6,Q2,0.7047330121272107,0.7056628461727815,0.0009298340455707876
family_jepa_context,dateblock5,cluster6,Q3,0.6798481239623563,0.6835595764169186,0.0037114524545622807
family_jepa_context,dateblock5,cluster6,S1,0.5784955811519379,0.5950271587216839,0.016531577569745992
family_jepa_context,dateblock5,cluster6,S2,0.5835782973280065,0.5848995660998294,0.0013212687718229255
family_jepa_context,dateblock5,cluster6,S3,0.53061215461437,0.5428192622243366,0.012207107609966683
family_jepa_context,dateblock5,cluster6,S4,0.670939855156744,0.6578152287070943,-0.013124626449649734
raw_human_context,subject5,pc,Q1,0.7133767632509279,0.8298111464730042,0.11643438322207633
raw_human_context,subject5,pc,Q2,0.7227969273165776,0.7284085920776509,0.005611664761073221
raw_human_context,subject5,pc,Q3,0.6943832259829932,0.6799173282834926,-0.014465897699500574
raw_human_context,subject5,pc,S1,0.6555027986685907,0.7017308354686764,0.04622803680008569
raw_human_context,subject5,pc,S2,0.6809744824356668,0.7968611248436336,0.11588664240796676
raw_human_context,subject5,pc,S3,0.6346768224885869,0.6614668470001581,0.026790024511571198
raw_human_context,subject5,pc,S4,0.7226843518383355,0.8929258695285527,0.17024151769021723
raw_human_context,subject5,cluster6,Q1,0.7133767632509279,0.8884545672799546,0.17507780402902673
raw_human_context,subject5,cluster6,Q2,0.7227969273165776,0.7767119837367908,0.053915056420213214
raw_human_context,subject5,cluster6,Q3,0.6943832259829932,0.7930796090817479,0.09869638309875473
raw_human_context,subject5,cluster6,S1,0.6555027986685907,0.9590380953765129,0.3035352967079221
raw_human_context,subject5,cluster6,S2,0.6809744824356668,0.9521778582423644,0.2712033758066976
raw_human_context,subject5,cluster6,S3,0.6346768224885869,0.6821134656607001,0.04743664317211316
raw_human_context,subject5,cluster6,S4,0.7226843518383355,0.8289671232016205,0.10628277136328501
raw_human_context,dateblock5,pc,Q1,0.6763069666227742,0.6869687912812527,0.010661824658478425
raw_human_context,dateblock5,pc,Q2,0.7047330121272107,0.710888251045025,0.006155238917814221
raw_human_context,dateblock5,pc,Q3,0.6798481239623563,0.6984761234506885,0.01862799948833227
raw_human_context,dateblock5,pc,S1,0.5784955811519379,0.5748414285822542,-0.0036541525696837107
raw_human_context,dateblock5,pc,S2,0.5835782973280065,0.5944957820213073,0.010917484693300783
raw_human_context,dateblock5,pc,S3,0.53061215461437,0.5533578551334628,0.02274570051909286
raw_human_context,dateblock5,pc,S4,0.670939855156744,0.670612166094566,-0.0003276890621780604
raw_human_context,dateblock5,cluster6,Q1,0.6763069666227742,0.6878971311281019,0.011590164505327682
raw_human_context,dateblock5,cluster6,Q2,0.7047330121272107,0.7086408057396719,0.003907793612461186
raw_human_context,dateblock5,cluster6,Q3,0.6798481239623563,0.6774012705069484,-0.002446853455407849
raw_human_context,dateblock5,cluster6,S1,0.5784955811519379,0.5923861058650887,0.013890524713150776
raw_human_context,dateblock5,cluster6,S2,0.5835782973280065,0.5805706361168361,-0.003007661211170354
raw_human_context,dateblock5,cluster6,S3,0.53061215461437,0.5309797464098139,0.0003675917954439889
raw_human_context,dateblock5,cluster6,S4,0.670939855156744,0.6612865786341005,-0.009653276522643583
hybrid_context,subject5,pc,Q1,0.7133767632509279,0.7484537503551818,0.03507698710425389
hybrid_context,subject5,pc,Q2,0.7227969273165776,0.749991954526355,0.0271950272097774
hybrid_context,subject5,pc,Q3,0.6943832259829932,0.6940255268053696,-0.00035769917762362713
hybrid_context,subject5,pc,S1,0.6555027986685907,0.6997312716271111,0.04422847295852039
hybrid_context,subject5,pc,S2,0.6809744824356668,0.7201324931498726,0.03915801071420577
hybrid_context,subject5,pc,S3,0.6346768224885869,0.6403866968477803,0.005709874359193345
hybrid_context,subject5,pc,S4,0.7226843518383355,0.7720981204152799,0.04941376857694446
hybrid_context,subject5,cluster6,Q1,0.7133767632509279,0.8561334849603541,0.14275672170942622
hybrid_context,subject5,cluster6,Q2,0.7227969273165776,0.7805587912013195,0.057761863884741915
hybrid_context,subject5,cluster6,Q3,0.6943832259829932,0.7807569376342013,0.08637371165120811
hybrid_context,subject5,cluster6,S1,0.6555027986685907,0.739025466678167,0.0835226680095763
hybrid_context,subject5,cluster6,S2,0.6809744824356668,0.7554489138665065,0.07447443143083965
hybrid_context,subject5,cluster6,S3,0.6346768224885869,0.6625336353414377,0.0278568128528508
hybrid_context,subject5,cluster6,S4,0.7226843518383355,0.8464769319235097,0.12379258008517424
hybrid_context,dateblock5,pc,Q1,0.6763069666227742,0.6942171971976938,0.017910230574919583
hybrid_context,dateblock5,pc,Q2,0.7047330121272107,0.7095535851207968,0.00482057299358607
hybrid_context,dateblock5,pc,Q3,0.6798481239623563,0.6821631536269398,0.0023150296645835233
hybrid_context,dateblock5,pc,S1,0.5784955811519379,0.5927117531310543,0.014216171979116399
hybrid_context,dateblock5,pc,S2,0.5835782973280065,0.5838710775700274,0.0002927802420209513
hybrid_context,dateblock5,pc,S3,0.53061215461437,0.5409090916383874,0.01029693702401746
hybrid_context,dateblock5,pc,S4,0.670939855156744,0.6746978724893901,0.0037580173326460242
hybrid_context,dateblock5,cluster6,Q1,0.6763069666227742,0.685221141072953,0.008914174450178725
hybrid_context,dateblock5,cluster6,Q2,0.7047330121272107,0.7095668565452904,0.004833844418079658
hybrid_context,dateblock5,cluster6,Q3,0.6798481239623563,0.6733959578118445,-0.006452166150511807
hybrid_context,dateblock5,cluster6,S1,0.5784955811519379,0.5855333802725212,0.007037799120583332
hybrid_context,dateblock5,cluster6,S2,0.5835782973280065,0.5784296327097695,-0.005148664618236931
hybrid_context,dateblock5,cluster6,S3,0.53061215461437,0.5373858840842691,0.006773729469899181
hybrid_context,dateblock5,cluster6,S4,0.670939855156744,0.6720854209295292,0.0011455657727851287
