variant,target_set,row_mask,cell_mask,sign_mask,scale,targets,file,basename,changed_rows_vs_e247,changed_cells_vs_e247,move_l1,move_l2,row_entropy,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4,row_score_override
canonical_e347,all,all,all,both,1.0,"Q1,Q2,Q3,S1,S2,S3,S4",analysis_outputs/submission_e347_stateful_counteraxis_lifestyle_e344_nullsafe_top5_e131968c_uploadsafe.csv,submission_e347_stateful_counteraxis_lifestyle_e344_nullsafe_top5_e131968c_uploadsafe.csv,250,834,4.638905725690548,0.4416701749740641,0.8327464020411297,2.2302075684716782,1.0247325000948053,0.22828197926818733,1.1189028484412362,2.0191604985231315e-10,0.0367808290589347,1.5378992935903557e-10,
cell_abs_top35_all,all,all,abs_top35,both,1.0,"Q1,Q2,Q3,S1,S2,S3,S4",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top35_all_a7b72df2.csv,submission_e349_lifestate_ablate_cell_abs_top35_all_a7b72df2.csv,190,292,4.6141407997981325,0.44166767204558155,0.8290622519064234,2.2227800992115463,1.0247324999943386,0.22828197914359444,1.1108184425423897,0.0,0.02752777890626351,0.0,
cell_abs_top35_q1q2,q1q2,all,abs_top35,both,1.0,"Q1,Q2",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top35_q1q2_6d7232a5.csv,submission_e349_lifestate_ablate_cell_abs_top35_q1q2_6d7232a5.csv,94,108,3.2475125992058844,0.39040071038983887,0.7598113925031194,2.2227800992115463,1.0247324999943386,0.0,0.0,0.0,0.0,0.0,
cell_abs_top35_q1q2q3s1,q1q2q3s1,all,abs_top35,both,1.0,"Q1,Q2,Q3,S1",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top35_q1q2q3s1_4be91f35.csv,submission_e349_lifestate_ablate_cell_abs_top35_q1q2q3s1_4be91f35.csv,151,202,4.5866130208918685,0.44165673189068316,0.825428185539817,2.2227800992115463,1.0247324999943386,0.22828197914359444,1.1108184425423897,0.0,0.0,0.0,
cell_abs_top35_q1q2s1,q1q2s1,all,abs_top35,both,1.0,"Q1,Q2,S1",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top35_q1q2s1_cdfc7055.csv,submission_e349_lifestate_ablate_cell_abs_top35_q1q2s1_cdfc7055.csv,142,188,4.358331041748274,0.43549639056073575,0.8132581601295816,2.2227800992115463,1.0247324999943386,0.0,1.1108184425423897,0.0,0.0,0.0,
cell_abs_top35_qonly,qonly,all,abs_top35,both,1.0,"Q1,Q2,Q3",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top35_qonly_5299280b.csv,submission_e349_lifestate_ablate_cell_abs_top35_qonly_5299280b.csv,105,122,3.475794578349479,0.39726096876715783,0.7777277796546272,2.2227800992115463,1.0247324999943386,0.22828197914359444,0.0,0.0,0.0,0.0,
cell_abs_top50_all,all,all,abs_top50,both,1.0,"Q1,Q2,Q3,S1,S2,S3,S4",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top50_all_d875299f.csv,submission_e349_lifestate_ablate_cell_abs_top50_all_d875299f.csv,224,417,4.628418064707898,0.44166956431176047,0.8311453401509065,2.2269833950763984,1.0247324999943386,0.22828197914359444,1.1154107331267302,0.0,0.033009457366836824,0.0,
cell_abs_top50_q1q2,q1q2,all,abs_top50,both,1.0,"Q1,Q2",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top50_q1q2_7f77805f.csv,submission_e349_lifestate_ablate_cell_abs_top50_q1q2_7f77805f.csv,130,147,3.2517158950707366,0.390401303672739,0.761366693033122,2.2269833950763984,1.0247324999943386,0.0,0.0,0.0,0.0,0.0,
cell_abs_top50_q1q2q3s1,q1q2q3s1,all,abs_top50,both,1.0,"Q1,Q2,Q3,S1",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top50_q1q2q3s1_f9e24350.csv,submission_e349_lifestate_ablate_cell_abs_top50_q1q2q3s1_f9e24350.csv,189,279,4.595408607341061,0.4416578983338936,0.8269614339043669,2.2269833950763984,1.0247324999943386,0.22828197914359444,1.1154107331267302,0.0,0.0,0.0,
cell_abs_top50_q1q2s1,q1q2s1,all,abs_top50,both,1.0,"Q1,Q2,S1",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top50_q1q2s1_ca53d938.csv,submission_e349_lifestate_ablate_cell_abs_top50_q1q2s1_ca53d938.csv,184,265,4.367126628197467,0.4354975735038968,0.8149880104893853,2.2269833950763984,1.0247324999943386,0.0,1.1154107331267302,0.0,0.0,0.0,
cell_abs_top50_qonly,qonly,all,abs_top50,both,1.0,"Q1,Q2,Q3",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top50_qonly_b975f6b8.csv,submission_e349_lifestate_ablate_cell_abs_top50_qonly_b975f6b8.csv,136,161,3.479997874214331,0.39726155180473244,0.7790073406718535,2.2269833950763984,1.0247324999943386,0.22828197914359444,0.0,0.0,0.0,0.0,
cell_abs_top65_all,all,all,abs_top65,both,1.0,"Q1,Q2,Q3,S1,S2,S3,S4",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top65_all_709d2fa1.csv,submission_e349_lifestate_ablate_cell_abs_top65_all_709d2fa1.csv,243,542,4.635820054064669,0.44167009268746676,0.8322707207347034,2.2292117377732787,1.0247324999943386,0.22828197914359444,1.1179892060174201,0.0,0.03560463113603716,0.0,
cell_abs_top65_q1q2,q1q2,all,abs_top65,both,1.0,"Q1,Q2",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top65_q1q2_ac6dfff0.csv,submission_e349_lifestate_ablate_cell_abs_top65_q1q2_ac6dfff0.csv,160,182,3.2539442377676178,0.3904014954079776,0.7621888147042438,2.2292117377732787,1.0247324999943386,0.0,0.0,0.0,0.0,0.0,
cell_abs_top65_q1q2q3s1,q1q2q3s1,all,abs_top65,both,1.0,"Q1,Q2,Q3,S1",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top65_q1q2q3s1_93c55c92.csv,submission_e349_lifestate_ablate_cell_abs_top65_q1q2q3s1_93c55c92.csv,216,356,4.600215422928632,0.44165825907191913,0.8278782079415005,2.2292117377732787,1.0247324999943386,0.22828197914359444,1.1179892060174201,0.0,0.0,0.0,
cell_abs_top65_q1q2s1,q1q2s1,all,abs_top65,both,1.0,"Q1,Q2,S1",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top65_q1q2s1_42048a7a.csv,submission_e349_lifestate_ablate_cell_abs_top65_q1q2s1_42048a7a.csv,214,342,4.3719334437850375,0.43549793934473274,0.8160342749483301,2.2292117377732787,1.0247324999943386,0.0,1.1179892060174201,0.0,0.0,0.0,
cell_abs_top65_qonly,qonly,all,abs_top65,both,1.0,"Q1,Q2,Q3",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top65_qonly_bb075d3a.csv,submission_e349_lifestate_ablate_cell_abs_top65_qonly_bb075d3a.csv,163,196,3.4822262169112124,0.39726174022892646,0.779712045493546,2.2292117377732787,1.0247324999943386,0.22828197914359444,0.0,0.0,0.0,0.0,
cell_abs_top80_all,all,all,abs_top80,both,1.0,"Q1,Q2,Q3,S1,S2,S3,S4",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top80_all_4bc7f369.csv,submission_e349_lifestate_ablate_cell_abs_top80_all_4bc7f369.csv,249,667,4.638635729635804,0.4416701725372495,0.8327068047880246,2.2300852892024423,1.0247324999943386,0.22828197914359444,1.1187826792695086,0.0,0.03675328202592113,0.0,
cell_abs_top80_q1q2,q1q2,all,abs_top80,both,1.0,"Q1,Q2",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top80_q1q2_1257c220.csv,submission_e349_lifestate_ablate_cell_abs_top80_q1q2_1257c220.csv,189,221,3.254817789196781,0.3904015239517491,0.7625003772091417,2.2300852892024423,1.0247324999943386,0.0,0.0,0.0,0.0,0.0,
cell_abs_top80_q1q2q3s1,q1q2q3s1,all,abs_top80,both,1.0,"Q1,Q2,Q3,S1",analysis_outputs/submission_e349_lifestate_ablate_cell_abs_top80_q1q2q3s1_ba431521.csv,submission_e349_lifestate_ablate_cell_abs_top80_q1q2q3s1_ba431521.csv,240,436,4.601882447609883,0.44165830402595224,0.8282000730874924,2.2300852892024423,1.0247324999943386,0.22828197914359444,1.1187826792695086,0.0,0.0,0.0,
