basename,source_path,candidate_id,action,fraction,rule_family,rule_note,row_idx_list,row_count,e247_overlap,e256_overlap,e284_overlap,mean_smooth_gain,sum_smooth_gain,mean_amp,mean_app_state,mean_app_story,mean_state_amp_z
submission_e285_e247resid_undo_e247_only_f0p25_fd3bfdb6.csv,analysis_outputs/submission_e285_e247resid_undo_e247_only_f0p25_fd3bfdb6.csv,undo_e247_only_f0p25,undo,0.25,membership_control,all E247-only cells,46 48 64 65 76 77 90 99 103 108 134 162 168,13,13,0,4,0.07714299854337707,1.002858981063902,0.03912505127173959,0.23526215479235443,0.5706634160552255,0.033043049819441346
submission_e285_e247resid_undo_e247_only_f0p5_02d85c2d.csv,analysis_outputs/submission_e285_e247resid_undo_e247_only_f0p5_02d85c2d.csv,undo_e247_only_f0p5,undo,0.5,membership_control,all E247-only cells,46 48 64 65 76 77 90 99 103 108 134 162 168,13,13,0,4,0.07714299854337707,1.002858981063902,0.03912505127173959,0.23526215479235443,0.5706634160552255,0.033043049819441346
submission_e285_e247resid_undo_e247_only_f1p0_89151694.csv,analysis_outputs/submission_e285_e247resid_undo_e247_only_f1p0_89151694.csv,undo_e247_only_f1p0,undo,1.0,membership_control,all E247-only cells,46 48 64 65 76 77 90 99 103 108 134 162 168,13,13,0,4,0.07714299854337707,1.002858981063902,0.03912505127173959,0.23526215479235443,0.5706634160552255,0.033043049819441346
submission_e285_e247resid_undo_common_f0p25_2a88364f.csv,analysis_outputs/submission_e285_e247resid_undo_common_f0p25_2a88364f.csv,undo_common_f0p25,undo,0.25,membership_control,E247/E256 common core cells,5 51 52 105 109 116 150 158 160 164 166 196 212 222 223 230 231 235 236 237 247,21,21,21,13,0.12157288518777129,2.553030588943197,0.0846004959851345,0.09988302497194528,-0.13037123148693985,0.22293352139617548
submission_e285_e247resid_undo_common_f0p5_9e292875.csv,analysis_outputs/submission_e285_e247resid_undo_common_f0p5_9e292875.csv,undo_common_f0p5,undo,0.5,membership_control,E247/E256 common core cells,5 51 52 105 109 116 150 158 160 164 166 196 212 222 223 230 231 235 236 237 247,21,21,21,13,0.12157288518777129,2.553030588943197,0.0846004959851345,0.09988302497194528,-0.13037123148693985,0.22293352139617548
submission_e285_e247resid_undo_common_f1p0_dd265746.csv,analysis_outputs/submission_e285_e247resid_undo_common_f1p0_dd265746.csv,undo_common_f1p0,undo,1.0,membership_control,E247/E256 common core cells,5 51 52 105 109 116 150 158 160 164 166 196 212 222 223 230 231 235 236 237 247,21,21,21,13,0.12157288518777129,2.553030588943197,0.0846004959851345,0.09988302497194528,-0.13037123148693985,0.22293352139617548
submission_e285_e247resid_add_e256_only_f0p25_d7efc2a6.csv,analysis_outputs/submission_e285_e247resid_add_e256_only_f0p25_d7efc2a6.csv,add_e256_only_f0p25,add,0.25,membership_control,known E256-only public-worse added cells,87 96 138 188,4,0,4,1,0.01232246839967185,0.0492898735986874,0.11031691811706597,0.7196238877139897,1.142024397538767,1.6808424458834437
submission_e285_e247resid_add_e256_only_f0p5_15103101.csv,analysis_outputs/submission_e285_e247resid_add_e256_only_f0p5_15103101.csv,add_e256_only_f0p5,add,0.5,membership_control,known E256-only public-worse added cells,87 96 138 188,4,0,4,1,0.01232246839967185,0.0492898735986874,0.11031691811706597,0.7196238877139897,1.142024397538767,1.6808424458834437
submission_e285_e247resid_add_e256_only_f1p0_dfdd149f.csv,analysis_outputs/submission_e285_e247resid_add_e256_only_f1p0_dfdd149f.csv,add_e256_only_f1p0,add,1.0,membership_control,known E256-only public-worse added cells,87 96 138 188,4,0,4,1,0.01232246839967185,0.0492898735986874,0.11031691811706597,0.7196238877139897,1.142024397538767,1.6808424458834437
submission_e285_e247resid_add_e284_extra_top8_f0p25_1ba7fb44.csv,analysis_outputs/submission_e285_e247resid_add_e284_extra_top8_f0p25_1ba7fb44.csv,add_e284_extra_top8_f0p25,add,0.25,membership_control,old-law E284 extra cells outside E247,1 8 15 53 119 121 171 195,8,0,0,8,-0.06958933471478032,-0.5567146777182426,0.065354521864664,0.12900139926082876,0.05174784204346694,-0.2855236564783425
