target,feature,mode,n,raw_mean,raw_std,z_mean,z_std,corr_label,corr_residual,label_rate,base_mean
Q3,rhythm__rr_hr_pre6h_hr_points_count_same_weekend_dev,subject_z,450,20.384444444444444,98.27341667354075,-3.947459643111668e-18,0.9988882709181132,-0.22692029758978838,-0.20563848974100793,0.6,0.6056017489383948
S1,rhythm__rr_mlight_core5h_m_light_min_dev_subj_med,subject_z,450,1.8101858994899651,14.60306336954757,5.921189464667502e-18,0.998888270918113,-0.13323963566089583,-0.20066050275097871,0.6822222222222222,0.6841055470752521
S4,rhythm__rr_mlight_pre3h_m_light_sum_same_weekend_dev,subject_center,450,252.46695126983855,1195.6462020719846,-3.947459643111668e-18,0.9988882709181132,0.17204922210892246,0.17377336704368376,0.56,0.5618441328928999
