prior,outcome,world_rate,group_kind,group,cells,direction,conditional_support_rate,unconditional_support_rate,support_rate_lift,conditional_delta_per_all,unconditional_delta_per_all,delta_shift_per_all,conditional_flip_share_group
global,breakthrough_win,0.662544,target,Q1,38,credit,0.5199581580917446,0.4977284210526315,0.02222973703911313,-1.9997290242806567e-05,-1.0343233014350984e-05,-9.654057228455582e-06,0.5199581580917446
global,breakthrough_win,0.662544,target,Q3,56,credit,0.49963775990726655,0.47837971428571435,0.021258045621552202,-2.3301756417987938e-05,-9.69660722017991e-06,-1.3605149197808028e-05,0.4996377599072666
global,breakthrough_win,0.662544,target,S2,23,credit,0.5533682028796513,0.5330387826086956,0.020329420270955634,6.722683805114829e-06,1.2066417133425777e-05,-5.3437333283109474e-06,0.5533682028796505
global,breakthrough_win,0.662544,target,S3,47,credit,0.44562878971217584,0.43445140425531914,0.011177385456856703,-1.0786820728321074e-05,-5.4939697941794115e-06,-5.292850934141663e-06,0.4326746487496736
global,breakthrough_win,0.662544,target,S4,21,credit,0.5305460395658179,0.508480380952381,0.0220656586134369,-4.163865074017058e-05,-3.63428926729539e-05,-5.295758067216682e-06,0.5305460395658177
global,breakthrough_win,0.662544,component,e144_fine_tail_delta,24,credit,0.4625199735162243,0.45947033333333337,0.0030496401828909447,-1.5753811895331683e-06,-1.4499102791477454e-06,-1.254709103854229e-07,0.4625199735162269
global,breakthrough_win,0.662544,component,inherited_e143_body,161,credit,0.5059076634254053,0.484676099378882,0.021231564046523266,-8.742645313463818e-05,-4.836037528909068e-05,-3.90660778455475e-05,0.5059076634254053
global,breakthrough_win,0.662544,target_component,Q1:inherited_e143_body,38,credit,0.5199581580917446,0.4977284210526315,0.02222973703911313,-1.9997290242806567e-05,-1.0343233014350984e-05,-9.654057228455582e-06,0.5199581580917446
global,breakthrough_win,0.662544,target_component,Q3:inherited_e143_body,56,credit,0.49963775990726655,0.47837971428571435,0.021258045621552202,-2.3301756417987938e-05,-9.69660722017991e-06,-1.3605149197808028e-05,0.4996377599072666
global,breakthrough_win,0.662544,target_component,S2:inherited_e143_body,23,credit,0.5533682028796513,0.5330387826086956,0.020329420270955634,6.722683805114829e-06,1.2066417133425777e-05,-5.3437333283109474e-06,0.5533682028796505
global,breakthrough_win,0.662544,target_component,S3:e144_fine_tail_delta,24,credit,0.4625199735162243,0.45947033333333337,0.0030496401828909447,-1.5753811895331683e-06,-1.4499102791477454e-06,-1.254709103854229e-07,0.4625199735162269
global,breakthrough_win,0.662544,target_component,S3:inherited_e143_body,23,credit,0.4280032066122992,0.4083446956521739,0.019658510960125275,-9.211439538787911e-06,-4.044059515031667e-06,-5.1673800237562445e-06,0.42800320661229985
global,breakthrough_win,0.662544,target_component,S4:inherited_e143_body,21,credit,0.5305460395658179,0.508480380952381,0.0220656586134369,-4.163865074017058e-05,-3.63428926729539e-05,-5.295758067216682e-06,0.5305460395658177
global,clean_win,0.064664,target,Q1,38,credit,0.47637178744213,0.4977284210526315,-0.021356633610501496,-1.068352132116818e-06,-1.0343233014350984e-05,9.274880882234166e-06,0.47637178744213005
global,clean_win,0.064664,target,Q3,56,credit,0.45818605185486294,0.47837971428571435,-0.02019366243085141,3.2273367355502707e-06,-9.69660722017991e-06,1.2923943955730181e-05,0.4581860518548629
global,clean_win,0.064664,target,S2,23,credit,0.5144533078011285,0.5330387826086956,-0.018585474807567115,1.695174194004052e-05,1.2066417133425777e-05,4.8853248066147435e-06,0.5144533078011279
global,clean_win,0.064664,target,S3,47,credit,0.4255819279233274,0.43445140425531914,-0.008869476331991755,-7.364867385511152e-07,-5.4939697941794115e-06,4.757483055628296e-06,0.3996143395727982
global,clean_win,0.064664,target,S4,21,credit,0.4896137101382679,0.508480380952381,-0.01886667081411314,-3.181489167755868e-05,-3.63428926729539e-05,4.528000995395221e-06,0.4896137101382677
global,clean_win,0.064664,component,e144_fine_tail_delta,24,credit,0.459441626458823,0.45947033333333337,-2.8706874510342484e-05,-1.448729196314375e-06,-1.4499102791477454e-06,1.1810828333703807e-09,0.4594416264588257
global,clean_win,0.064664,component,inherited_e143_body,161,credit,0.46491063600240673,0.484676099378882,-0.01976546337647528,-1.1991922676321446e-05,-4.836037528909068e-05,3.636845261276923e-05,0.46491063600240656
global,clean_win,0.064664,target_component,Q1:inherited_e143_body,38,credit,0.47637178744213,0.4977284210526315,-0.021356633610501496,-1.068352132116818e-06,-1.0343233014350984e-05,9.274880882234166e-06,0.47637178744213005
global,clean_win,0.064664,target_component,Q3:inherited_e143_body,56,credit,0.45818605185486294,0.47837971428571435,-0.02019366243085141,3.2273367355502707e-06,-9.69660722017991e-06,1.2923943955730181e-05,0.4581860518548629
global,clean_win,0.064664,target_component,S2:inherited_e143_body,23,credit,0.5144533078011285,0.5330387826086956,-0.018585474807567115,1.695174194004052e-05,1.2066417133425777e-05,4.8853248066147435e-06,0.5144533078011279
global,clean_win,0.064664,target_component,S3:e144_fine_tail_delta,24,credit,0.459441626458823,0.45947033333333337,-2.8706874510342484e-05,-1.448729196314375e-06,-1.4499102791477454e-06,1.1810828333703807e-09,0.4594416264588257
global,clean_win,0.064664,target_component,S3:inherited_e143_body,23,credit,0.3902500685819406,0.4083446956521739,-0.018094627070233293,7.122424577632578e-07,-4.044059515031667e-06,4.756301972794925e-06,0.3902500685819413
global,clean_win,0.064664,target_component,S4:inherited_e143_body,21,credit,0.4896137101382679,0.508480380952381,-0.01886667081411314,-3.181489167755868e-05,-3.63428926729539e-05,4.528000995395221e-06,0.4896137101382677
global,micro_win,0.018352,target,Q1,38,credit,0.4719692102968843,0.4977284210526315,-0.025759210755747164,8.436242281041446e-07,-1.0343233014350984e-05,1.118685724245513e-05,0.47196921029688443
global,micro_win,0.018352,target,Q3,56,credit,0.4535940029891643,0.47837971428571435,-0.02478571129655005,6.1662480095974084e-06,-9.69660722017991e-06,1.5862855229777318e-05,0.4535940029891643
global,micro_win,0.018352,target,S2,23,credit,0.5091353625715477,0.5330387826086956,-0.02390342003714796,1.8349601828958864e-05,1.2066417133425777e-05,6.283184695533087e-06,0.5091353625715472
global,micro_win,0.018352,target,S3,47,credit,0.42643621658721176,0.43445140425531914,-0.008015187668107382,5.577060449481279e-07,-5.4939697941794115e-06,6.05167583912754e-06,0.39535712646918225
global,micro_win,0.018352,target,S4,21,credit,0.4841823390210487,0.508480380952381,-0.024298041931332337,-3.0511362609426114e-05,-3.63428926729539e-05,5.831530063527785e-06,0.4841823390210486
global,micro_win,0.018352,component,e144_fine_tail_delta,24,credit,0.46696091252542865,0.45947033333333337,0.007490579192095281,-1.758094108769015e-06,-1.4499102791477454e-06,-3.081838296212696e-07,0.4669609125254315
global,micro_win,0.018352,component,inherited_e143_body,161,credit,0.4599346391071496,0.484676099378882,-0.024741460271732407,-2.8360883890485527e-06,-4.836037528909068e-05,4.552428690004213e-05,0.45993463910714955
global,micro_win,0.018352,target_component,Q1:inherited_e143_body,38,credit,0.4719692102968843,0.4977284210526315,-0.025759210755747164,8.436242281041446e-07,-1.0343233014350984e-05,1.118685724245513e-05,0.47196921029688443
global,micro_win,0.018352,target_component,Q3:inherited_e143_body,56,credit,0.4535940029891643,0.47837971428571435,-0.02478571129655005,6.1662480095974084e-06,-9.69660722017991e-06,1.5862855229777318e-05,0.4535940029891643
global,micro_win,0.018352,target_component,S2:inherited_e143_body,23,credit,0.5091353625715477,0.5330387826086956,-0.02390342003714796,1.8349601828958864e-05,1.2066417133425777e-05,6.283184695533087e-06,0.5091353625715472
global,micro_win,0.018352,target_component,S3:e144_fine_tail_delta,24,credit,0.46696091252542865,0.45947033333333337,0.007490579192095281,-1.758094108769015e-06,-1.4499102791477454e-06,-3.081838296212696e-07,0.4669609125254315
global,micro_win,0.018352,target_component,S3:inherited_e143_body,23,credit,0.3841495773473333,0.4083446956521739,-0.024195118304840613,2.315800153717141e-06,-4.044059515031667e-06,6.359859668748808e-06,0.38414957734733396
global,micro_win,0.018352,target_component,S4:inherited_e143_body,21,credit,0.4841823390210487,0.508480380952381,-0.024298041931332337,-3.0511362609426114e-05,-3.63428926729539e-05,5.831530063527785e-06,0.4841823390210486
global,tie,0.021772,target,Q1,38,blame,0.4711846214838953,0.4977284210526315,-0.026543799568736204,1.1843599411736878e-06,-1.0343233014350984e-05,1.1527592955524672e-05,0.47118462148389534
global,tie,0.021772,target,Q3,56,blame,0.45257342326973043,0.47837971428571435,-0.025806291015983918,6.8194190300350325e-06,-9.69660722017991e-06,1.6516026250214942e-05,0.45257342326973043
global,tie,0.021772,target,S2,23,blame,0.5079439886891021,0.5330387826086956,-0.025094793919593572,1.8662762963773155e-05,1.2066417133425777e-05,6.596345830347379e-06,0.5079439886891014
global,tie,0.021772,target,S3,47,blame,0.4000844340378624,0.43445140425531914,-0.034366970217456716,2.758188189329805e-06,-5.4939697941794115e-06,8.252157983509216e-06,0.38811869836266333
