pair,family,set,new_file,base_file,actual_delta,actual_direction,n_cells,n_rows,targets,swing_sum,top_swing,expected_delta_visible_mean,expected_delta_focus_mean,expected_delta_flank_mean,between_train_runs_rate,flank_conflict_rate,e72_active_rate,e101_active_rate,intended_support_swing_global,observed_direction_support_swing_global,observed_direction_support_mean_global,observed_hard_support_rate_global,intended_support_swing_subject,observed_direction_support_swing_subject,observed_direction_support_mean_subject,observed_hard_support_rate_subject,intended_support_swing_nearest_hard085,observed_direction_support_swing_nearest_hard085,observed_direction_support_mean_nearest_hard085,observed_hard_support_rate_nearest_hard085,intended_support_swing_flank_mean,observed_direction_support_swing_flank_mean,observed_direction_support_mean_flank_mean,observed_hard_support_rate_flank_mean,intended_support_swing_visible_mean,observed_direction_support_swing_visible_mean,observed_direction_support_mean_visible_mean,observed_hard_support_rate_visible_mean,intended_support_swing_focus_mean,observed_direction_support_swing_focus_mean,observed_direction_support_mean_focus_mean,observed_hard_support_rate_focus_mean,visible_sign_matches_actual,focus_sign_matches_actual
mixmin_vs_a2c8,broad_public_success,all_moved,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,1256,250,"Q1,Q2,Q3,S1,S2,S3,S4",0.04561420000223732,4.6919142857149344e-05,2.8557678398813272e-05,-8.332639188845175e-05,0.00011247073111426157,0.6305732484076433,0.20063694267515925,0.5095541401273885,0.026273885350318472,0.5126760615570148,0.5126760615570148,0.5088163481953291,0.5477707006369427,0.495896609722655,0.495896609722655,0.49296822210187585,0.4737261146496815,0.5138750774248083,0.5138750774248083,0.5061305732484077,0.5087579617834395,0.503190123031691,0.503190123031691,0.49840118338265926,0.49203821656050956,0.5050297486901776,0.5050297486901776,0.5002171252966072,0.4928343949044586,0.5074825829014927,0.5074825829014927,0.5026383811818709,0.5039808917197452,False,True
mixmin_vs_a2c8,broad_public_success,top1,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,1,1,S2,4.6919142857149344e-05,4.6919142857149344e-05,-3.3773104041735307e-06,-6.97100123000973e-06,-6.820422847963728e-07,1.0,0.0,1.0,0.0,0.34888888888888886,0.34888888888888886,0.3488888888888889,0.0,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,0.060035842293906905,0.060035842293906905,0.060035842293906905,0.0,0.1174807987711215,0.1174807987711215,0.1174807987711215,0.0,0.19407407407407407,0.19407407407407407,0.19407407407407407,0.0,True,True
mixmin_vs_a2c8,broad_public_success,top4,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,4,4,"S1,S2,S3",0.00018767657142859092,4.6919142857149344e-05,-5.725195505120056e-06,-1.2519575317525567e-05,-6.294106458159124e-07,1.0,0.0,0.75,0.25,0.4194444444444433,0.4194444444444433,0.4194444444444445,0.25,0.29687499999999656,0.29687499999999656,0.296875,0.25,0.3249999999999972,0.3249999999999972,0.325,0.25,0.2837519317835497,0.2837519317835497,0.2837519317835533,0.25,0.31090388165409083,0.31090388165409083,0.310903881654094,0.25,0.347106481481479,0.347106481481479,0.3471064814814815,0.25,True,True
mixmin_vs_a2c8,broad_public_success,top8,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,8,8,"S1,S2,S3",0.00037535314285717545,4.6919142857149344e-05,2.5730505469852627e-06,-1.441977915526322e-05,1.531767282367165e-05,0.875,0.125,0.875,0.125,0.42194444444444346,0.42194444444444346,0.42194444444444446,0.25,0.2791940789473664,0.2791940789473664,0.2791940789473685,0.25,0.23750000000000007,0.23750000000000007,0.23750000000000002,0.125,0.2336542434167072,0.2336542434167072,0.23365424341670854,0.25,0.2676079281512342,0.2676079281512342,0.26760792815123535,0.25,0.31287950779727003,0.31287950779727003,0.3128795077972709,0.25,False,True
mixmin_vs_a2c8,broad_public_success,top16,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,16,15,"S1,S2,S3,S4",0.0007507062857143364,4.6919142857149344e-05,4.0197844685081376e-08,-2.5542263632978072e-05,1.9227043952932477e-05,0.6875,0.0625,0.875,0.0625,0.4356944444444437,0.4356944444444437,0.4356944444444445,0.3125,0.32709703947368224,0.32709703947368224,0.32709703947368424,0.3125,0.3249999999999984,0.3249999999999984,0.325,0.25,0.302960911499887,0.302960911499887,0.30296091149988896,0.3125,0.3285193042739532,0.3285193042739532,0.3285193042739549,0.3125,0.36259716130604147,0.36259716130604147,0.36259716130604286,0.3125,False,True
mixmin_vs_a2c8,broad_public_success,top1_frontier_edge,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,1,1,S2,4.6919142857149344e-05,4.6919142857149344e-05,-3.3773104041735307e-06,-6.97100123000973e-06,-6.820422847963728e-07,1.0,0.0,1.0,0.0,0.34888888888888886,0.34888888888888886,0.3488888888888889,0.0,0.08333333333333337,0.08333333333333337,0.08333333333333337,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,0.060035842293906905,0.060035842293906905,0.060035842293906905,0.0,0.1174807987711215,0.1174807987711215,0.1174807987711215,0.0,0.19407407407407407,0.19407407407407407,0.19407407407407407,0.0,,
mixmin_vs_a2c8,broad_public_success,top25_actual_edge,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,25,24,"S1,S2,S3,S4",0.0011729785714286373,4.6919142857149344e-05,1.3804041011444024e-05,-9.434605819363e-06,3.123302613454932e-05,0.72,0.08,0.84,0.12,0.45644444444444354,0.45644444444444354,0.45644444444444443,0.36,0.40100877192982176,0.40100877192982176,0.4010087719298246,0.4,0.373999999999998,0.373999999999998,0.374,0.32,0.37581400913159657,0.37581400913159657,0.3758140091315994,0.4,0.3906727504143785,0.3906727504143785,0.3906727504143809,0.4,0.41048440545808773,0.41048440545808773,0.4104844054580897,0.4,,
mixmin_vs_a2c8,broad_public_success,target_Q1,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,199,199,Q1,0.007536181247625342,4.691914285714419e-05,0.00016283762525808542,0.00016927345321211845,0.0001580107542925608,0.6381909547738693,0.22110552763819097,0.6381909547738693,0.0,0.501246217571516,0.501246217571516,0.5012730318257956,0.6432160804020101,0.4976798592485439,0.4976798592485439,0.49499241019900203,0.4221105527638191,0.5088602541956575,0.5088602541956575,0.49824120603015076,0.49748743718592964,0.5040899272239179,0.5040899272239179,0.49794112225996795,0.46733668341708545,0.5034494342730557,0.5034494342730557,0.49803873387068853,0.46733668341708545,0.5025954436719058,0.5025954436719058,0.49816888268498283,0.5025125628140703,,
mixmin_vs_a2c8,broad_public_success,target_Q2,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,124,124,Q2,0.0036597676890573433,4.285789285714354e-05,-0.0001293853595982494,-0.00012190638093555504,-0.00013499459359527018,0.6209677419354839,0.25806451612903225,0.11290322580645161,0.04032258064516129,0.5004524799164559,0.5004524799164559,0.5,0.5,0.505728775284539,0.505728775284539,0.5054414438961751,0.4274193548387097,0.5092928138418457,0.5092928138418457,0.5056451612903226,0.5080645161290323,0.5087342643967178,0.5087342643967178,0.5089877071732349,0.5080645161290323,0.5072015895185303,0.5072015895185303,0.5067196334113482,0.5080645161290323,0.5051580230142801,0.5051580230142801,0.5036955350621659,0.5080645161290323,,
mixmin_vs_a2c8,broad_public_success,target_Q3,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,199,199,Q3,0.00762151031319872,4.6919142857143665e-05,5.2980935780590275e-06,3.5412395761252714e-05,-1.728763305933633e-05,0.592964824120603,0.2562814070351759,0.5979899497487438,0.0,0.5050238960357653,0.5050238960357653,0.5045226130653266,0.5226130653266332,0.5085132349665327,0.5085132349665327,0.5108280662072567,0.542713567839196,0.5338383852082534,0.5338383852082534,0.5263819095477387,0.5376884422110553,0.5227064825088762,0.5227064825088762,0.5208385188443028,0.5326633165829145,0.5197430637494365,0.5197430637494365,0.5178695234567904,0.5326633165829145,0.5157918387368504,0.5157918387368504,0.5139108629401073,0.5527638190954773,,
mixmin_vs_a2c8,broad_public_success,target_S1,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,195,195,S1,0.007281007450591075,4.6919142857147176e-05,0.0006247735031202914,0.0005340080724694175,0.0006928475761084469,0.6358974358974359,0.16923076923076924,0.8,0.0,0.4769461163290661,0.4769461163290661,0.4747692307692308,0.4307692307692308,0.43616900650413526,0.43616900650413526,0.43313015305496505,0.38461538461538464,0.45025187613789114,0.45025187613789114,0.4587179487179487,0.441025641025641,0.43264007216081357,0.43264007216081357,0.43426585510480864,0.4153846153846154,0.44198961251633523,0.44198961251633523,0.44338296470876837,0.4153846153846154,0.4544556663236975,0.4544556663236975,0.4555391108473815,0.4153846153846154,,
mixmin_vs_a2c8,broad_public_success,target_S2,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,189,189,S2,0.006782616176446253,4.6919142857149344e-05,-0.00022968489232245618,-0.0003791747189465995,-0.00011756752235434875,0.6349206349206349,0.13756613756613756,0.5873015873015873,0.0,0.489425640540615,0.489425640540615,0.4880070546737213,0.4603174603174603,0.4022637120542469,0.4022637120542469,0.40696119779498957,0.35978835978835977,0.4157836279777524,0.4157836279777524,0.4203703703703703,0.3862433862433862,0.39725407759284814,0.39725407759284814,0.4021607320556764,0.36507936507936506,0.41378418442057235,0.41378418442057235,0.4177116501516839,0.37037037037037035,0.4358243268575381,0.4358243268575381,0.43844620761302705,0.36507936507936506,,
mixmin_vs_a2c8,broad_public_success,target_S3,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,201,201,S3,0.008122614167131144,4.691914285714698e-05,-0.0004655432524717084,-0.00046076214670420334,-0.00046912908179733777,0.6368159203980099,0.12437810945273632,0.13930348258706468,0.13930348258706468,0.5961514007599464,0.5961514007599464,0.5895854063018243,0.7761194029850746,0.5704610088175859,0.5704610088175859,0.5669231911668978,0.5870646766169154,0.6153544954674668,0.6153544954674668,0.6097014925373133,0.6567164179104478,0.5950190474486049,0.5950190474486049,0.5901526805935352,0.6616915422885572,0.5945775849770597,0.5945775849770597,0.5895458303400252,0.6616915422885572,0.5939889683483329,0.5939889683483329,0.5887366966686786,0.6567164179104478,,
mixmin_vs_a2c8,broad_public_success,target_S4,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,-0.0011326804999999274,new_won,149,149,S4,0.004610502958187442,4.6919142857144885e-05,6.026196083479145e-05,0.00013982293325511726,5.912315195470622e-07,0.6577181208053692,0.2751677852348993,0.5704697986577181,0.0,0.4972774400025419,0.4972774400025419,0.4939597315436241,0.44966442953020136,0.5650246887986095,0.5650246887986095,0.5436742648219276,0.5973154362416108,0.5587056693203977,0.5587056693203977,0.5211409395973154,0.5302013422818792,0.5705347424679097,0.5705347424679097,0.5424788802424699,0.4899328859060403,0.5575923954275982,0.5575923954275982,0.5326700652761066,0.4899328859060403,0.5403359327071829,0.5403359327071829,0.5195916453209556,0.5234899328859061,,
e95_vs_mixmin,frontier_hardtail_success,all_moved,submission_e95_hardtail_541e3973.csv,submission_mixmin_0c916bb4.csv,-1.5310700000048527e-05,new_won,550,250,"Q2,S1,S2,S3",0.005548278423068663,4.647677521129553e-05,-0.00019248867686995501,-0.00016151142106495526,-0.00021572161872370477,0.6218181818181818,0.16,0.72,0.09090909090909091,0.5045006817247554,0.5045006817247554,0.5087797979797979,0.5254545454545455,0.5232233489425052,0.5232233489425052,0.5511473717156369,0.5909090909090909,0.5204650740185818,0.5204650740185818,0.542,0.56,0.5258336688694797,0.5258336688694797,0.554607925504033,0.56,0.5216462543091087,0.5216462543091087,0.5457655531016524,0.56,0.5160630348952807,0.5160630348952807,0.5339757232318117,0.5654545454545454,True,True
e95_vs_mixmin,frontier_hardtail_success,top1,submission_e95_hardtail_541e3973.csv,submission_mixmin_0c916bb4.csv,-1.5310700000048527e-05,new_won,1,1,S3,4.647677521129553e-05,4.647677521129553e-05,-1.787872936014785e-06,-5.663396625591594e-06,1.1187698311678255e-06,1.0,0.0,1.0,1.0,0.3377777777777778,0.3377777777777778,0.33777777777777773,0.0,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,0.030555555555555447,0.030555555555555447,0.030555555555555447,0.0,0.09309523809523801,0.09309523809523801,0.09309523809523801,0.0,0.17648148148148135,0.17648148148148135,0.17648148148148135,0.0,True,True
e95_vs_mixmin,frontier_hardtail_success,top4,submission_e95_hardtail_541e3973.csv,submission_mixmin_0c916bb4.csv,-1.5310700000048527e-05,new_won,4,4,S3,0.000178931464079634,4.647677521129553e-05,-7.733159799270464e-06,-2.215691050048584e-05,3.084653226641077e-06,1.0,0.0,1.0,1.0,0.33777777777777773,0.33777777777777773,0.33777777777777773,0.0,0.056740703578609414,0.056740703578609414,0.05729166666666663,0.0,0.15000000000000005,0.15000000000000005,0.15000000000000002,0.0,0.040437825394561436,0.040437825394561436,0.040865605354241635,0.0,0.1008956832763761,0.1008956832763761,0.10121883798020154,0.0,0.181506160452129,0.181506160452129,0.1816898148148147,0.0,True,True
e95_vs_mixmin,frontier_hardtail_success,top8,submission_e95_hardtail_541e3973.csv,submission_mixmin_0c916bb4.csv,-1.5310700000048527e-05,new_won,8,8,S3,0.00034623370645343204,4.647677521129553e-05,-1.3089043430683698e-05,-3.591890224773851e-05,4.033350682107423e-06,0.75,0.25,1.0,1.0,0.3759494518512225,0.3759494518512225,0.3783333333333333,0.125,0.14876036392625094,0.14876036392625094,0.15187892645971912,0.125,0.23235669406256926,0.23235669406256926,0.23750000000000002,0.125,0.1369645052772837,0.1369645052772837,0.14097932086083412,0.0,0.1864177901355968,0.1864177901355968,0.1902327918909127,0.0,0.25235550328001416,0.25235550328001416,0.2559040865976841,0.125,True,True
e95_vs_mixmin,frontier_hardtail_success,top16,submission_e95_hardtail_541e3973.csv,submission_mixmin_0c916bb4.csv,-1.5310700000048527e-05,new_won,16,16,S3,0.0006353467666655915,4.647677521129553e-05,-1.9886661100428198e-05,-5.866990437150855e-05,9.200771352882131e-06,0.6875,0.1875,1.0,1.0,0.3966815259455951,0.3966815259455951,0.3986111111111111,0.1875,0.1798238293326477,0.1798238293326477,0.1830002565707109,0.125,0.23371125469329723,0.23371125469329723,0.23750000000000002,0.125,0.1632475852013879,0.1632475852013879,0.16711504387347792,0.0625,0.20902956439672737,0.20902956439672737,0.21251022045367626,0.0625,0.27007220332384657,0.27007220332384657,0.2730371225606073,0.125,True,True
e95_vs_mixmin,frontier_hardtail_success,top1_frontier_edge,submission_e95_hardtail_541e3973.csv,submission_mixmin_0c916bb4.csv,-1.5310700000048527e-05,new_won,1,1,S3,4.647677521129553e-05,4.647677521129553e-05,-1.787872936014785e-06,-5.663396625591594e-06,1.1187698311678255e-06,1.0,0.0,1.0,1.0,0.3377777777777778,0.3377777777777778,0.33777777777777773,0.0,0.04166666666666663,0.04166666666666663,0.04166666666666663,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,0.030555555555555447,0.030555555555555447,0.030555555555555447,0.0,0.09309523809523801,0.09309523809523801,0.09309523809523801,0.0,0.17648148148148135,0.17648148148148135,0.17648148148148135,0.0,,
