method,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate
raw_phone_td_ridge_groupcross_all_k0_a8_w0.75,36.0,-0.0004142060341804001,-0.0009341474585949849,0.0009552364575390914,0.5
raw_phone_td_ridge_groupcross_all_k0_a2_w0.75,36.0,-0.0004071392407401876,-0.000926740445250494,0.0009533342265609081,0.5
raw_phone_td_ridge_pair_all_k0_a8_w0.75,36.0,-0.0003632883070004124,-0.0008845839878123159,0.0009510025209895592,0.5
raw_phone_td_ridge_pair_all_k0_a2_w0.75,36.0,-0.0003502552432560132,-0.0008724925303576418,0.0009487715874886954,0.5
raw_phone_td_ridge_groupcross_s2s3_k0_a8_w0.75,36.0,-0.000247486893664188,-0.0005134480314126028,0.0007618642123866821,0.5277777777777778
raw_phone_td_ridge_groupcross_s2s3_k0_a2_w0.75,36.0,-0.00023991966707759263,-0.0005075468260853676,0.0007599172080158698,0.5555555555555556
raw_phone_td_ridge_pair_s2s3_k0_a8_w0.75,36.0,-0.0001998543954011828,-0.00047680547956701074,0.0007587461331111571,0.5
raw_phone_td_ridge_pair_s2s3_k0_a2_w0.75,36.0,-0.00018748636873984416,-0.0004670217013673252,0.0007565740335791968,0.5
calendar_count_strict,36.0,-0.0001787942188531561,-0.00043353666822282163,0.0008406271661630442,0.5277777777777778
raw_phone_td_ridge_groupcross_all_k0_a8_w0.50,36.0,-0.00017253805460240609,-0.0006114767532365374,0.0008755532563485764,0.5
raw_phone_td_ridge_groupcross_all_k0_a2_w0.50,36.0,-0.00016782685897561326,-0.0006065387443402148,0.0008742851023631117,0.5
raw_phone_td_ridge_pair_all_k0_a8_w0.50,36.0,-0.0001385929031490922,-0.0005784344393814342,0.0008727306319822164,0.5
raw_phone_td_ridge_pair_all_k0_a2_w0.50,36.0,-0.00012990419398617228,-0.000570373467744984,0.0008712433429816363,0.5
raw_phone_td_ridge_groupcross_stage_k0_a8_w0.75,36.0,-9.27667744351314e-05,-0.00040984869413363147,0.0008367675128421658,0.5277777777777778
raw_phone_td_ridge_groupcross_stage_k0_a2_w0.75,36.0,-8.647634612689953e-05,-0.0004038657107856067,0.000834572437523803,0.5277777777777778
raw_phone_td_ridge_groupcross_s2s3_k0_a8_w0.50,36.0,-6.139196092492892e-05,-0.00033101046844828,0.0007466384262469677,0.5
raw_phone_td_ridge_groupcross_s2s3_k0_a2_w0.50,36.0,-5.634714320052859e-05,-0.0003270763315634513,0.0007453404233330908,0.5277777777777778
raw_phone_td_ridge_allcross_all_k0_a8_w0.75,36.0,-5.5488587311777785e-05,-0.0004451758196517928,0.0008771518096267695,0.4444444444444444
raw_phone_td_ridge_groupcross_s3_k0_a8_w0.75,36.0,-5.4612481604207155e-05,-0.00036294720872347776,0.0007626047038553031,0.5277777777777778
raw_phone_td_ridge_pair_stage_k0_a8_w0.75,36.0,-5.154466028195568e-05,-0.00037110227624025934,0.0008358946544055945,0.5277777777777778
raw_phone_td_ridge_groupcross_s3_k0_a2_w0.75,36.0,-5.0135290082804837e-05,-0.00035912161400106663,0.0007614788183919521,0.5277777777777778
raw_phone_td_ridge_pair_stage_k0_a2_w0.75,36.0,-3.9926344862867155e-05,-0.0003608132258318038,0.0008334588108679315,0.5277777777777778
raw_phone_td_ridge_allcross_all_k0_a2_w0.75,36.0,-3.8662029714399164e-05,-0.0004235206408241924,0.000873632800403802,0.4444444444444444
raw_phone_td_ridge_pair_s2s3_k0_a8_w0.50,36.0,-2.9636962082926586e-05,-0.0003065821005512212,0.0007445597067299507,0.5
raw_phone_td_ridge_pair_s2s3_k0_a2_w0.50,36.0,-2.139161097536583e-05,-0.00030005958175142414,0.0007431116403753095,0.5
raw_phone_td_ridge_pair_s3_k0_a8_w0.75,36.0,-6.979983341203519e-06,-0.0003263046568778866,0.0007594866245797783,0.5
raw_phone_td_ridge_pair_s3_k0_a2_w0.75,36.0,2.2980082549440563e-06,-0.0003185964892830227,0.00075813564395528,0.5
raw_phone_td_knn_allcross_s2s3_k16_a8_w0.75,36.0,3.8301277591691615e-05,-0.00033423332019601247,0.0007673386259740066,0.5555555555555556
raw_phone_td_ridge_groupcross_stage_k0_a8_w0.50,36.0,4.175478522777336e-05,-0.0002619442435956323,0.0007965739598839575,0.5277777777777778
raw_phone_td_ridge_groupcross_stage_k0_a2_w0.50,36.0,4.594840409992566e-05,-0.00025795558803028146,0.0007951105763383753,0.5277777777777778
raw_phone_td_ridge_allcross_s2s3_k0_a8_w0.75,36.0,6.2697238627598e-05,-0.0002524765420260527,0.0007177975323464148,0.5
raw_phone_td_ridge_allcross_all_k0_a8_w0.50,36.0,6.660690997668032e-05,-0.00028549566060774356,0.0008234968244070111,0.4444444444444444
raw_phone_td_ridge_groupcross_s3_k0_a8_w0.50,36.0,6.719098044838895e-05,-0.00023067658665553253,0.0007471320872260444,0.5277777777777778
raw_phone_td_ridge_groupcross_all_k0_a8_w0.25,36.0,6.912992497556345e-05,-0.0002888060478781062,0.0007958700551580356,0.5
raw_phone_td_ridge_pair_stage_k0_a8_w0.50,36.0,6.923619466322311e-05,-0.0002361132983333896,0.0007959920542595716,0.5277777777777778
raw_phone_td_ridge_groupcross_s3_k0_a2_w0.50,36.0,7.017577479599658e-05,-0.00022812619017392052,0.0007463814969171474,0.5277777777777778
raw_phone_td_ridge_groupcross_all_k0_a2_w0.25,36.0,7.148552278898087e-05,-0.0002863370434299321,0.0007952359781653076,0.5
raw_phone_td_ridge_pair_stage_k0_a2_w0.50,36.0,7.698173827594266e-05,-0.00022925393139441592,0.0007943681585677966,0.5277777777777778
raw_phone_td_ridge_allcross_s2s3_k0_a2_w0.75,36.0,7.753015801164791e-05,-0.00023844986312228565,0.000714895185583454,0.5
raw_phone_td_ridge_allcross_all_k0_a2_w0.50,36.0,7.782461504157967e-05,-0.00027105887472268634,0.0008211508182583658,0.4444444444444444
raw_phone_td_knn_allcross_stage_k16_a8_w0.75,36.0,8.097537039698851e-05,-0.0002938224060406059,0.0007751526744910503,0.5277777777777778
raw_phone_s3_calendar_w1p00,36.0,8.332685147448828e-05,-0.0002324646971162619,0.0007166179404797507,0.5833333333333334
raw_phone_td_ridge_pair_all_k0_a8_w0.25,36.0,8.610250070223191e-05,-0.0002722848909505466,0.0007944587429748601,0.5
raw_phone_td_ridge_pair_all_k0_a2_w0.25,36.0,9.044685528370301e-05,-0.0002682544051323188,0.0007937150984745675,0.5
raw_phone_td_ridge_pair_s3_k0_a8_w0.50,36.0,9.894597929039264e-05,-0.00020624821875847178,0.000745053367709029,0.5277777777777778
raw_phone_td_ridge_pair_s3_k0_a2_w0.50,36.0,0.0001051313070211597,-0.0002011094403618924,0.0007441527139593654,0.5277777777777778
