candidate_id,q3_rows,overlap_e237,overlap_e250,jaccard_e237,jaccard_e250,e237_only_cells_in_candidate,e250_only_cells_in_candidate,shared_cells_in_candidate
union_e237_e250,31,25,21,0.8064516129032258,0.6774193548387096,10,6,15
e237_top25,25,25,15,1.0,0.4838709677419355,10,0,15
e250_top21,21,15,21,0.4838709677419355,1.0,0,6,15
symmetric_difference,16,10,6,0.3225806451612903,0.1935483870967742,10,6,0
shared_intersection,15,15,15,0.6,0.7142857142857143,0,0,15
e237_only,10,10,0,0.4,0.0,10,0,0
e250_only,6,0,6,0.0,0.2857142857142857,0,6,0
