view,model,split,rows,strict_gates,stress_promotes,best_loss_vs_full,best_q3_loss_vs_full,median_tail_auc,best_tail_auc,best_subject_win,best_dateblock_win
human_late,lr_l2_c0p10,dateblock5,156,103,103,-0.0006904491098407295,-0.0007040942424390018,0.548510099109553,0.5538705296514259,0.9,0.6567164179104478
human_core,lr_l2_c0p10,dateblock5,156,92,92,-0.0005827657816900311,-0.00036402856759254476,0.5211545763046953,0.5571525577184246,0.8,0.6417910447761194
human_late,hgb_shallow,subject5,156,84,84,-0.0016896221924580512,-0.0014939751090897735,0.5509188681433618,0.5833344652874937,0.9,0.7014925373134329
latent_human_late,hgb_shallow,dateblock5,156,76,76,-0.0007972007189669394,-0.0011534334096476861,0.7856585314756799,0.9184177181774985,0.9,0.6567164179104478
human_late,hgb_shallow,dateblock5,156,73,73,-0.0005160382399359564,-0.0008651923474565226,0.5789750816364815,0.6128338614757809,0.8,0.6716417910447762
human_late,lr_l2_c0p10,subject5,156,60,60,-0.0003683755740260253,-0.0005478492918787881,0.5015632535736042,0.5200355886388025,0.8,0.6417910447761194
latent_human_core,lr_l2_c0p10,dateblock5,156,55,55,-0.00046125772876870474,-0.0008125274540976557,0.7096288362406442,0.8463386304841349,0.9,0.6417910447761194
latent_human_late,lr_l2_c0p10,dateblock5,156,48,48,-0.0005266829101140402,-0.0003144838039683684,0.6918944550097896,0.8133810252890554,0.8,0.6417910447761194
latent_human_late,hgb_shallow,subject5,156,47,47,-0.0005786491317361087,-0.0010023950820289285,0.7388959774926713,0.9030481261630829,0.8,0.6567164179104478
latent_no_targetid,lr_l2_c0p10,dateblock5,156,41,41,-0.0005224979913859285,-0.0010054268756463092,0.7017460153421543,0.8451243334565229,0.8,0.6567164179104478
human_core,lr_l2_c0p10,subject5,156,31,31,-0.0002922213571655563,-0.0003154816337506139,0.4908432993811768,0.4964003857699778,0.8,0.6716417910447762
latent_human_late,lr_l2_c0p10,subject5,156,7,7,-8.366982173990678e-05,-0.00016733964347981356,0.5854276599940084,0.7282495008082153,0.8,0.6417910447761194
latent_human_core,lr_l2_c0p10,subject5,156,6,6,-5.662632445391225e-05,-8.884404609832419e-05,0.6059759865502948,0.7845189421209199,0.8,0.6417910447761194
latent_no_targetid,lr_l2_c0p10,subject5,156,2,2,-0.00022584613019915878,-0.00045169226039831756,0.636266408173117,0.832719814178405,0.8,0.6417910447761194
