cell_idx,sub_idx,target,target_group,target_is_q2s3,e101_active,e95_moved_vs_mixmin,e95_fallback_cell,e86_moved_vs_mixmin,e72_active,e72_pos,e72_abs_logit_delta,hidden_block_id,subject_id,context_type,block_len_bin,pos_bin,edge_like,is_weekend,block_n_rows,edge_distance,broad_mass,broad_share,broad_mass_per_scenario,broad_all_or_top50_mass,broad_all_or_top50_share,broad_all_or_top50_mass_per_scenario,broad_low_alpha_mass,broad_low_alpha_share,broad_low_alpha_mass_per_scenario,broad_q2s3_mass,broad_q2s3_share,broad_q2s3_mass_per_scenario,broad_tail_equal_mass,broad_tail_equal_share,broad_tail_equal_mass_per_scenario,e101_plausible_mass,e101_plausible_share,e101_plausible_mass_per_scenario,e72_pos_bin,e72_abs_bin
0,0,Q1,Q,False,False,False,False,False,True,0.0033458068850688027,0.01398461538461504,id01_b2,id01,between_train_runs,11-16,left_edge,True,0,14,0,0.0301122619656192,4.9286248833771034e-05,8.723134984246582e-06,0.0301122619656192,0.00017909066418334495,3.169711785854653e-05,0.0066916137701376,0.00010136200832539653,1.7939983297956034e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0033458068850688,0.0003316493781173063,5.869836640471579e-05,p03,a03
1,0,Q2,Q,True,False,False,False,False,False,0.0,0.0,id01_b2,id01,between_train_runs,11-16,left_edge,True,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,zero
2,0,Q3,Q,False,False,False,False,False,True,0.007777211764294467,0.013984615384615151,id01_b2,id01,between_train_runs,11-16,left_edge,True,0,14,0,0.2650584327136925,0.0004338344254952345,7.678401874672436e-05,0.2650584327136925,0.0015764173019047897,0.00027900887654072897,0.0689866692120125,0.0010449837033654139,0.00018495085579628016,0.0,0.0,0.0,0.0077772117642944,0.0011876141756566867,0.0002101949125484973,0.0077772117642944,0.000770907447356095,0.00013644231165428774,p05_high,a03
3,0,S1,S,False,False,True,False,True,True,0.007949261703573351,0.013984615384615429,id01_b2,id01,between_train_runs,11-16,left_edge,True,0,14,0,1.3203254663840973,0.002161042885189754,0.0003824813054415114,0.2543763745143456,0.001512886475162168,0.00026776460475194273,0.1748837574786126,0.0026490723300007864,0.00046885725865579783,0.0,0.0,0.0,0.0238477851107199,0.0036416608565981324,0.0006445347327221594,0.0238477851107199,0.0023638851174408934,0.0004183821949249105,p05_high,a04
4,0,S2,S,False,False,True,False,True,False,0.0,0.0,id01_b2,id01,between_train_runs,11-16,left_edge,True,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,zero
5,0,S3,S,True,False,False,False,False,False,0.0,0.0,id01_b2,id01,between_train_runs,11-16,left_edge,True,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,zero
6,0,S4,S,False,False,False,False,False,False,0.0,0.0,id01_b2,id01,between_train_runs,11-16,left_edge,True,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,zero
7,1,Q1,Q,False,False,False,False,False,True,0.0009587261904911437,0.01398461538461504,id01_b2,id01,between_train_runs,11-16,near_edge,True,0,14,1,0.0105459880954021,1.7261147437592933e-05,3.0550371075904116e-06,0.0105459880954021,6.272155889954825e-05,1.1101040100423264e-05,0.0057523571429466,8.713450785460049e-05,1.5421869015942628e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0009587261904911,9.503266499931575e-05,1.6819757727914037e-05,p01_low,a03
8,1,Q2,Q,True,False,False,False,False,False,0.0,0.0,id01_b2,id01,between_train_runs,11-16,near_edge,True,0,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,zero
9,1,Q3,Q,False,False,False,False,False,True,0.00400258851681079,0.007430769230769546,id01_b2,id01,between_train_runs,11-16,near_edge,True,0,14,1,0.12660825688981409,0.00020722608154133296,3.6676783571788555e-05,0.12660825688981409,0.0007529941405059808,0.00013327184935769905,0.040025885168107,0.0006062968134452866,0.00010730800313165415,0.0,0.0,0.0,0.0160103540672428,0.0024448509342172094,0.00043271227208764324,0.0200129425840535,0.001983760626448175,0.0003511042558605877,p03,a02
10,1,S1,S,False,False,True,True,True,True,0.0032973802239751326,0.01398461538461504,id01_b2,id01,between_train_runs,11-16,near_edge,True,0,14,1,0.4224109130173864,0.000691381118856018,0.00012236700840596363,0.049460703359626504,0.0002941642253831516,5.2063898273291056e-05,0.0362711824637261,0.0005494220116629028,9.724177604216111e-05,0.0,0.0,0.0,0.0065947604479502,0.0010070486995098907,0.00017823676886351893,0.0164869011198755,0.0016342456965730686,0.0002892438792960614,p03,a03
11,1,S2,S,False,False,True,False,True,True,0.006877484235280007,0.013984615384615838,id01_b2,id01,between_train_runs,11-16,near_edge,True,0,14,1,1.1385579529133365,0.0018635348829996725,0.0003298255947025888,0.2556209773720488,0.0015202886674214229,0.0002690747130232093,0.2576954903680481,0.003903472814983779,0.0006908726283325687,0.0,0.0,0.0,0.02063245270584,0.0031506655668703983,0.0005576338569145946,0.02063245270584,0.002045168876740434,0.00036197285448842106,p04,a05_high
12,1,S3,S,True,True,True,True,True,True,0.016568600865992877,0.02025229331272249,id01_b2,id01,between_train_runs,11-16,near_edge,True,0,14,1,7.384841680544538,0.012087140616699188,0.002139293650215683,1.522221268965562,0.009053309193587539,0.0016023381778584864,0.4231451568493764,0.0064096411396044675,0.0011344374178267464,1.3951354915023881,0.02142011217346979,0.00379112905299562,0.0,0.0,0.0,0.0,0.0,0.0,p05_high,a05_high
13,1,S4,S,False,False,False,False,False,False,0.0,0.0,id01_b2,id01,between_train_runs,11-16,near_edge,True,0,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zero,zero
