score,top_frac,mode,folds,selected_n_mean,drop_delta_mean,drop_delta_std,win_rate,selected_mean_benefit_mean,harmful_rate_selected_mean,harmful_rate_valid_mean,tail20_rate_selected_mean
score_neg_trainpca_smooth_sum,0.05,train_quantile_threshold,20,3.75,0.0007142205870423826,0.0018894350751480823,0.35,0.015366415304061609,0.6008771929824561,0.4930445767504497,0.3652046783625731
score_allpca_incoming,0.05,train_quantile_threshold,20,3.5,0.0007732724344642303,0.001813967125397181,0.35,0.0272615719500974,0.4298245614035087,0.4930445767504497,0.3939393939393939
score_trainpca_incoming,0.05,train_quantile_threshold,20,3.55,0.0008401571487304039,0.0016586187193756512,0.3,0.015953167528937377,0.41384711779448624,0.4930445767504497,0.3941102756892231
score_allpca_smooth_sum,0.05,train_quantile_threshold,20,3.5,0.0017915779517128287,0.0035940861963491043,0.3,0.05023778448872074,0.37741101491101486,0.4930445767504497,0.37046657046657044
score_trainpca_source,0.05,train_quantile_threshold,20,3.45,0.001962914520890434,0.003394499086779483,0.2,0.032312766121813545,0.402234753550543,0.4930445767504497,0.402234753550543
score_trainpca_smooth_sum,0.05,train_quantile_threshold,20,3.8,0.002016422012216608,0.002918211009181612,0.2,0.0433792255700297,0.2875,0.4930445767504497,0.2875
score_trainpca_amp_smooth,0.05,train_quantile_threshold,20,3.45,0.0022325942881992354,0.0033339463171659176,0.2,0.06452985993306422,0.274906629318394,0.4930445767504497,0.274906629318394
score_trainpca_smooth_mean,0.05,train_quantile_threshold,20,3.45,0.0022887930003159204,0.0034391800740117234,0.25,0.04833905016709133,0.331203007518797,0.4930445767504497,0.331203007518797
score_amp,0.05,train_quantile_threshold,20,3.7,0.002369015501908409,0.00452859482830095,0.2,0.037675935828116194,0.4555852644087938,0.4930445767504497,0.4555852644087938
score_allpca_smooth_mean,0.05,train_quantile_threshold,20,3.6,0.0027394635435004817,0.0030486363859881355,0.05,0.07361187012052582,0.22163865546218486,0.4930445767504497,0.22163865546218486
score_allpca_amp_smooth,0.05,train_quantile_threshold,20,3.55,0.002760743506293238,0.003501599614187752,0.1,0.06804480147065356,0.2745535714285714,0.4930445767504497,0.2745535714285714
score_allpca_source,0.05,train_quantile_threshold,20,3.7,0.0028608639903374665,0.003273353261252121,0.1,0.06396619964483813,0.26488095238095233,0.4930445767504497,0.26488095238095233
