candidate,world,prior,pred_delta_base,q_tie,q_base,adverse_slippage_tolerance_to_loss,clean_win_slippage_tolerance,clean_or_better_rate,win_rate,beats_e101_rate,branch_or_hard_fail_rate,mean_delta_vs_e95,median_delta_vs_e95,worst_delta_vs_e95,worst_analogue,best_delta_vs_e95,best_analogue,ordered_outcomes,stress_score
e166,broad_plateau_break_safety_atlas_test,focus_mean,-0.0001910448568381816,0.31776171246051127,0.4028980829762995,0.0851363705157882,0.07831337904858371,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666,-0.0001196999840922239,-0.00013360273647190486,0.00010398838292798257,e72_vs_mixmin,-0.00030755675200182903,e101_vs_e95,e101_vs_e95:clean_or_better;mixmin_vs_a2c8:clean_or_better;e101_vs_mixmin:clean_or_better;e95_vs_mixmin:clean_or_better;e72_vs_e95:micro_win;e72_vs_mixmin:hard_fail,1.1249999999999998
e172,safer_tail_repair_contrast,focus_mean,-7.626372872154301e-05,0.31857055754699676,0.4204601901537429,0.10188963260674616,0.08143427821864652,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666,-5.246626969254392e-05,-5.7103606159929e-05,2.2146166275795203e-05,e72_vs_mixmin,-0.0001151268865748175,e101_vs_e95,e101_vs_e95:clean_or_better;mixmin_vs_a2c8:clean_or_better;e101_vs_mixmin:clean_or_better;e95_vs_mixmin:clean_or_better;e72_vs_e95:micro_win;e72_vs_mixmin:branch_loss,1.1249999999999998
e176,broad_q2_underopen,focus_mean,-7.804195492488964e-05,0.31186251796519676,0.40669857959481076,0.094836061629614,0.07623060139742738,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666,-5.187837434695044e-05,-5.6976789525797745e-05,3.015258863086774e-05,e72_vs_mixmin,-0.00012076917890154474,e101_vs_e95,e101_vs_e95:clean_or_better;mixmin_vs_a2c8:clean_or_better;e101_vs_mixmin:clean_or_better;e95_vs_mixmin:clean_or_better;e72_vs_e95:micro_win;e72_vs_mixmin:branch_loss,1.1249999999999998
e174,full_q2_reopen_contrast,focus_mean,-7.812430360380805e-05,0.31207534956749133,0.4063202216911397,0.09424487212364835,0.07577488395011178,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666,-5.1768820676541566e-05,-5.690463126645473e-05,3.086381585532742e-05,e72_vs_mixmin,-0.00012116491949702165,e101_vs_e95,e101_vs_e95:clean_or_better;mixmin_vs_a2c8:clean_or_better;e101_vs_mixmin:clean_or_better;e95_vs_mixmin:clean_or_better;e72_vs_e95:micro_win;e72_vs_mixmin:branch_loss,1.1249999999999998
e144,conservative_unrepaired_branch,focus_mean,-3.047595433538922e-05,0.4576460827022093,0.4738468482207182,0.01620076551850891,0.008061723902444196,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.9332740709694216e-05,1.7678007224858653e-05,0.0002168516024488123,e72_vs_mixmin,-0.00012814834674094067,e101_vs_e95,e101_vs_e95:clean_or_better;mixmin_vs_a2c8:clean_or_better;e101_vs_mixmin:branch_loss;e95_vs_mixmin:branch_loss;e72_vs_e95:hard_fail;e72_vs_mixmin:hard_fail,-0.08333333333333326
e155,low_body_repaired_branch_control,focus_mean,-3.0342251947011365e-05,0.45772421418270876,0.4735665077985592,0.015842293615850433,0.007848272430851955,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,3.055143931414697e-05,1.8685276007596066e-05,0.00022147210166563848,e72_vs_mixmin,-0.00012978653013096225,e101_vs_e95,e101_vs_e95:clean_or_better;mixmin_vs_a2c8:clean_or_better;e101_vs_mixmin:branch_loss;e95_vs_mixmin:branch_loss;e72_vs_e95:hard_fail;e72_vs_mixmin:hard_fail,-0.08333333333333326
e154,repaired_branch_counterworld,focus_mean,-2.9837558013120742e-05,0.4579940910304584,0.47278238590354305,0.01478829487308464,0.007199900869309606,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,3.431112189626387e-05,2.1810669124566664e-05,0.00023543718608488038,e72_vs_mixmin,-0.0001345974935322722,e101_vs_e95,e101_vs_e95:clean_or_better;mixmin_vs_a2c8:clean_or_better;e101_vs_mixmin:branch_loss;e95_vs_mixmin:branch_loss;e72_vs_e95:hard_fail;e72_vs_mixmin:hard_fail,-0.08333333333333326
e172,safer_tail_repair_contrast,visible_mean,-5.285340157661601e-05,0.31857055754699676,0.389183596785098,0.07061303923810125,0.050157684850001605,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.16666666666666666,-2.629861411740135e-05,-2.8652950980757462e-05,3.749484345298969e-05,e72_vs_mixmin,-7.19084160198143e-05,mixmin_vs_a2c8,mixmin_vs_a2c8:clean_or_better;e101_vs_e95:clean_or_better;e95_vs_mixmin:clean_or_better;e101_vs_mixmin:clean_or_better;e72_vs_e95:tie;e72_vs_mixmin:branch_loss,1.0416666666666665
e176,broad_q2_underopen,visible_mean,-5.0823947277837684e-05,0.31186251796519676,0.37362343875376686,0.061760920788570095,0.043155460556383474,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.16666666666666666,-2.162888403295164e-05,-2.4217306694252096e-05,4.8507396712584375e-05,e72_vs_mixmin,-7.177355392243339e-05,mixmin_vs_a2c8,mixmin_vs_a2c8:clean_or_better;e101_vs_e95:clean_or_better;e95_vs_mixmin:clean_or_better;e101_vs_mixmin:clean_or_better;e72_vs_e95:small_loss;e72_vs_mixmin:branch_loss,1.0416666666666665
e174,full_q2_reopen_contrast,visible_mean,-5.06332915327069e-05,0.31207534956749133,0.3731565735346099,0.06108122396711857,0.042611235793582,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.16666666666666666,-2.1224090883776987e-05,-2.3831498881899966e-05,4.942661933780311e-05,e72_vs_mixmin,-7.173655752528839e-05,mixmin_vs_a2c8,mixmin_vs_a2c8:clean_or_better;e101_vs_e95:clean_or_better;e95_vs_mixmin:clean_or_better;e101_vs_mixmin:clean_or_better;e72_vs_e95:small_loss;e72_vs_mixmin:branch_loss,1.0416666666666665
e166,broad_plateau_break_safety_atlas_test,visible_mean,-0.0001278352470236411,0.31776171246051127,0.3747296368302339,0.056967924369722645,0.05014493290251815,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,-4.822389314905433e-05,-5.528220402638691e-05,0.0001430291354553038,e72_vs_mixmin,-0.00018496225285084876,mixmin_vs_a2c8,mixmin_vs_a2c8:clean_or_better;e101_vs_e95:clean_or_better;e95_vs_mixmin:clean_or_better;e101_vs_mixmin:clean_or_better;e72_vs_e95:branch_loss;e72_vs_mixmin:hard_fail,0.8333333333333335
e144,conservative_unrepaired_branch,visible_mean,-2.171842611782245e-05,0.4576460827022093,0.4691914185789376,0.011545335876728291,0.003406294260663578,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,4.502009345268376e-05,3.9103082929741926e-05,0.00020534827996409298,e72_vs_mixmin,-6.960822588695517e-05,mixmin_vs_a2c8,mixmin_vs_a2c8:clean_or_better;e101_vs_e95:clean_or_better;e95_vs_mixmin:branch_loss;e101_vs_mixmin:branch_loss;e72_vs_e95:hard_fail;e72_vs_mixmin:hard_fail,-0.08333333333333326
e155,low_body_repaired_branch_control,visible_mean,-2.1502184779778025e-05,0.45772421418270876,0.468950932794709,0.011226718612000253,0.003232697427001774,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,4.644704572742162e-05,4.042269405578851e-05,0.0002096837637753224,e72_vs_mixmin,-7.026075875471687e-05,mixmin_vs_a2c8,mixmin_vs_a2c8:clean_or_better;e101_vs_e95:clean_or_better;e95_vs_mixmin:branch_loss;e101_vs_mixmin:branch_loss;e72_vs_e95:hard_fail;e72_vs_mixmin:hard_fail,-0.08333333333333326
e154,repaired_branch_counterworld,visible_mean,-2.0749873996885092e-05,0.4579940910304584,0.4682782857058521,0.01028419467539371,0.0026958006716186755,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,5.083148932039642e-05,4.448511420268922e-05,0.00022279380197777606,e72_vs_mixmin,-7.211477058924364e-05,mixmin_vs_a2c8,mixmin_vs_a2c8:clean_or_better;e101_vs_e95:clean_or_better;e95_vs_mixmin:branch_loss;e101_vs_mixmin:branch_loss;e72_vs_e95:hard_fail;e72_vs_mixmin:hard_fail,-0.08333333333333326
