name,file,public_lb,public_delta_vs_e95,changed_cells_vs_e95,changed_rows_vs_e95,l1_logit_vs_e95,l2_logit_vs_e95,mean_abs_prob_vs_e95,max_abs_prob_vs_e95,active_overlap_with_e101_cells,active_overlap_with_e72_cells,active_overlap_with_e144_cells,overlap_e101_share_of_active,overlap_e72_share_of_active,overlap_e144_share_of_active,cos_hardtail_axis,proj_on_hardtail_axis,cos_e101_loss_axis,proj_on_e101_loss_axis,cos_e72_fail_axis,proj_on_e72_fail_axis,cos_e142_branch_axis,proj_on_e142_branch_axis,cos_e143_branch_axis,proj_on_e143_branch_axis,resid_ratio_vs_e142_axis,resid_ratio_vs_e143_axis,share_Q1,share_Q2,share_Q3,share_S1,share_S2,share_S3,share_S4,q_share,s_share,q2s3_share
mixmin,submission_mixmin_0c916bb4.csv,0.5763066405,1.5310700000048527e-05,550,250,9.709487240370283,0.53055370726413,0.0008626065828367252,0.018338323528922007,50,550,27,0.09090909090909091,1.0,0.04909090909090909,-0.9999999999999998,-1.0,0.6510264869775284,3.9999999999999916,0.6719025345729499,0.6236663252080651,-0.042451011907142705,-0.08279451008618295,-0.02859201681065446,-0.05922733947738046,0.9990985494875168,0.9995911647142044,2.0724876425671635e-15,0.014258260656614506,1.292088847503942e-15,0.4008264219469226,0.3768664862792405,0.20804883111721775,1.3299653457991349e-15,0.01425826065661787,0.9857417393433823,0.22230709177383226
failed_e72,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,0.0001164474000000526,1047,250,15.443905077191834,0.5715883096925528,0.001577715211850042,0.009930642458388927,50,1047,60,0.04775549188156638,1.0,0.05730659025787966,-0.6719025345729499,-0.7238694759011435,0.20113407203374936,1.3313767349942616,0.9999999999999998,1.0,-0.026846588323673728,-0.0564100625409774,-0.023410044107274774,-0.052243666704451054,0.9996395653911357,0.9997259473650241,0.12098733449265923,0.06106474432272689,0.11637775088651031,0.24281470157303137,0.30602375690502104,0.04531147130344074,0.10742024051661041,0.2984298297018964,0.7015701702981035,0.10637621562616763
e85,submission_e85_inverse_conflict_pruned_58b23ed1.csv,,,445,248,1.4331931088533656,0.08564664489270606,0.00012510949421955188,0.0032263153725338167,19,445,23,0.04269662921348315,1.0,0.051685393258426963,-0.7038732232496633,-0.11362540526200952,0.15388476417050867,0.15262931587081263,0.5979234715010517,0.08959269874537788,-0.0155819102737146,-0.004905860491723112,-0.016549490935902113,-0.005534049944931815,0.9998785946664834,0.9998630477969283,3.0598674527383944e-15,0.09659577558674526,3.389093697653285e-15,0.4147285343125325,0.4610064550345614,0.027669235066150485,4.013655250506533e-15,0.0965957755867517,0.9034042244132484,0.12426501065289573
e86,submission_e86_e85_consensus_a3f7c96f.csv,,,134,115,0.9027671174722265,0.10291499295626119,0.00011344557780391169,0.005565893614565165,31,134,4,0.23134328358208955,1.0,0.029850746268656716,0.20483292528285202,0.03973279005324238,-0.18386846997789366,-0.21913809930702968,0.1942776798453975,0.03497987225036551,0.010462926283735161,0.003958366060864245,0.004247726822354921,0.00170680264739813,0.9999452620886712,0.9999909783677265,4.181320088723393e-15,0.5532839276938425,1.1068200234856041e-15,0.23581392500066287,0.07773375238687147,0.13316839491861754,3.689400078285347e-16,0.5532839276938478,0.44671607230615223,0.6864523226124601
e89,submission_e89_e72decontam_00d7807f.csv,,,158,135,0.6174680144547204,0.0622189401123619,6.141026752637979e-05,0.0032263153725338167,19,158,0,0.12025316455696203,1.0,0.0,-0.2379409183437146,-0.0279037382003209,0.2118280016906233,0.15262931587082204,0.15442465470270866,0.01680954312726942,3.052369119510854e-16,6.981420550288934e-17,5.187056445738647e-16,1.2600612700521567e-16,1.0,1.0,0.0,0.2242065931747127,2.3374327061900654e-15,0.4316135887800889,0.27995728975916345,0.06422252828603241,3.596050317215485e-16,0.22420659317471503,0.7757934068252851,0.2884291214607451
e90,submission_e90_e72pareto_28925de5.csv,,,162,119,0.7925681560692692,0.0812553601227767,8.650267405753992e-05,0.005155287214494486,29,162,4,0.17901234567901234,1.0,0.024691358024691357,0.04943987853210353,0.007571816160267571,-0.05348143390186017,-0.050325377554114335,0.2073514336196812,0.029476487053774227,0.015673085189568167,0.004681560646311778,0.012013231219027894,0.003811184168635059,0.9998771696566737,0.9999278385342006,0.0,0.3145070630132352,1.2607126775294165e-15,0.3627106773551866,0.17662506352199542,0.14615719610957983,1.5408710503137313e-15,0.31450706301323655,0.6854929369867634,0.46066425912281506
e101,submission_e101_q2s3tail_177569bc.csv,0.576300366,9.036200000034356e-06,50,48,0.5396219677554555,0.0863511290482678,4.5499505693733e-05,0.004576725740788323,50,50,4,1.0,1.0,0.08,-0.6510264869775284,-0.10595887168657572,1.0000000000000002,1.0,0.20113407203374936,0.030385775768458086,-0.0386165376999486,-0.012258165865903826,-0.01567749772160219,-0.0052855823919432405,0.9992541033271112,0.9998771004804485,2.4688906478209603e-15,0.06413767794290443,0.0,4.320558633686681e-15,2.2952967741460492e-15,0.9358623220570864,0.0,0.0641376779429069,0.935862322057093,0.9999999999999909
e142,submission_e142_transferclip_09a92236.csv,,,185,108,3.6999999999999984,0.2720294101747083,0.0003982634449701041,0.004999528945567877,4,60,185,0.021621621621621623,0.32432432432432434,1.0,0.042451011907142705,0.02176579594546222,-0.0386165376999486,-0.12165253760184769,-0.026846588323673728,-0.012776786129199113,1.0000000000000002,1.0,0.9415341132887762,1.0000000000000004,0.0,0.3369176657783296,0.20540540540540686,0.0,0.3027027027027033,6.30126581544008e-16,0.12432432432432201,0.2540540540540541,0.11351351351351302,0.5081081081081101,0.49189189189188975,0.2540540540540541
e143,submission_e143_activeq2s3repair_68ca656f.csv,,,164,106,3.2799999999999923,0.2561249694973126,0.000359675290463733,0.004999492484772605,2,58,164,0.012195121951219513,0.35365853658536583,1.0,0.02859201681065446,0.013802805132129234,-0.01567749772160219,-0.046500823671860224,-0.023410044107274774,-0.010489887093967303,0.9415341132887762,0.8864864864864814,1.0000000000000002,1.0,0.33691766577832966,0.0,0.23170731707317302,0.0,0.34146341463414764,9.13903099539003e-16,0.14024390243902213,0.15853658536585188,0.12804878048780435,0.5731707317073207,0.4268292682926793,0.15853658536585188
e144,submission_e144_activeboundary_d7b4b331.csv,,,185,108,3.291999999999994,0.254196774173079,0.00035831198802368516,0.004999492484772605,4,60,185,0.021621621621621623,0.32432432432432434,1.0,0.031301925856133735,0.014997253754129112,-0.01962579558349453,-0.05777358076135826,-0.024358969802615593,-0.01083292194925204,0.9521468334152945,0.8897297297297255,0.991918718832651,0.9844512195121953,0.3056409783017124,0.12687495903208346,0.2308626974483618,0.0,0.3402187120291627,9.105717395163815e-16,0.13973268529768906,0.16160388821385047,0.12758201701093502,0.5710814094775245,0.42891859052247544,0.16160388821385047
