step,kind,n_folds,mean_selected,mean_fit_delta,mean_val_delta,median_val_delta,val_win_rate,mean_cumulative_val_delta,final_val_loss
1,subject,10,2.0,-0.000349857510288043,0.0010912139885465133,0.001255721722775549,0.1,0.0010912139885465133,0.5722378060073078
2,logit,10,2.0,-0.00026349559910551215,0.0006544219615173486,0.0006175507145519399,0.0,0.001745635950063862,0.5728922279688252
3,subject,10,2.0,-0.0001353957214781598,0.0004961029730592536,0.0003239554179638171,0.3,0.0022417389231231153,0.5733883309418845
4,logit,10,2.0,-0.00018616358733504202,0.0005951229410936732,0.0005787769306753177,0.1,0.002836861864216789,0.5739834538829781
