path,file,family,known_public_lb,known_delta_vs_e95,known_beats_e95,q_share_vs_e95,s_share_vs_e95,q2s3_share_vs_e95,mean_abs_logit_move_vs_e95,mean_abs_logit_move_vs_mixmin,cos_move_e95_vs_e95_from_mixmin,cos_move_e95_vs_e72_from_mixmin,cos_move_e95_vs_e72_from_e95,cos_move_e95_vs_e101_loss,cos_move_e95_vs_e154,vs_e95_moved_cells,vs_e95_moved_rows,vs_e95_targets_moved,vs_e95_expected_delta_focus_mean,vs_e95_total_swing,vs_e95_top1_swing,vs_e95_top5_swing,vs_e95_top10_swing,vs_e95_top25_swing,vs_e95_cells_for_2e6_guard,vs_e95_cells_for_e95_edge,vs_e95_cells_to_flip_expected_focus_mean,vs_e95_top1_over_abs_expected,vs_e95_top5_over_abs_expected,vs_e95_support_prob_swing_weighted_focus_mean,vs_mixmin_moved_cells,vs_mixmin_moved_rows,vs_mixmin_targets_moved,vs_mixmin_expected_delta_focus_mean,vs_mixmin_total_swing,vs_mixmin_top1_swing,vs_mixmin_top5_swing,vs_mixmin_top10_swing,vs_mixmin_top25_swing,vs_mixmin_cells_for_2e6_guard,vs_mixmin_cells_for_e95_edge,vs_mixmin_cells_to_flip_expected_focus_mean,vs_mixmin_top1_over_abs_expected,vs_mixmin_top5_over_abs_expected,vs_mixmin_support_prob_swing_weighted_focus_mean,broad_edge_score,broad_edge_gate,low_e72_axis_gate,not_known_public_bad,candidate_gate
jepa/submission_block_canvas_multifeature_k8_c0p02_all_scale1p0.csv,submission_block_canvas_multifeature_k8_c0p02_all_scale1p0.csv,jepa,,,,0.3715894128233969,0.628410587176603,0.2507185854588148,0.2243986391253983,0.22534570646135652,0.13768348927189472,0.30176628121751203,0.10870561427493299,-0.09914567450240845,0.06166185233791368,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.025880911848844675,0.2243986391253983,0.000776050647633205,0.0034556895542436046,0.006348866744766823,0.013927084575228572,1,1,54,0.0299854445687874,0.1335227125854867,0.465746836194086,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.02602545450362548,0.22534570646135652,0.0007622838044808321,0.003445170230676783,0.0063906669098598165,0.014096156853718029,1,1,54,0.02928993245342332,0.1323769477377178,0.46621098293941615,0.09354461236653668,True,True,True,True
jepa/submission_block_canvas_multifeature_k5_c0p02_all_scale1p0.csv,submission_block_canvas_multifeature_k5_c0p02_all_scale1p0.csv,jepa,,,,0.40497790971665537,0.5950220902833447,0.280110075769813,0.20754197834569074,0.20863990596774679,0.15107404116840686,0.3343597488467357,0.12182101175205876,-0.1158754877268866,0.09001807839465678,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.02426333358481508,0.20754197834569077,0.0008002682409651871,0.003238708247967032,0.005763328493012062,0.012518002621242306,1,1,57,0.03298261709042427,0.1334815859760482,0.4757914080231397,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.024407876239595887,0.2086399059677468,0.0007865013978128139,0.0032131239371082925,0.0057830111032908015,0.012567193484007042,1,1,56,0.03222326228190658,0.1316429133599004,0.4762646286421717,0.0878213923923125,True,True,True,True
jepa/submission_block_canvas_multifeature_k8_c0p02_noq2_scale1p0.csv,submission_block_canvas_multifeature_k8_c0p02_noq2_scale1p0.csv,jepa,,,,0.29556726086664487,0.7044327391333552,0.1600740503141324,0.2001816110192558,0.20108361327368754,0.14385270699444963,0.31810686695417373,0.11578597354139689,-0.10243658014935556,0.06505680736132259,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.024097610631088635,0.20018161101925583,0.000776050647633205,0.0034556895542436046,0.006348866744766823,0.013927084575228572,1,1,50,0.03220446456347054,0.1434038256799359,0.4574829844282866,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.02424215328586944,0.2010836132736875,0.0007622838044808321,0.003445170230676783,0.0063906669098598165,0.014096156853718029,1,1,50,0.03144455838933917,0.1421148604272272,0.45803252631154967,0.08491557109828579,True,True,True,True
jepa/submission_block_canvas_multifeature_k3_c0p02_all_scale1p0.csv,submission_block_canvas_multifeature_k3_c0p02_all_scale1p0.csv,jepa,,,,0.40259155268928837,0.5974084473107115,0.2650517871884259,0.19691976494256497,0.19819674312148317,0.13477506252346103,0.32864513096188996,0.13247113384195128,-0.11690630195670747,0.11182732276601405,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.023662682486652722,0.19691976494256497,0.000806240204612614,0.0032530092425987946,0.0057365342024068575,0.01253854877047251,1,1,56,0.034072223428911134,0.13747423794549504,0.4791589545594852,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.023807225141433526,0.19819674312148314,0.000792473361460241,0.0032220324001478906,0.00570633133425435,0.012576714661613935,1,1,56,0.03328709485260587,0.13533842692739284,0.47965728254576906,0.08447847858467306,True,True,True,True
jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p35_mw1p0.csv,submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p35_mw1p0.csv,jepa,,,,0.29401968244412774,0.7059803175558724,0.15868321700006882,0.19726687430436313,0.1980942738145692,0.13461708794600824,0.3129524635429515,0.1203188776354161,-0.09319864167031076,0.05207404897519693,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.023754522258768094,0.19726687430436313,0.0007620824452488897,0.003379458200959494,0.006234680017167554,0.013716392608167661,1,1,50,0.03208157322412979,0.14226588790738964,0.45649750961441804,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.023899064913548897,0.19809427381456923,0.0007483156020965167,0.0033776794434088385,0.006281847550444524,0.013872566341670663,1,1,49,0.031311501299462155,0.14133102929453775,0.45704344847872547,0.08336790656181332,True,True,True,True
jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p5_mw1p0.csv,submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p5_mw1p0.csv,jepa,,,,0.29331227565716234,0.7066877243428377,0.15809787484909246,0.19622447543995253,0.1970457784572136,0.130405418757777,0.3102897819083896,0.1221413527626143,-0.0890403216985329,0.04633361857428236,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.02358648197487368,0.19622447543995253,0.0007560960727984686,0.0033486703073207207,0.006188043148846714,0.013633793074155335,1,1,50,0.03205633097822414,0.1419741320849802,0.45611248736980897,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.023731024629654485,0.1970457784572136,0.0007423292296460956,0.003353199547256828,0.006235210682123683,0.01379049059610116,1,1,49,0.03128095989241336,0.1413002430188641,0.45666159007591495,0.08264371880270333,True,True,True,True
jepa/submission_bigshot_11_jepa_multifeature_rawstack.csv,submission_bigshot_11_jepa_multifeature_rawstack.csv,jepa,,,,0.29212015687735443,0.7078798431226454,0.15729910346325868,0.1949224046998455,0.19566604123858972,0.12307070932707904,0.3052411953836522,0.12499274684118919,-0.08187024006204027,0.036573849851948725,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.023278392877990155,0.19492240469984545,0.0007461187853811006,0.003307870480400702,0.006110315034978644,0.013513424092773786,1,1,49,0.03205198869577289,0.14210046620221412,0.4555610659881011,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.023422935532770958,0.19566604123858972,0.0007323519422287276,0.0033123997203368095,0.006157482568255614,0.013668681371644578,1,1,49,0.0312664457110466,0.14141693365899594,0.4560987159453574,0.08094772941762582,True,True,True,True
jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw1p0_mw1p0.csv,submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw1p0_mw1p0.csv,jepa,,,,0.2915096913615617,0.7084903086384383,0.15671214621095322,0.1942457409472209,0.19486763135829022,0.1153747752423424,0.29943599338914595,0.12758644719923742,-0.07443558178411393,0.02662639541589245,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.02293526477251111,0.1942457409472209,0.0007361414979637326,0.0032670706534806853,0.0060325869211105745,0.013399102728188849,1,1,49,0.03209649006738433,0.14244747928074536,0.45514710606737085,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.023079807427291918,0.1948676313582902,0.0007223746548113595,0.003271599893416793,0.006079754454387545,0.013547358102221782,1,1,48,0.03129898969421859,0.1417516113911817,0.45566051615801756,0.07957109066760153,True,True,True,True
jepa/submission_block_canvas_multifeature_k5_c0p02_noq2_scale1p0.csv,submission_block_canvas_multifeature_k5_c0p02_noq2_scale1p0.csv,jepa,,,,0.3233488374197445,0.6766511625802554,0.18135080677726073,0.18250476553662404,0.18357072074476447,0.1585858554621905,0.3467005151883844,0.1245203624152253,-0.11929426590383067,0.09630931936560076,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.022169690436697913,0.18250476553662404,0.0008002682409651871,0.003238708247967032,0.005763328493012062,0.012241751263320878,1,1,53,0.036097402588918776,0.14608721115049655,0.47077285251634843,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.022314233091478716,0.18357072074476444,0.0007865013978128139,0.0032131239371082925,0.0057830111032908015,0.012362742284350232,1,1,53,0.03524662463587693,0.1439943700478467,0.47133562338358964,0.07864200989595099,True,True,True,True
jepa/submission_block_canvas_multifeature_k8_c0p02_all_scale0p75.csv,submission_block_canvas_multifeature_k8_c0p02_all_scale0p75.csv,jepa,,,,0.3711963922915192,0.628803607708481,0.2532965404148442,0.17313619639422137,0.17431401273534733,0.15997655809839298,0.29853530534986356,0.08548074743280004,-0.10280494542598466,0.07765113970601979,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.020736972244097252,0.1731361963942214,0.0005845554646298611,0.002626335459846195,0.004854549307069253,0.01068261446377151,1,1,58,0.02818904600676475,0.1266498999435068,0.4660473118889196,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.020881514898878056,0.17431401273534733,0.0005707886214774881,0.0026206168012925385,0.004900369783296482,0.010879507577136913,1,1,57,0.02733463660283364,0.12549936218628188,0.466690653481239,0.0778970801633447,True,True,True,True
