method,blocks,weighted_row_logloss,weighted_count_nll_per_row,rate_mae_weighted,count_mae_mean,is_subject_mean,weighted_pattern_nll,mean_pattern_nll,weighted_margin_only_pattern_nll,weighted_joint_gain_vs_own_margins,weighted_pair_mse,mean_pred_entropy,mean_pred_top_mass,family,context,fallback,k,alpha,strength,pseudo_support_mean,hidden_support_mean,pseudo_dist_median,hidden_dist_median,true_pattern_entropy_weighted,delta_weighted_row_logloss_vs_subject,delta_weighted_row_logloss_vs_raw,delta_pattern_nll_vs_subject,delta_pattern_nll_vs_raw,delta_pair_mse_vs_raw,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate,s3_delta_vs_subject,s3_delta_vs_raw,pattern_beats_raw,row_beats_raw,joint_beats_margin,fixes_s3_vs_subject,hidden_mixmin_negative,joint_gate
struct_raw_calendar_subject_fbsubject_k16_a12_w0.35,369,0.6089465238855205,0.2867144802053416,0.1943751266784394,0.896021925420123,0.0,4.174286542593416,4.152770961670667,4.262626043323939,-0.08833950073052363,0.06014683500507758,4.192456279972136,0.06375622181580706,structural_knn,raw_calendar_subject,subject,16.0,12.0,0.35,16.0,16.0,0.951571584271211,0.9157004571189209,1.6099542188683007,-0.004049462103179802,0.003677945240746605,-0.1167373189513059,-0.06259381407475129,0.0020280047640834006,36.0,0.0003044371508878389,5.020013702358431e-05,0.0007773902405564545,0.5,0.0027274475490118855,-0.005088560178566626,True,False,True,False,False,False
struct_raw_calendar_subject_fbsubject_k16_a24_w0.65,369,0.609925567342925,0.2876935236627462,0.19582676203171173,0.9027136103413054,0.0,4.176098628669184,4.155554027166693,4.269478972194658,-0.09338034352547434,0.060358757717085515,4.201675888523439,0.06233457190358729,structural_knn,raw_calendar_subject,subject,16.0,24.0,0.65,16.0,16.0,0.951571584271211,0.9157004571189209,1.6099542188683007,-0.0030704186457752858,0.004656988698151121,-0.11492523287553791,-0.06078172799898329,0.0022399274760913357,36.0,0.00026223188627744464,-1.0709485404193786e-05,0.0007818468206185238,0.5277777777777778,0.006245049232548094,-0.0015709584950304167,True,False,True,False,False,False
struct_raw_calendar_fbsubject_k16_a12_w0.35,369,0.6093764150243387,0.2871443713441598,0.1939349538507576,0.8939928360437362,0.0,4.176169603031051,4.164623072321714,4.265635339230401,-0.08946573619934972,0.06020371408080601,4.186328757633611,0.06455298230920008,structural_knn,raw_calendar,subject,16.0,12.0,0.35,16.0,16.0,0.9719325249919848,0.9092222569088875,1.6099542188683007,-0.003619570964361607,0.0041078363795648,-0.11485425851367115,-0.06071075363711653,0.002084883839811834,36.0,0.00036975970494120946,0.00010223595666813504,0.0007602080962894813,0.4722222222222222,0.0030779345489867493,-0.004738073178591762,True,False,True,False,False,False
struct_raw_calendar_fbsubject_k16_a24_w0.65,369,0.6102069780291359,0.287974934348957,0.19509775788632516,0.8993530790369624,0.0,4.1771753448498625,4.169529632063415,4.271448850100091,-0.09427350525022912,0.060344310799253606,4.193439935756748,0.06299476797176906,structural_knn,raw_calendar,subject,16.0,24.0,0.65,16.0,16.0,0.9719325249919848,0.9092222569088875,1.6099542188683007,-0.0027890079595643824,0.004938399384362024,-0.11384851669485929,-0.059705011818304676,0.0022254805582594267,36.0,0.0003471512065823737,5.693708026316085e-05,0.0007595100330687696,0.4444444444444444,0.006670122030235981,-0.0011458856973425302,True,False,True,False,False,False
struct_raw_calendar_subject_fbsubject_k16_a4_w0.35,369,0.6104243993946182,0.28819235571443935,0.19636636979642777,0.9052010705249967,0.0,4.178478945120669,4.158212580713022,4.272970795762328,-0.0944918506416587,0.06049461033165894,4.202702253302046,0.06235792041586404,structural_knn,raw_calendar_subject,subject,16.0,4.0,0.35,16.0,16.0,0.951571584271211,0.9157004571189209,1.6099542188683007,-0.002571586594082076,0.005155820749844331,-0.11254491642405284,-0.05840141154749823,0.0023757800906647614,36.0,0.0002481634656490504,-3.101269160414391e-05,0.0007833323476080281,0.5277777777777778,0.007622628426660505,-0.00019337930091800626,True,False,True,False,False,False
struct_raw_calendar_fbsubject_k16_a4_w0.35,369,0.6106376915998623,0.2884056479196832,0.1955273900547468,0.9013335785450522,0.0,4.17928944861791,4.1728629795099135,4.274463841679781,-0.09517439306187139,0.060447322471919425,4.1937476632849915,0.06283663372669149,structural_knn,raw_calendar,subject,16.0,4.0,0.35,16.0,16.0,0.9719325249919848,0.9092222569088875,1.6099542188683007,-0.002358294388838056,0.005369112955088351,-0.11173441292681208,-0.05759090805025746,0.0023284922309252457,36.0,0.0003396150413842061,4.183745617078193e-05,0.0007592773456551867,0.4444444444444444,0.008068320959721098,0.00025231323214258694,True,False,True,False,False,False
struct_raw_calendar_subject_fbsubject_k16_a24_w0.35,369,0.6088229714354165,0.28659092775523765,0.19339385945241075,0.8914985228416008,0.0,4.182042464420124,4.159277324595811,4.261763122841945,-0.07972065842182083,0.06022836501304984,4.173097202048454,0.06643732044133974,structural_knn,raw_calendar_subject,subject,16.0,24.0,0.35,16.0,16.0,0.951571584271211,0.9157004571189209,1.6099542188683007,-0.004173014553283783,0.0035543927906426243,-0.10898139712459809,-0.054837892248043474,0.0021095347720556587,36.0,0.00034664241498544925,0.00011110975873132784,0.0007729336603237909,0.4722222222222222,0.00023987967950600542,-0.007576128048072506,True,False,True,False,False,False
struct_raw_calendar_fbsubject_k16_a24_w0.35,369,0.6093058367340912,0.2870737930539123,0.19320651161008295,0.8906348949830653,0.0,4.184715371151214,4.168765009691096,4.265143069130677,-0.08042769797946227,0.06031577482802973,4.168996625787965,0.06687040140145606,structural_knn,raw_calendar,subject,16.0,24.0,0.35,16.0,16.0,0.9719325249919848,0.9092222569088875,1.6099542188683007,-0.0036901492546090875,0.004037258089317319,-0.10630849039350743,-0.05216498551695281,0.0021969445870355514,36.0,0.00039236820278005103,0.0001475348322981207,0.0007609061593255426,0.4444444444444444,0.0004971701603987411,-0.00731883756717977,True,False,True,False,False,False
struct_raw_calendar_fbraw_k16_a12_w0.35,369,0.6101199774591156,0.28788793377893684,0.195421170556866,0.9008439325670162,0.0,4.185050102514863,4.198898725661145,4.27083984221381,-0.0857897396989472,0.0594228261473933,4.370774298695601,0.04945816586471372,structural_knn,raw_calendar,raw,16.0,12.0,0.35,16.0,16.0,0.9719325249919848,0.9092222569088875,1.6099542188683007,-0.002876008529584695,0.004851398814341712,-0.10597375902985906,-0.051830254153304445,0.0013039959063991177,36.0,0.00026230094585780216,-7.325807276252883e-05,0.000723129602649916,0.5,0.01885179171304696,0.01103578398546845,True,False,True,False,False,False
struct_raw_subject_fbsubject_k16_a12_w0.35,369,0.6094543627257851,0.28722231904560613,0.1950731677022313,0.8992397242858957,0.0,4.185051759517739,4.152643541963387,4.266180846290372,-0.08112908677263364,0.06037321383885603,4.189137745559238,0.06398467554016005,structural_knn,raw_subject,subject,16.0,12.0,0.35,16.0,16.0,0.883606350077285,0.8452790123258104,1.6099542188683007,-0.0035416232629151834,0.0041857840810112235,-0.10597210202698282,-0.0518285971504282,0.002254383597861849,36.0,0.0002647688542577442,4.123072380006345e-05,0.0007927775173736941,0.5277777777777778,0.00403581547830445,-0.0037801922492740614,True,False,True,False,False,False
struct_raw_calendar_fbraw_k16_a24_w0.35,369,0.6082204583697634,0.28598841468958447,0.19378514271546335,0.8933022432493308,0.0,4.186236172386566,4.195877263797206,4.257543208588344,-0.07130703620177808,0.0588403847375179,4.373477004898548,0.049333393000825405,structural_knn,raw_calendar,raw,16.0,24.0,0.35,16.0,16.0,0.9719325249919848,0.9092222569088875,1.6099542188683007,-0.004775527618936959,0.002951879724989448,-0.1047876891581554,-0.05064418428160078,0.0007215544965237242,36.0,0.00027685003346653465,-4.112125368965861e-05,0.0007210467780451974,0.5,0.014994129682584068,0.007178121955005556,True,False,True,False,False,False
