active_axis_count,rows,all_four,strict_candidates,minbody_submit,best_all_minus_base,best_body_norm_ratio,best_axes,lowest_strict_tag,lowest_strict_body_norm_ratio,lowest_strict_all_minus_base,lowest_strict_axes
0,1,1,0,0,-9.72592963266461e-06,3.19909555103347e-13,,,,,
1,20,20,6,1,-1.1226369225680877e-05,0.7485576462483357,Q3,e156_f56e1cf7,0.18713941156208874,-1.0132685977271016e-05,Q3
2,160,160,100,16,-1.1724045011596296e-05,0.8208395530303363,Q1+Q3,e156_ffdcb756,0.17507419356663462,-1.000955919994162e-05,Q1+S2
3,640,640,578,44,-1.1901986952222998e-05,0.842874282214387,Q1+Q3+S2,e156_757546d2,0.17126666665840692,-1.0003569368866039e-05,Q1+S2+S4
4,1280,1280,1276,24,-1.2032179679044575e-05,0.986943786911936,Q1+Q3+S2+S3,e156_80e7d0de,0.19803184498791185,-1.0022160400802171e-05,Q1+S2+S3+S4
5,1024,1024,1024,0,-1.2158049659705128e-05,1.0000000000000016,Q1+Q3+S2+S3+S4,e156_d27e7965,0.25000000000000294,-1.0362490513560196e-05,Q1+Q3+S2+S3+S4
