combo_set,target,contribution_vs_mixmin
inverse_top,Q1,2.140705967026426e-05
inverse_top,Q2,-6.164800427515839e-19
inverse_top,Q3,6.364823241107876e-05
inverse_top,S1,-7.878216350473385e-07
inverse_top,S2,1.2169458499175819e-05
inverse_top,S3,-1.9332697206489282e-05
inverse_top,S4,1.4423629562670998e-05
raw05_compatible,Q1,-8.67297995052675e-06
raw05_compatible,Q2,1.6107366004157933e-19
raw05_compatible,Q3,-4.249174112206116e-06
raw05_compatible,S1,-1.097420884905561e-05
raw05_compatible,S2,-4.227913840365936e-06
raw05_compatible,S3,-7.642326064818821e-06
raw05_compatible,S4,-3.4001992176361777e-06
all_sign,Q1,-2.26718942014059e-05
all_sign,Q2,2.1579786135569728e-19
all_sign,Q3,-2.640993997640696e-05
all_sign,S1,-1.3911576794922334e-05
all_sign,S2,-1.685264300465408e-05
all_sign,S3,-1.499061347549606e-06
all_sign,S4,-1.2539386128758268e-05
