metric,spearman_public_delta,pearson_public_delta,known_min,known_max,e95_value,e101_value,mixmin_value,failed_e72_value
q2s3_delta95_l1,0.9580419580419581,0.9062714899849172,0.0,0.14932074292494912,0.0,0.001079243935510901,0.0043169757420437,0.003285728353202847
tail_equal_delta95_l1,0.9510489510489512,0.8851402402626286,0.0,0.13577778883785377,0.0,7.678098110394853e-18,0.005513215440443277,0.016814385700502022
e101_plausible_delta95_l1,0.9510489510489512,0.8820483887793787,0.0,0.13160811407324374,0.0,8.353609574390005e-05,0.00574306558732237,0.01632777679420784
q2s3_delta101_l1,0.9510489510489512,0.9068618959387806,0.0,0.1500688502468691,0.001079243935510901,0.0,0.0032377318065327986,0.002344924817607201
tail_equal_delta101_l1,0.9440559440559443,0.8851402402626285,0.0,0.1357777888378538,7.678098110394853e-18,0.0,0.005513215440443277,0.016814385700502026
low_alpha_delta95_l1,0.9440559440559443,0.8553970814443462,0.0,0.1458881317103276,0.0,0.0012352477369501407,0.01189854690602091,0.01838214577284318
e101_plausible_delta101_l1,0.9440559440559443,0.8822105202511367,0.0,0.13168111308463834,8.353609574390005e-05,0.0,0.005659529491578475,0.0162912705207661
mean_abs_logit_move_vs_e95,0.9370629370629372,0.8510591676393998,0.0,0.15641862713470853,0.0,0.00030835541014597454,0.005548278423068734,0.008825088615538192
low_alpha_delta101_l1,0.9370629370629372,0.8568302938296855,0.0,0.14667744773844982,0.0012352477369501407,0.0,0.010663299169070783,0.01729567021458902
broad_delta95_l1,0.9370629370629372,0.8399565345224729,0.0,0.15289739771750305,0.0,0.004372024205823411,0.02210879173816179,0.01807171650508068
q2s3_law_resid_ratio,0.9370629370629372,0.8793457040951573,0.0,15.554113356562002,0.0,0.25000000000000083,1.0,0.5845572777739149
e72_pos_delta95_l1,0.9370629370629372,0.8146005127270304,0.0,0.1594710926297161,0.0,0.0013286343664470426,0.009456507498730586,0.015613183688295059
broad_delta101_l1,0.9300699300699302,0.8432959329841446,0.0,0.15520026190927966,0.004372024205823411,0.0,0.01773676753233839,0.013861205988522212
e72_pos_delta101_l1,0.9300699300699302,0.8161874002682372,0.0,0.16019543116792428,0.0013286343664470426,0.0,0.008127873132283548,0.014407971568224417
e72_pos_law_projection,0.9160839160839163,0.9147708071917424,0.0,3.0190594944738147,1.0,0.805085561202898,0.0,0.5182327274123398
mean_abs_logit_move_vs_mixmin,0.9090909090909092,0.8610927690073376,0.0,0.15638793946693835,0.005548278423068734,0.005239923012922762,0.0,0.006684221643935942
e101_active_law_resid_ratio,0.9090909090909092,0.7766889252414625,0.0,4.839094682004392,0.0,0.25000000000000083,0.9999999999999999,0.3573898883115094
changed_cells_vs_e95,0.8967696494617803,0.7320568027862143,0.0,1750.0,0.0,50.0,550.0,1047.0
q2s3_move_mix_rmse,0.8951048951048951,0.8788274376515053,0.0,0.2417296285696986,0.015446959558862633,0.011585219669146963,0.0,0.012700546544113265
e101_active_delta101_l1,0.8951048951048951,0.7708111668153215,0.0,0.18146212466703038,0.010792439355108907,0.0,0.03237731806532647,0.006513015943454137
tail_equal_preservation_score,-0.8881118881118882,-0.823221293813366,-18.41922590580136,1.0,1.0,0.9999999999999932,-1.0,-1.9217102461312838
tail_equal_law_resid_ratio,0.8881118881118882,0.8338936959094643,0.0,18.29076113997165,0.0,6.744041300175574e-15,1.0,1.9461782396381566
low_alpha_law_resid_ratio,0.8881118881118882,0.7971811975018936,0.0,10.5259549470557,0.0,0.20043784205956122,1.0,1.0948504531964887
e101_plausible_law_resid_ratio,0.8881118881118882,0.8422513263104636,0.0,17.48818656250245,0.0,0.09410411910238611,0.9999999999999999,1.812532431178009
e72_adverse_exposure_tail_equal,0.8811188811188813,0.7031799655379878,0.0,0.04712565356327149,0.001315580606690742,0.0013155806066907404,0.0,0.007652631419703543
e72_adverse_exposure_e101_plausible,0.8811188811188813,0.7163470853747348,0.0,0.046003803086353066,0.0015573350202609316,0.0015425297373258358,0.0,0.007633779365575491
broad_law_resid_ratio,0.8811188811188813,0.7727361410755388,0.0,7.097431707235059,0.0,0.23960018131874472,1.0,0.6420109760148234
e72_pos_law_resid_ratio,0.8811188811188813,0.7860694926635425,0.0,11.78642053554922,0.0,0.22074557685098803,1.0,0.9534503737330626
e101_active_delta95_l1,0.8741258741258742,0.7393752526307789,0.0,0.17542549845549504,0.0,0.010792439355108907,0.043169757420435384,0.015921051299410516
changed_cells_vs_mixmin,0.8713730127868305,0.7565778876400915,0.0,1750.0,550.0,550.0,0.0,893.0
tail_equal_move_mix_rmse,0.8601398601398602,0.8447265160433137,0.0,0.1887649069744446,0.010280859977609783,0.010280859977609786,0.0,0.01741845930185256
e101_plausible_move_mix_rmse,0.8601398601398602,0.8528428444809281,0.0,0.18762113777850392,0.010803632125800352,0.010463421752664476,0.0,0.017716206405664726
e72_adverse_exposure_mean,0.8531468531468532,0.5932479509482317,0.0,0.025058260452180982,0.0007889140929277208,0.0006922354035186647,0.0,0.0023309447220717914
e101_active_move_mix_rmse,0.8531468531468532,0.7943063814419448,0.0,0.26223831885531,0.048847575130515714,0.036635681347886744,0.0,0.03320338831966837
low_alpha_move_mix_rmse,0.8391608391608393,0.8120305784680585,0.0,0.21141068177038191,0.019866101765929886,0.016842573170198858,0.0,0.019266669157419227
broad_move_mix_rmse,0.8391608391608393,0.76861161828866,0.0,0.24381885813619014,0.03261129699556278,0.02522146560428258,0.0,0.026143480719789017
e72_pos_move_mix_rmse,0.8391608391608393,0.7926033373420575,0.0,0.22839117210504892,0.019145203089934327,0.015540666588625216,0.0,0.0186165130493826
low_alpha_law_projection,0.7972027972027973,0.9106170328183801,0.0,4.070887173984492,1.0,0.8392986858820256,0.0,0.3709328265686848
q2s3_law_projection,0.7482517482517484,0.7155312513854627,0.0,3.20198973785591,1.0,0.7499999999999991,0.0,0.6671558162514315
e101_active_law_projection,0.7482517482517484,0.715531251385449,0.0,3.20198973785595,1.0,0.7499999999999991,0.0,0.6671558162514315
broad_law_projection,0.6923076923076924,0.5982788839613901,0.0,3.2623714532897954,1.0,0.7703670124480982,0.0,0.6152479116283349
e101_plausible_law_projection,0.6363636363636365,0.7474721178350455,-1.6208977942276441,7.447234688332918,1.0,0.9645776590718554,0.0,0.20189741208471834
tail_equal_law_projection,0.6223776223776225,0.717531150608707,-2.3297588243056984,8.09212826786983,1.0,1.0000000000000002,0.0,0.04145516523186246
e72_pos_law_cosine,-0.5314685314685316,-0.43239133676580804,0.0,1.0,1.0,0.9918188828068005,0.0,0.5329500099100924
broad_law_cosine,-0.5034965034965035,-0.42197283678048514,0.0,1.0,1.0,0.9960827745975055,0.0,0.767458342179515
transfer_shrinkage_risk_index,0.44055944055944063,0.40563513734665907,-0.9992213324898696,0.46549541923374493,-0.9992213324898696,-0.9873570518407173,0.04748673316247908,-0.0014443241714716185
low_alpha_law_cosine,-0.43356643356643365,-0.32014402725391705,0.0,1.0,1.0,0.989967087407148,0.0,0.38247344264485156
q2s3_law_cosine,-0.41958041958041964,-0.5417094565762907,0.0,1.0,1.0,0.9999999999999999,0.0,0.8114240499258272
e101_plausible_law_cosine,-0.4125874125874127,-0.2615501829188269,-0.09333481125687447,1.0,1.0,0.9959401839770375,0.0,0.12312034062873482
e101_active_law_cosine,-0.3916083916083916,-0.252532591895145,0.0,1.0,1.0,0.9999999999999999,0.0,0.9814945253282461
tail_equal_law_cosine,-0.3747816605610153,-0.22042595268591536,-0.1284647658297094,1.0,1.0,1.0,0.0,0.024467993506872728
active_rollback_per_tail_equal_l1,-0.1398601398601399,-0.323724963560994,0.0,10792439355.108908,0.0,10792439355.108908,7.8302322640532305,0.946870827337758
