prior,outcome,world_count,world_rate,mean_delta_vs_e95,p05_delta_vs_e95,p50_delta_vs_e95,p95_delta_vs_e95,mean_public_lb,win_rate,e95_edge_or_better_rate,worse_than_e101_rate,worse_than_mixmin_rate
nearest_beta,micro_win,4623,0.09246,-1.0463871625850953e-05,-1.4961757342834577e-05,-1.0989596611859773e-05,-4.258693990433974e-06,0.5762808659283741,,,,
nearest_beta,tie,745,0.0149,-5.376686222774463e-07,-2.800658669279133e-06,-7.500438898108721e-07,2.4134391154103296e-06,0.5762907921313777,,,,
nearest_beta,small_loss,251,0.00502,5.46992532553379e-06,3.203998911841585e-06,5.36955503624988e-06,8.409428793140873e-06,0.5762967997253255,,,,
nearest_beta,e101_worse_mixmin_safe,102,0.00204,1.167161759276484e-05,9.405319020052695e-06,1.1459748158128992e-05,1.4619893610196506e-05,0.5763030014175927,,,,
nearest_beta,branch_loss,35,0.0007,1.9813475975924563e-05,1.5582427541007816e-05,1.829008105022166e-05,2.7786945832086983e-05,0.5763111432759759,,,,
nearest_beta,__summary__,50000,1.0,-3.369955278881075e-05,-5.919332929239194e-05,-3.368037736240208e-05,-8.545167753037266e-06,0.5762576302472112,0.98646,0.88488,0.00274,0.0007
both_distance_beta,q2_underopen_breakthrough,22004,0.44008,-4.2002141065794085e-05,-6.0138672294440075e-05,-4.001036003755842e-05,-3.093932229788634e-05,0.5762493276589342,,,,
both_distance_beta,clean_win,17037,0.34074,-2.2975840036304663e-05,-2.9337500893639856e-05,-2.309410270100618e-05,-1.6184652247645362e-05,0.5762683539599637,,,,
both_distance_beta,micro_win,7961,0.15922,-1.0070737123684159e-05,-1.4866202008490008e-05,-1.056885722581554e-05,-3.943276255290104e-06,0.5762812590628763,,,,
both_distance_beta,tie,1742,0.03484,-3.2679867381237553e-07,-2.753733522869134e-06,-5.052245622301899e-07,2.6123462025884034e-06,0.5762910030013262,,,,
both_distance_beta,small_loss,789,0.01578,5.418766458432638e-06,3.167632038205721e-06,5.205167500594403e-06,8.276993857763292e-06,0.5762967485664584,,,,
both_distance_beta,e101_worse_mixmin_safe,335,0.0067,1.1468523839945753e-05,9.159267428799135e-06,1.128403152888618e-05,1.4632833928688814e-05,0.5763027983238399,,,,
both_distance_beta,branch_loss,132,0.00264,1.9147828004338675e-05,1.552368173136011e-05,1.8038836084677104e-05,2.742736490905728e-05,0.5763104776280044,,,,
both_distance_beta,__summary__,50000,1.0,-2.771504089446057e-05,-5.399116049476811e-05,-2.759473788571685e-05,-1.6584474370953013e-06,0.5762636147591055,0.96062,0.78082,0.00934,0.00264
edge_endpoint_beta,q2_underopen_breakthrough,29279,0.58558,-4.360248099429377e-05,-6.256225019508216e-05,-4.163591459981696e-05,-3.1132003885893736e-05,0.5762477273190056,,,,
edge_endpoint_beta,clean_win,14675,0.2935,-2.351648553385908e-05,-2.9444498812131727e-05,-2.3890135529001992e-05,-1.648166070148542e-05,0.5762678133144661,,,,
edge_endpoint_beta,micro_win,4880,0.0976,-1.039675557482777e-05,-1.49702648912052e-05,-1.0926898058711946e-05,-4.284409723472846e-06,0.5762809330444252,,,,
edge_endpoint_beta,tie,751,0.01502,-4.312251071315197e-07,-2.7980181387247507e-06,-6.2843288927334e-07,2.5862616434143723e-06,0.5762908985748928,,,,
edge_endpoint_beta,small_loss,291,0.00582,5.481407661330496e-06,3.1619333000226245e-06,5.122197988606961e-06,8.653976767783596e-06,0.5762968112076613,,,,
edge_endpoint_beta,e101_worse_mixmin_safe,95,0.0019,1.153963552940267e-05,9.286063807624038e-06,1.1213399119065269e-05,1.4552797207639003e-05,0.5763028694355293,,,,
edge_endpoint_beta,branch_loss,29,0.00058,1.9131056263715865e-05,1.552904168112703e-05,1.8238952431244797e-05,2.6779058608841547e-05,0.5763104608562637,,,,
edge_endpoint_beta,__summary__,50000,1.0,-3.339110655731073e-05,-5.882921524135679e-05,-3.3278790986012036e-05,-8.046860573081423e-06,0.5762579386934427,0.98592,0.87908,0.00248,0.00058
nearest_hard085,q2_underopen_breakthrough,49968,0.99936,-7.47700751867906e-05,-9.819204449522449e-05,-7.459456898483569e-05,-5.1884391362341155e-05,0.5762165597248132,,,,
nearest_hard085,clean_win,32,0.00064,-2.60912956728767e-05,-2.9592101838371443e-05,-2.743313348715925e-05,-1.9877364519321418e-05,0.5762652385043271,,,,
nearest_hard085,__summary__,50000,1.0,-7.473892076790168e-05,-9.819058492881974e-05,-7.458093696622526e-05,-5.179405170851588e-05,0.576216590879232,1.0,1.0,0.0,0.0
conflict_flat,q2_underopen_breakthrough,20839,0.41678,-4.187133640198294e-05,-5.982392221925701e-05,-3.983246344583536e-05,-3.0823421281401954e-05,0.576249458463598,,,,
conflict_flat,clean_win,17185,0.3437,-2.2927985192080676e-05,-2.9269634772221647e-05,-2.3062539966878712e-05,-1.6206840118011322e-05,0.5762684018148079,,,,
conflict_flat,micro_win,8423,0.16846,-9.971559717435653e-06,-1.4856432589327887e-05,-1.037069952738731e-05,-3.963312946932116e-06,0.5762813582402826,,,,
conflict_flat,tie,1933,0.03866,-3.623283912817161e-07,-2.75813615191127e-06,-5.320613876559162e-07,2.5504574586682967e-06,0.5762909674716087,,,,
conflict_flat,small_loss,1001,0.02002,5.573853501221966e-06,3.206447765010407e-06,5.360649968290894e-06,8.537983745530157e-06,0.5762969036535012,,,,
conflict_flat,e101_worse_mixmin_safe,433,0.00866,1.1776281247157296e-05,9.241680428406002e-06,1.1613257161905938e-05,1.4904607594589713e-05,0.5763031060812471,,,,
conflict_flat,branch_loss,186,0.00372,2.0049098737016742e-05,1.5514897016264897e-05,1.8931871195335964e-05,2.7774441288784708e-05,0.576311378898737,,,,
conflict_flat,__summary__,50000,1.0,-2.67371468717462e-05,-5.345180776161785e-05,-2.6602224822615603e-05,-2.432462514089992e-07,0.5762645926531282,0.95174,0.76048,0.01238,0.00372
focus_mean,q2_underopen_breakthrough,49861,0.99722,-7.817896487370708e-05,-0.00010744328788751157,-7.797513262258658e-05,-4.9438454537209226e-05,0.5762131508351263,,,,
focus_mean,clean_win,131,0.00262,-2.5375408323109764e-05,-2.975965266880096e-05,-2.6726737475356703e-05,-1.780745945304481e-05,0.5762659543916768,,,,
focus_mean,micro_win,8,0.00016,-1.0104876332592001e-05,-1.4318935714172357e-05,-1.0466407298525217e-05,-4.684793712718603e-06,0.5762812249236674,,,,
focus_mean,__summary__,50000,1.0,-7.802972770137794e-05,-0.00010740605408175835,-7.792018188592472e-05,-4.909570044600479e-05,0.5762133000722987,1.0,0.99984,0.0,0.0
flank_mean,q2_underopen_breakthrough,25468,0.50936,-4.289965598945817e-05,-6.172551312556809e-05,-4.090884600630849e-05,-3.09854353788612e-05,0.5762484301440105,,,,
flank_mean,clean_win,15990,0.3198,-2.312366958167656e-05,-2.9347863779807066e-05,-2.3333753212821505e-05,-1.6280534262417344e-05,0.5762682061304183,,,,
flank_mean,micro_win,6484,0.12968,-1.0120946199026196e-05,-1.4895321465226446e-05,-1.058429237567091e-05,-4.152282775506212e-06,0.576281208853801,,,,
flank_mean,tie,1245,0.0249,-3.817906874521107e-07,-2.8239627583556854e-06,-5.307894297251226e-07,2.512545776502917e-06,0.5762909480093126,,,,
flank_mean,small_loss,523,0.01046,5.527768173208777e-06,3.1928667460631025e-06,5.2722068384897304e-06,8.652819906877595e-06,0.5762968575681732,,,,
flank_mean,e101_worse_mixmin_safe,221,0.00442,1.168245584116633e-05,9.267891651948529e-06,1.1281514856294111e-05,1.4992253516501803e-05,0.5763030122558411,,,,
flank_mean,branch_loss,69,0.00138,2.0108346002644685e-05,1.5754559439097127e-05,1.874564394300196e-05,2.8696256554909046e-05,0.5763114381460026,,,,
flank_mean,__summary__,50000,1.0,-3.0431102770824485e-05,-5.661871455534546e-05,-3.0359844351989597e-05,-4.521214015024751e-06,0.5762608986972292,0.97324,0.82916,0.0058,0.00138
visible_mean,q2_underopen_breakthrough,44756,0.89512,-5.425492294232531e-05,-7.949874305365675e-05,-5.298899420263954e-05,-3.342575096464844e-05,0.5762370748770577,,,,
visible_mean,clean_win,4381,0.08762,-2.4367179599409433e-05,-2.9567049343931474e-05,-2.5085714012272587e-05,-1.7174391525681635e-05,0.5762669626204006,,,,
visible_mean,micro_win,773,0.01546,-1.0894961831861906e-05,-1.5028621622682137e-05,-1.1634581265125273e-05,-4.5004803977115884e-06,0.5762804348381682,,,,
visible_mean,tie,69,0.00138,-7.418740721376417e-07,-2.9237140660608856e-06,-1.2393150880673669e-06,2.6636512275710656e-06,0.5762905879259278,,,,
visible_mean,small_loss,15,0.0003,5.880029438948711e-06,3.358827576727678e-06,6.149119185514027e-06,8.707246094182452e-06,0.5762972098294389,,,,
visible_mean,e101_worse_mixmin_safe,5,0.0001,1.1763129410852523e-05,9.310235951147838e-06,1.1326141998523006e-05,1.4796555106107382e-05,0.5763030929294108,,,,
visible_mean,branch_loss,1,2e-05,2.2170958060306666e-05,2.2170958060306666e-05,2.2170958060306666e-05,2.2170958060306666e-05,0.5763135007580603,,,,
visible_mean,__summary__,50000,1.0,-5.086579505584064e-05,-7.860486937811444e-05,-5.0829310924763554e-05,-2.3222332455931835e-05,0.5762404640049441,0.99908,0.98274,0.00012,2e-05
