prior,outcome,world_count,world_rate,mean_delta_vs_e95,p05_delta_vs_e95,p50_delta_vs_e95,p95_delta_vs_e95,mean_public_lb,win_rate,e95_edge_or_better_rate,worse_than_e101_rate,worse_than_mixmin_rate
global,q2_underopen_breakthrough,50000,1.0,-0.00012889892205717466,-0.00016060626479982783,-0.0001288244868025226,-9.745998660769152e-05,0.5761624308779428,,,,
global,__summary__,50000,1.0,-0.00012889892205717466,-0.00016060626479982783,-0.0001288244868025226,-9.745998660769152e-05,0.5761624308779428,1.0,1.0,0.0,0.0
subject,q2_underopen_breakthrough,25548,0.51096,-4.341855692283072e-05,-6.292923604368198e-05,-4.1176854217209066e-05,-3.1061899847176034e-05,0.5762479112430772,,,,
subject,clean_win,15644,0.31288,-2.3163710965674345e-05,-2.9379634606025608e-05,-2.3405679859105797e-05,-1.6251188234510062e-05,0.5762681660890343,,,,
subject,micro_win,6501,0.13002,-1.0151096383210317e-05,-1.4897905770985013e-05,-1.0634269841852312e-05,-3.938913750538492e-06,0.5762811787036167,,,,
subject,tie,1330,0.0266,-3.790580849880021e-07,-2.761331173836556e-06,-5.40990484994409e-07,2.542909569279459e-06,0.5762909507419149,,,,
subject,small_loss,606,0.01212,5.570858995392422e-06,3.19598703002508e-06,5.363638886424861e-06,8.612847410825486e-06,0.5762969006589954,,,,
subject,e101_worse_mixmin_safe,253,0.00506,1.1521289067552152e-05,9.187805722534156e-06,1.1316102549923417e-05,1.4680656958327001e-05,0.5763028510890675,,,,
subject,branch_loss,118,0.00236,1.993297310019237e-05,1.5598489113107074e-05,1.8920088220736992e-05,2.8440665918489444e-05,0.5763112627731002,,,,
subject,__summary__,50000,1.0,-3.058967787881304e-05,-5.793688057140681e-05,-3.0438240090002382e-05,-3.580855569163358e-06,0.5762607401221211,0.9699,0.82384,0.00742,0.00236
nearest_beta,q2_underopen_breakthrough,29631,0.59262,-4.377508041381924e-05,-6.302187061743534e-05,-4.1845854523902895e-05,-3.1189986874956716e-05,0.5762475547195861,,,,
nearest_beta,clean_win,14613,0.29226,-2.3428462188399535e-05,-2.939916897238948e-05,-2.3799628506537122e-05,-1.6382221824892497e-05,0.5762679013378116,,,,
