episode,pair,pair_family,interaction_story,instances,strict_instances,robust_instances,best_delta,mean_delta,best_p_value,worst_mode_dom,mean_margin_q05,best_state_corr,pair_gate
cashflow_stress,Q1_S1,QS,money rumination affecting subjective satisfaction and stage stress,3,3,2,-0.04602315316644834,-0.02537997407499219,0.02702702702702703,1.0,0.016296896334472327,0.5780433765723039,True
cashflow_stress,S1_S4,SS,money rumination affecting subjective satisfaction and stage stress,2,2,1,-0.019840818193167298,-0.015119278182833318,0.02702702702702703,0.9166666666666666,0.003776232101228294,0.537774672476237,True
cashflow_stress,S1_S2,SS,money rumination affecting subjective satisfaction and stage stress,2,2,1,-0.018623543382293883,-0.01419373050638828,0.02702702702702703,1.0,0.012592687566345823,0.537774672476237,True
cashflow_stress,S1_S3,SS,money rumination affecting subjective satisfaction and stage stress,2,2,1,-0.010444475688299981,-0.010416896415554655,0.02702702702702703,0.9166666666666666,0.004347910505441449,0.537774672476237,True
bedtime_arousal,Q1_S1,QS,"bright screen, messages, search spiral, media/game and phone-in-bed before sleep -> subjective-objective sleep translation",1,1,1,-0.01650885405036817,-0.01650885405036817,0.02702702702702703,1.0,0.004425371705390535,0.5321942795746772,True
bedtime_arousal,Q3_S3,QS,"bright screen, messages, search spiral, media/game and phone-in-bed before sleep -> subjective-objective sleep translation",1,1,1,-0.01366282631795146,-0.01366282631795146,0.02702702702702703,1.0,0.008947226393065166,0.5847315913579327,True
bedtime_arousal,Q1_S3,QS,"bright screen, messages, search spiral, media/game and phone-in-bed before sleep -> subjective-objective sleep translation",1,1,1,-0.012993554681580477,-0.012993554681580477,0.02702702702702703,1.0,0.006002544912446117,0.5847315913579327,True
bedtime_arousal,Q2_S3,QS,"bright screen, messages, search spiral, media/game and phone-in-bed before sleep -> subjective-objective sleep translation",1,1,1,-0.012892714070489752,-0.012892714070489752,0.02702702702702703,1.0,0.006046197979429124,0.5847315913579327,True
bedtime_arousal,S1_S2,SS,late screen/message arousal changing sleep-stage composition,1,1,1,-0.012755146193942135,-0.012755146193942135,0.02702702702702703,1.0,0.00889328745159973,0.5321942795746772,True
home_recovery,Q1_S3,QS,home recovery linking physiological calm with sleep-stage consistency,1,1,1,-0.012003977058801185,-0.012003977058801185,0.02702702702702703,1.0,0.007134797068122811,0.41906845020322875,True
badnight_aftereffect,Q3_S3,QS,previous bad night carrying into next-day subjective/objective mismatch,1,1,1,-0.011592241236255907,-0.011592241236255907,0.02702702702702703,1.0,0.0021809472989517964,0.3587012972131068,True
home_recovery,S3_S4,SS,home recovery linking physiological calm with sleep-stage consistency,1,1,1,-0.010823970635611913,-0.010823970635611913,0.02702702702702703,1.0,0.005466279610738034,0.41906845020322875,True
bedtime_arousal,S1_S3,SS,late screen/message arousal changing sleep-stage composition,1,1,0,-0.011850439142671254,-0.011850439142671254,0.05405405405405406,0.9166666666666666,0.0003721607197435528,0.5847315913579327,False
badnight_aftereffect,Q3_S2,QS,previous bad night carrying into next-day subjective/objective mismatch,1,1,0,-0.011157219589387424,-0.011157219589387424,0.05405405405405406,0.9166666666666666,0.003353021613847873,0.3587012972131068,False
cashflow_stress,Q3_S1,QS,money rumination affecting subjective satisfaction and stage stress,1,1,0,-0.009365383830144403,-0.009365383830144403,0.02702702702702703,1.0,0.006803158959964806,0.5780433765723039,False
cashflow_stress,Q1_Q2,QQ,money rumination affecting subjective satisfaction and stage stress,1,1,0,-0.008966656833076181,-0.008966656833076181,0.02702702702702703,1.0,0.00933749548506968,0.3498518308077296,False
cashflow_stress,Q1_S3,QS,money rumination affecting subjective satisfaction and stage stress,1,1,0,-0.00890803910153748,-0.00890803910153748,0.02702702702702703,1.0,0.0049134252587091365,0.3498518308077296,False
routine_fragmentation,Q3_S1,QS,scattered routine changing stage stability and subjective-objective alignment,1,1,0,-0.00855113176415978,-0.00855113176415978,0.05405405405405406,0.9166666666666666,0.007255188501387844,0.3400415050638974,False
bedtime_arousal,Q2_S1,QS,"bright screen, messages, search spiral, media/game and phone-in-bed before sleep -> subjective-objective sleep translation",1,1,0,-0.00751412082332048,-0.00751412082332048,0.05405405405405406,0.9166666666666666,0.004727994949743353,0.729084828555957,False
