target,holdout_delta_mean,holdout_delta_median,holdout_win_rate,n_folds
S4,-0.015008919781739535,-0.017597319603769424,1.0,3
S3,-0.003957944109628926,-0.0025446043447857614,1.0,3
S1,-0.002805964846139634,-0.0033059346522412714,1.0,3
Q1,-0.0009066945026892093,-0.0036463671988375967,0.6666666666666666,3
S2,-0.00044739421360336557,-0.0011233588327321242,0.6666666666666666,3
Q3,0.0036608187622847086,0.0077072617220395045,0.3333333333333333,3
