latent_id,target,view_id,split,context_cols,base_logloss,aug_logloss,actual_delta,teacher_std,student_oof_r2,student_spearman,null_best,null_median,null_q20,dominance,placebo_adjusted_vs_median,test_delta_l1,test_delta_std,gate
Q2_jepa_resid_subject,Q2,jepa_resid,subject,32,0.765899724395758,0.7356891080506113,-0.030210616345146768,0.529534051053269,-0.19553900047085437,-0.234482211434789,-0.027840404191436185,0.0005539525530302014,-0.00993404256240724,1.0,-0.03076456889817697,16.975667617773976,0.07022005280673593,True
Q2_jepa_resid_dateblock,Q2,jepa_resid,dateblock,32,0.7153337395560486,0.7080280536162756,-0.007305685939772988,0.5096029778241529,-0.11075090646728047,-0.0889946123190732,-0.00757784963553898,0.0007173672052982472,-0.0032404997285668145,0.9666666666666667,-0.008023053145071235,15.033446365058031,0.0643999342718662,True
Q2_family_subject,Q2,family,subject,40,0.765899724395758,0.761606747817211,-0.004292976578546992,0.529534051053269,-0.3329701014680846,-0.1035484948896867,-0.009194566166017881,0.0011880780085723464,-0.0021042905726683875,0.8333333333333334,-0.005481054587119338,13.306817250993145,0.05821553090067249,True
Q2_raw_day_dateblock,Q2,raw_day,dateblock,160,0.7153337395560486,0.7119287366520164,-0.0034050029040322283,0.5096029778241529,-0.44715225874805054,-0.09872239698303038,-0.01453002696903094,0.00042765921304421806,-0.0028324983470500832,0.8666666666666667,-0.0038326621170764463,14.791727146194196,0.0632971585125057,True
Q2_story_bundle_subject,Q2,story_bundle,subject,208,0.765899724395758,0.7665933701067598,0.0006936457110017225,0.529534051053269,-0.6188852243571705,0.005532405921346115,-0.019555113054132378,0.0022968792905389,-0.0006175746177909499,0.7333333333333333,-0.0016032335795371777,10.93312336262206,0.04897372533526111,False
Q2_raw_day_subject,Q2,raw_day,subject,160,0.765899724395758,0.7669708104311173,0.0010710860353592144,0.529534051053269,-0.6891053628920492,-0.027644515116947082,-0.0026808307659447195,0.0021525293905899634,-1.586917044726697e-06,0.7333333333333333,-0.001081443355230749,15.681381798196156,0.06538668929307805,False
Q2_family_story_subject,Q2,family_story,subject,248,0.765899724395758,0.7704494919315803,0.004549767535822258,0.529534051053269,-0.8367165407713519,-0.016266944528121132,-0.0050773442695468685,0.001853379584294379,-0.0005451887556323642,0.16666666666666666,0.002696387951527879,14.022104215753856,0.06091894769100664,False
Q2_family_jepa_story_subject,Q2,family_jepa_story,subject,280,0.765899724395758,0.770790649206137,0.004890924810379005,0.529534051053269,-0.9679086663715111,-0.04430882786252443,-0.00346313505991247,0.0015242993082192902,-0.00016049532815098905,0.1,0.0033666255021597147,12.159976066088278,0.05424372558951353,False
Q2_family_jepa_story_dateblock,Q2,family_jepa_story,dateblock,280,0.7153337395560486,0.7207754427454898,0.005441703189441149,0.5096029778241529,-0.6668994938230486,0.00857110405483484,-0.0055452431724962725,0.002289684657483304,0.00013519993168262828,0.13333333333333333,0.0031520185319578453,14.7062342233206,0.06327633855168252,False
Q2_family_story_dateblock,Q2,family_story,dateblock,248,0.7153337395560486,0.7210379402924325,0.005704200736383891,0.5096029778241529,-0.5608679096092644,0.041964256613612916,-0.002571951326691857,0.0020090693390732994,0.0006358201590429546,0.36666666666666664,0.0036951313973105915,16.186012972749207,0.06777452818956367,False
Q2_story_bundle_dateblock,Q2,story_bundle,dateblock,208,0.7153337395560486,0.721137997328054,0.005804257772005328,0.5096029778241529,-0.4955830973282107,-0.0016543291571810234,-0.005181666172913824,0.0020522651109090018,-0.0004910557334419473,0.2,0.003751992661096326,13.520820173308678,0.05969650464317156,False
Q2_family_dateblock,Q2,family,dateblock,40,0.7153337395560486,0.7228955994122114,0.007561859856162756,0.5096029778241529,-0.12774397726150855,0.012906796247553488,-0.0025046589549337916,0.002284920009916147,0.0007452770370962151,0.0,0.005276939846246609,9.793850448336357,0.04739448719048701,False
