name,role,source,file,band,worlds,better_rate_vs_mixmin,median_delta_vs_mixmin,mean_delta_vs_mixmin,p10_delta_vs_mixmin,p90_delta_vs_mixmin,min_delta_vs_mixmin,max_delta_vs_mixmin,median_public_lb_proxy,max_public_lb_proxy,target_mean_delta_Q1,target_mean_delta_Q2,target_mean_delta_Q3,target_mean_delta_S1,target_mean_delta_S2,target_mean_delta_S3,target_mean_delta_S4
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,all,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,old_low_anchor_half,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,old_low_anchor_quarter,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,mixmin_fit_gap,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,mixmin_fit_2gap,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,mixmin_fit_5gap,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,mixmin_fit_gap_low_anchor_half,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,mixmin_fit_2gap_low_anchor_half,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,mixmin_fit_2gap_low_anchor_quarter,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,mixmin_fit_gap_random_fit,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,postmix_energy_half,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,postmix_energy_quarter,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mixmin,active_frontier,manual_anchor,analysis_outputs/submission_mixmin_0c916bb4.csv,postmix_energy_half_random_fit,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763066405,0.5763066405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
