method,target,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mixmin_better_block_rate,mean_predicted_rate
raw_phone_td_ridge_groupcross_all_k0_a2_w0.75,Q1,-0.0016777809321608696,-0.0013368458005085732,0.5555555555555556,0.2854699037406237
raw_phone_td_ridge_groupcross_all_k0_a8_w0.75,Q1,-0.0016722695375366795,-0.0013344894046716854,0.5555555555555556,0.2859263295701171
raw_phone_td_ridge_pair_all_k0_a2_w0.75,Q1,-0.0016054429586198737,-0.0012584777909352295,0.5555555555555556,0.29847719606097545
raw_phone_td_ridge_pair_all_k0_a8_w0.75,Q1,-0.0016044002463490169,-0.00125877003444662,0.5555555555555556,0.29853139947098817
raw_phone_td_ridge_allcross_all_k0_a8_w0.75,Q1,-0.0011917817227340545,-0.000776438279016137,0.5833333333333334,0.33715083448568556
raw_phone_td_ridge_allcross_all_k0_a2_w0.75,Q1,-0.0011868363494622477,-0.0007676505228057825,0.5833333333333334,0.3374787325224804
raw_phone_td_ridge_groupcross_all_k0_a2_w0.50,Q1,-0.0005999504486198557,-0.0005073079957824164,0.5555555555555556,0.3519783448919636
raw_phone_td_ridge_groupcross_all_k0_a8_w0.50,Q1,-0.000596276185537092,-0.0005057370652245078,0.5555555555555556,0.3522826287782926
raw_phone_td_ridge_pair_all_k0_a2_w0.50,Q1,-0.0005517251329258892,-0.0004550626560668582,0.5555555555555556,0.3606498731055315
raw_phone_td_ridge_pair_all_k0_a8_w0.50,Q1,-0.00055102999141205,-0.00045525748507449195,0.5555555555555556,0.36068600871220663
raw_phone_td_ridge_allcross_all_k0_a8_w0.50,Q1,-0.00027595097566865114,-0.00013370298145414425,0.5555555555555556,0.3864322987220049
raw_phone_td_ridge_allcross_all_k0_a2_w0.50,Q1,-0.00027265406015416447,-0.00012784447731392645,0.5555555555555556,0.3866508974132016
raw_phone_td_ridge_groupcross_all_k0_a2_w0.25,Q1,0.0004778800349211445,0.00032222980894373404,0.5555555555555556,0.4184867860433037
raw_phone_td_ridge_groupcross_all_k0_a8_w0.25,Q1,0.00047971716646246507,0.0003230152742226575,0.5555555555555556,0.4186389279864682
raw_phone_td_ridge_pair_all_k0_a2_w0.25,Q1,0.000501992692768066,0.0003483524788014669,0.5,0.4228225501500875
raw_phone_td_ridge_pair_all_k0_a8_w0.25,Q1,0.0005023402635250313,0.00034825506429767933,0.5,0.42284061795342515
raw_phone_td_ridge_allcross_all_k0_a8_w0.25,Q1,0.0006398797713967284,0.0005090323161078577,0.5277777777777778,0.4357137629583243
raw_phone_td_ridge_allcross_all_k0_a2_w0.25,Q1,0.0006415282291539537,0.0005119615681779482,0.5277777777777778,0.43582306230392254
calendar_count_strict,Q1,0.000649262090596273,-2.9792777753740204e-05,0.4722222222222222,0.46421477637101805
raw_phone_td_knn_groupcross_all_k8_a8_w0.75,Q1,0.00115786366363671,0.00029698591666602357,0.5,0.46073466815647623
raw_phone_td_knn_groupcross_all_k16_a8_w0.75,Q1,0.001162125769340574,0.00033871444567432383,0.5833333333333334,0.459067736573772
raw_phone_td_knn_groupcross_all_k16_a24_w0.75,Q1,0.001286114709016131,0.0005888706033267996,0.4722222222222222,0.46789866661295704
raw_phone_td_knn_groupcross_all_k8_a8_w0.50,Q1,0.0012904792819118387,0.0005819131490006408,0.4722222222222222,0.46882152116919873
raw_phone_td_knn_groupcross_all_k16_a8_w0.50,Q1,0.0012933206857143927,0.000609732168339483,0.5,0.4677102334473958
raw_phone_td_knn_groupcross_all_k8_a24_w0.75,Q1,0.0013149808910830898,0.0006305453782357554,0.4444444444444444,0.4709398649141055
raw_phone_td_knn_groupcross_all_k16_a24_w0.50,Q1,0.0013759799788314586,0.0007765029401078124,0.4444444444444444,0.47359752014018586
raw_phone_td_knn_groupcross_all_k8_a24_w0.50,Q1,0.0013952241002094389,0.0008042861233804723,0.4166666666666667,0.47562498567428485
raw_phone_td_knn_groupcross_all_k8_a8_w0.25,Q1,0.0014230949001869493,0.0008668403813352364,0.4166666666666667,0.4769083741819213
raw_phone_td_knn_groupcross_all_k16_a8_w0.25,Q1,0.0014245156020882704,0.0008807498910046915,0.4444444444444444,0.47635273032101977
subject_mean,Q1,0.0014442273185520022,0.0009015505818507491,0.3888888888888889,0.47986167316409845
raw_phone_td_knn_groupcross_all_k16_a24_w0.25,Q1,0.001465845248646783,0.0009641352768888285,0.4166666666666667,0.47929637366741473
raw_phone_td_knn_groupcross_all_k8_a24_w0.25,Q1,0.0014754673093357652,0.000978026868525152,0.3888888888888889,0.48031010643446437
raw_phone_base,Q1,0.0015557105184621208,0.0011517676136698753,0.3888888888888889,0.4849952271946438
raw_phone_s3_subject_w1p00,Q1,0.0015557105184621208,0.0011517676136698753,0.3888888888888889,0.4849952271946438
raw_phone_s3_calendar_w1p00,Q1,0.0015557105184621208,0.0011517676136698753,0.3888888888888889,0.4849952271946438
raw_phone_s3_subject_w0p50,Q1,0.0015557105184621208,0.0011517676136698753,0.3888888888888889,0.4849952271946438
raw_phone_s3_calendar_w0p50,Q1,0.0015557105184621208,0.0011517676136698753,0.3888888888888889,0.4849952271946438
raw_phone_s2s3_calendar_w0p50,Q1,0.0015557105184621208,0.0011517676136698753,0.3888888888888889,0.4849952271946438
raw_phone_stage_calendar_w0p50,Q1,0.0015557105184621208,0.0011517676136698753,0.3888888888888889,0.4849952271946438
