candidate,band,weight,held_worlds,better_rate,median_delta,mean_delta,p90_delta,max_delta,strict_gate
posterior_raw_energy_quarter_w0.28,raw_energy_quarter,0.28,11,1.0,-0.154291218593833,-0.13819817494782027,-0.06988726679072943,-0.06910339699052204,True
posterior_raw_energy_quarter_w0.18,raw_energy_quarter,0.18,11,1.0,-0.10365815518987015,-0.09340138989774385,-0.04987389908935591,-0.04937637480800072,True
posterior_raw_energy_quarter_w0.10,raw_energy_quarter,0.1,11,1.0,-0.05956524171091493,-0.05390560315052468,-0.029892144913237106,-0.02961831035133955,True
posterior_raw_energy_half_w0.28,raw_energy_half,0.28,22,0.9545454545454546,-0.050651346016539034,-0.06287858433771729,-0.03900479029782881,0.001450957322292723,True
posterior_raw_energy_half_w0.18,raw_energy_half,0.18,22,1.0,-0.03471012715383248,-0.042543016823706065,-0.02725147642000624,-0.0013794486565363862,True
posterior_raw_energy_quarter_w0.05,raw_energy_quarter,0.05,11,1.0,-0.030396265392431898,-0.02757825359240325,-0.015623203947172648,-0.01548701863358748,True
posterior_all_w0.28,all,0.28,45,1.0,-0.022963415421267563,-0.0267579903962948,-0.017980494313345807,-0.007336511567933024,True
posterior_raw_energy_half_w0.10,raw_energy_half,0.1,22,1.0,-0.020234805621261565,-0.024574500775642535,-0.016103583214416982,-0.0017906374070729703,True
posterior_all_w0.18,all,0.18,45,1.0,-0.015716626370338993,-0.018149305963749425,-0.012515955097493968,-0.005690423033939962,True
posterior_raw_energy_half_w0.05,raw_energy_half,0.05,22,1.0,-0.010413335777832433,-0.012579537967786365,-0.008351577600276426,-0.0012139550101935015,True
posterior_all_w0.10,all,0.1,45,1.0,-0.009155133407100724,-0.010503564415028347,-0.0073780195189463655,-0.0035937307683839848,True
posterior_all_w0.05,all,0.05,45,1.0,-0.004709687319068845,-0.005382931966983653,-0.0038214257754350723,-0.0019316912562546973,True
