feature,e247_only_d_vs_neutral,e256_only_d_vs_neutral,e247_vs_e256_d,e267_moved_d_vs_neutral,mean_e247_only,mean_e256_only,abs_boundary_signal
jepa_prednorm_subject_social_comm,-0.6662747940949585,0.2913192835229183,-1.3329024463309782,-0.11600218560639591,1.656014194366196,2.6941450283720028,1.3329024463309782
diary_state_pc6,-0.46044514859628316,0.636983865969128,-1.2398021748671495,-0.14590445827340376,-0.5267144210098631,1.2723678432783259,1.2398021748671495
jepa_resid_dateblock_cognitive_money,0.5260124726853994,-0.531480344097969,1.1991999926345898,0.08333584759972719,7.210893173800462,4.268279878481052,1.1991999926345898
diary_state_pc8,0.1917640268744627,-0.9187771869798523,1.156543617031464,0.2103726146209728,0.292173626035479,-1.2753359330638485,1.156543617031464
diary_state_k10_4,-0.24875813285543963,0.8249223952350012,-1.118033988749895,-0.20786063233213645,0.0,0.25,1.118033988749895
diary_state_k6_3,-0.26843202978908276,0.740053689327955,-1.118033988749895,-0.23720412434917265,0.0,0.25,1.118033988749895
diary_state_k8_0,-0.5075455977500094,0.1313182829107934,-1.118033988749895,-0.06939369068071341,0.0,0.25,1.118033988749895
diary_state_k8_5,-0.24875813285543963,0.8249223952350012,-1.118033988749895,-0.20786063233213645,0.0,0.25,1.118033988749895
jepa_prednorm_subject_mobility_context,-0.5118095336444576,0.1474906975985326,-0.9372724134656235,-0.16815419501872553,3.5063625963268192,5.230117843103052,0.9372724134656235
jepa_prednorm_dateblock_mobility_context,-0.39871347608023566,0.38101943289322665,-0.9273766583838837,-0.17338126223966924,3.6770929958814835,6.3882229409619296,0.9273766583838837
jepa_prednorm_dateblock_social_comm,-0.5443117894567157,-0.12991957616464225,-0.9145997199183538,-0.003413420295932373,1.6996285201094672,2.094247686493903,0.9145997199183538
cognitive_money_energy,0.39377734956111565,-0.360502966459886,0.8202552854052519,0.16265199978867004,6.917331974278192,4.77412268757738,0.8202552854052519
diary_state_pc10,0.013028395797909539,-0.5030535925900904,0.7898440346611114,-0.042150183489857176,-0.059018916656964904,-0.8159530394825982,0.7898440346611114
jepa_resid_subject_cognitive_money,0.33390918134735764,-0.3649604069746835,0.7789538380379203,-0.015914451207274846,7.051589056863956,5.122905931308026,0.7789538380379203
diary_state_pc5,-0.02545293184412303,0.6172104456209515,-0.7476647411375277,-0.012553126489871778,-0.06767947485787448,1.15510946297556,0.7476647411375277
