variant,family,file,candidate_origin,scenario_gate,scenario_rank,scenario_public_like_score,scenario_pred_public_delta_mean,scenario_pred_public_delta_std,scenario_id
e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_cf52e032.csv,e364_existing,True,20.0,5.172772277227724,0.0002832387165734499,0.0001349135167738182,all__none
e362_scale_g1.06_q11.04_q20.90_q31.00_s11.30,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_04_q20_90_q31_00_s11_30_50acaf80.csv,e364_existing,True,21.0,5.096952351485149,0.0003122267791042554,0.00016351469729139262,all__none
e362_scale_g1.06_q11.08_q20.90_q31.00_s11.15,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q31_00_s11_15_31e02c1f.csv,e364_existing,True,22.0,5.068827351485148,0.00031260767119279325,0.0001639343937704078,all__none
e362_graft_donor_q3s1_e360_e356_halfs3_amp__learned_anti_bad_cluster_compact_q,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e356_halfs3_amp__learned_anti_bad_cluster_compact_q_5d14bf75.csv,e364_existing,True,23.0,5.037345297029703,0.00027608973307477767,0.0001466130366961335,all__none
e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_62bedbd1.csv,e364_existing,True,24.0,5.024845297029703,0.00025809383720898675,0.00013054253955479934,all__none
e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_a0ca8a8f.csv,e364_existing,True,25.0,5.017141089108911,0.00026870289591279935,0.00014126418108168342,all__none
e362_scale_g1.03_q11.08_q20.90_q31.00_s11.15,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_03_q11_08_q20_90_q31_00_s11_15_c0911ad0.csv,e364_existing,True,26.0,5.012855816831683,0.00031242397425687904,0.00016375968862081115,all__none
e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_6826fcf0.csv,e364_existing,True,27.0,4.9887376237623755,0.00027044696889787977,0.000143143427672169,all__none
e362_graft_donor_s1_e360_e356_halfs3_amp__learned_anti_bad_cluster_compact_q,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e360_e356_halfs3_amp__learned_anti_bad_cluster_compact_q_d3f7b397.csv,e364_existing,True,28.0,4.980043316831684,0.0002828104763131372,0.00015479879271993444,all__none
e362_graft_donor_q2q3_e360_e356_halfs3_amp__learned_anti_bad_cluster_compact_q,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q2q3_e360_e356_halfs3_amp__learned_anti_bad_cluster_compact_q_9f03f032.csv,e364_existing,True,29.0,4.97345297029703,0.00030630952303798635,0.00013981279881404755,all__none
e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_4a5311b2.csv,e364_existing,True,30.0,4.934096534653466,0.000277643939384866,0.00012911889526015955,all__none
e362_graft_donor_s1_e360_e356_halfs3_amp__learned_free_mixture_subjective_he,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e360_e356_halfs3_amp__learned_free_mixture_subjective_he_7d668862.csv,e364_existing,True,31.0,4.933075495049505,0.00026457206372032445,0.00013812230560777166,all__none
e362_scale_g1.06_q11.08_q20.90_q30.75_s11.15,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q30_75_s11_15_5ddee5fb.csv,e364_existing,True,32.0,4.908988242574258,0.0003128627276178569,0.0001642331319953491,all__none
