metric,broad_mean,broad_median,e101_mean,e101_median,mean_shift,median_shift,std_shift
alpha,3.5787455952173195,3.3104699098589365,1.119205927127894,0.7919850496590788,-2.4595396680894255,-2.518484860199858,-1.153245769728477
lambda,1.3731655798344349,1.3451917412313135,1.116702659532147,1.082582444717836,-0.2564629203022879,-0.2626092965134774,-1.1532457697284761
selected_full_cells,22.54026651216686,20.0,33.228070175438596,30.0,10.687803663271737,10.0,0.9702821032811517
selected_fractional_cells,23.037768219721304,20.922437234985722,33.735806440449124,30.18694961866296,10.69803822072782,9.26451238367724,0.9707672926635711
positive_cells_available,418.4860950173812,425.0,585.3333333333334,447.0,166.84723831595215,22.0,0.7352915414473971
tail_e101,3.905746990643808e-05,3.986392670442871e-05,1.0320114120757775e-05,5.029789712196071e-06,-2.87373557856803e-05,-3.483413699223264e-05,-1.1054535366929727
tail_e95,5.2076989158968e-05,5.311367494440286e-05,1.0594590579424168e-05,5.029789712196071e-06,-4.1482398579543834e-05,-4.808388523220679e-05,-1.3091372527709249
tail_e89,5.4186233725945207e-05,5.509260385697496e-05,1.4817534353592569e-05,9.21707387424308e-06,-3.936869937235264e-05,-4.5875529982731885e-05,-1.2655803183702723
tail_e85,5.328056861598409e-05,5.3896696981270184e-05,1.2378778588857053e-05,6.981142567611493e-06,-4.090179002712704e-05,-4.6915554413658693e-05,-1.3505012888261738
pred_e101,-3.1515991750649166e-05,-2.959882248670161e-05,-1.4718297094147505e-05,-1.4844255153648127e-05,1.679769465650166e-05,1.4754567333053483e-05,1.5481869686431913
pred_vs_e95_e101,-1.620529175060064e-05,-1.4288122486653083e-05,5.924029059010237e-07,4.664448464003998e-07,1.679769465650166e-05,1.4754567333053483e-05,1.5481869686431913
e101_residual,-2.5241491750634995e-05,-2.332432248668744e-05,-8.443797094133332e-06,-8.569755153633956e-06,1.679769465650166e-05,1.4754567333053483e-05,1.5481869686431913
pred_vs_e95_e89,3.8332786928186535e-06,4.001964809194352e-06,5.170814060537661e-06,4.412893653595634e-06,1.3375353677190077e-06,4.109288444012816e-07,0.23832962147143777
pred_vs_e95_e85,9.659143591786212e-06,9.63845426901396e-06,4.472212871234153e-06,3.668133567330994e-06,-5.1869307205520595e-06,-5.970320701682965e-06,-0.940340594126044
tail_e101_minus_e95,-1.3019519252529914e-05,-1.2633596688218557e-05,-2.7447645866639435e-07,-1.268762710758336e-19,1.274504279386352e-05,1.263359668821843e-05,
