variant,family,q2_scale,s1_scale,q2_orth_alpha,q2_orth_renorm,q2_l1,s1_l1,all_l1,all_cos_e323_bad_vs_e365,all_cos_e323_bad_vs_e247,q2_cos_e323_bad_vs_e365,q2_cos_e323_bad_vs_e247,s1_cos_e323_bad_vs_e365,q2_transfer_abs_spearman,s1_transfer_abs_spearman,q2_transfer_signed_spearman,s1_transfer_signed_spearman,file,basename
e370_q20p0_s10p7_orth0p0_plain,q2s1_risk_constrained_recalibration,0.0,0.7,0.0,False,0.0,0.07649322821963545,0.07649322821963545,-0.029830320525442332,-0.036029967360464606,0.0,0.0,-0.06320046219786846,0.0,0.197475314012705,0.0,0.005292888391400691,analysis_outputs/submission_e370_q2s1safe_e370_q20p0_s10p7_orth0p0_plain_9c411ede.csv,submission_e370_q2s1safe_e370_q20p0_s10p7_orth0p0_plain_9c411ede.csv
e370_q20p0_s10p85_orth0p0_plain,q2s1_risk_constrained_recalibration,0.0,0.85,0.0,False,0.0,0.09288463426670018,0.0928846342667002,-0.02983032052554641,-0.03602996736059171,0.0,0.0,-0.06320046219833558,0.0,0.197475314012705,0.0,0.005292888391400691,analysis_outputs/submission_e370_q2s1safe_e370_q20p0_s10p85_orth0p0_plain_7ddc8acf.csv,submission_e370_q2s1safe_e370_q20p0_s10p85_orth0p0_plain_7ddc8acf.csv
e370_q20p0_s11p0_orth0p0_plain,q2s1_risk_constrained_recalibration,0.0,1.0,0.0,False,0.0,0.10927604031376492,0.10927604031376494,-0.029830320525619253,-0.03602996736068068,0.0,0.0,-0.06320046219866256,0.0,0.197475314012705,0.0,0.005292888391400691,analysis_outputs/submission_e370_q2s1safe_e370_q20p0_s11p0_orth0p0_plain_1bd9d219.csv,submission_e370_q2s1safe_e370_q20p0_s11p0_orth0p0_plain_1bd9d219.csv
e370_q20p0_s11p06_orth0p0_plain,q2s1_risk_constrained_recalibration,0.0,1.06,0.0,False,0.0,0.11583260273259083,0.11583260273259084,-0.02983032052564261,-0.03602996736070922,0.0,0.0,-0.06320046219876742,0.0,0.197475314012705,0.0,0.005292888391400691,analysis_outputs/submission_e370_q2s1safe_e370_q20p0_s11p06_orth0p0_plain_a4fb7737.csv,submission_e370_q2s1safe_e370_q20p0_s11p06_orth0p0_plain_a4fb7737.csv
e370_q20p0_s11p15_orth0p0_plain,q2s1_risk_constrained_recalibration,0.0,1.15,0.0,False,0.0,0.12566744636082963,0.12566744636082966,-0.029830320525673096,-0.03602996736074645,0.0,0.0,-0.06320046219890421,0.0,0.197475314012705,0.0,0.005292888391400691,analysis_outputs/submission_e370_q2s1safe_e370_q20p0_s11p15_orth0p0_plain_9ff7e1e7.csv,submission_e370_q2s1safe_e370_q20p0_s11p15_orth0p0_plain_9ff7e1e7.csv
e370_q20p25_s10p7_orth0p0_plain,q2s1_risk_constrained_recalibration,0.25,0.7,0.0,False,0.019353676997714894,0.07649322821963545,0.09584690521735034,-0.01714498320209131,-0.03361379373936734,0.5917345462007642,-0.0139177599713811,-0.06320046219786846,0.4284575784600711,0.197475314012705,-0.059234847659693404,0.005292888391400691,analysis_outputs/submission_e370_q2s1safe_e370_q20p25_s10p7_orth0p0_plain_cdb63cb0.csv,submission_e370_q2s1safe_e370_q20p25_s10p7_orth0p0_plain_cdb63cb0.csv
e370_q20p25_s10p7_orth0p25_plain,q2s1_risk_constrained_recalibration,0.25,0.7,0.25,False,0.019159159790734327,0.07649322821963545,0.09565238801036977,-0.02001593647000629,-0.03395258292516323,0.48227564878949597,-0.03161284037787148,-0.06320046219786846,0.1809425430806893,0.197475314012705,-0.10885998175970815,0.005292888391400691,analysis_outputs/submission_e370_q2s1safe_e370_q20p25_s10p7_orth0p25_plain_60a6ce90.csv,submission_e370_q2s1safe_e370_q20p25_s10p7_orth0p25_plain_60a6ce90.csv
e370_q20p25_s10p7_orth0p25_renorm,q2s1_risk_constrained_recalibration,0.25,0.7,0.25,True,0.019353676997714894,0.07649322821963545,0.09584690521735034,-0.019911015149595136,-0.033913849253294076,0.4822756487948758,-0.03163606738692809,-0.06320046219786846,0.1809425430806893,0.197475314012705,-0.10885998175970815,0.005292888391400691,analysis_outputs/submission_e370_q2s1safe_e370_q20p25_s10p7_orth0p25_renorm_07e15452.csv,submission_e370_q2s1safe_e370_q20p25_s10p7_orth0p25_renorm_07e15452.csv
e370_q20p25_s10p7_orth0p5_plain,q2s1_risk_constrained_recalibration,0.25,0.7,0.5,False,0.019016815333078543,0.07649322821963545,0.09551004355271399,-0.02288024032081527,-0.03420094480625194,0.3445474129717271,-0.05137248947651716,-0.06320046219786846,0.180828109249748,0.197475314012705,-0.1091464503432055,0.005292888391400691,analysis_outputs/submission_e370_q2s1safe_e370_q20p25_s10p7_orth0p5_plain_7de3e5e6.csv,submission_e370_q2s1safe_e370_q20p25_s10p7_orth0p5_plain_7de3e5e6.csv
e370_q20p25_s10p7_orth0p5_renorm,q2s1_risk_constrained_recalibration,0.25,0.7,0.5,True,0.0193536769977149,0.07649322821963545,0.09584690521735034,-0.022743768648960425,-0.03414062623783416,0.34454741297885993,-0.051442216707691904,-0.06320046219786846,0.180828109249748,0.197475314012705,-0.1091464503432055,0.005292888391400691,analysis_outputs/submission_e370_q2s1safe_e370_q20p25_s10p7_orth0p5_renorm_e9b19d39.csv,submission_e370_q2s1safe_e370_q20p25_s10p7_orth0p5_renorm_e9b19d39.csv
