basename,parent_basename,base_variant,source_path,highrep_old_strict_promote,highrep_actual_mean,highrep_actual_p10,highrep_actual_p90,highrep_actual_beats_current_rate,highrep_null_count,highrep_null_strict_rate,highrep_p90_dominance,highrep_mean_dominance,highrep_worst_mode_p90_dominance,highrep_dateblock_p90_dominance,highrep_q_s_swap_p90_dominance,highrep_row_p90_dominance,highrep_sign_flip_p90_dominance,highrep_subject_p90_dominance,highrep_target_perm_p90_dominance,highrep_dateblock_null_strict_rate,highrep_q_s_swap_null_strict_rate,highrep_row_null_strict_rate,highrep_sign_flip_null_strict_rate,highrep_subject_null_strict_rate,highrep_target_perm_null_strict_rate,highrep_dateblock_count,highrep_q_s_swap_count,highrep_row_count,highrep_sign_flip_count,highrep_subject_count,highrep_target_perm_count,highrep_public_free_submission_ready,highrep_final_decision
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,meanresid_l1.50,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,True,-0.0009521445193922999,-0.0015511073047577853,-5.374669127956009e-05,0.9411764705882353,258,0.050387596899224806,0.9263565891472868,0.9147286821705426,0.859375,0.984375,1.0,0.859375,1.0,0.96875,0.890625,0.015625,0.0,0.0625,0.0,0.03125,0.09375,64,1,64,1,64,64,True,public_free_submission_ready
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_de5d9c5d.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,meanresid_l1.50,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_de5d9c5d.csv,True,-0.0007611038277911392,-0.0012082075236220793,-7.560917621505604e-05,0.9117647058823529,258,0.08139534883720931,0.9186046511627907,0.9031007751937985,0.796875,0.984375,1.0,0.90625,1.0,0.984375,0.796875,0.0625,0.0,0.078125,0.0,0.015625,0.171875,64,1,64,1,64,64,True,public_free_submission_ready
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,orth_nullmean,analysis_outputs/submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____orth_nullmean__kall__51ed84b0.csv,True,-0.001185087988990203,-0.0019223616535594817,-0.00010922142234752516,0.9411764705882353,258,0.09302325581395349,0.9263565891472868,0.9031007751937985,0.8125,0.9375,1.0,0.96875,1.0,0.984375,0.8125,0.109375,0.0,0.046875,0.0,0.046875,0.171875,64,1,64,1,64,64,True,public_free_submission_ready
