group,feature,train_mean,test_mean,std_diff_test_minus_train,abs_std_diff,train_n,test_n
union,full_margin,0.08246831236186261,0.08836995872572691,0.06437310891979076,0.06437310891979076,34,31
shared,featnn1_base_prob_absdiff,0.10293311545028754,0.10784768836767662,0.05394002574688016,0.05394002574688016,12,15
union,abs_logit_step,0.18685695411822614,0.18372629472902816,-0.0483227695822327,0.0483227695822327,34,31
shared,abs_logit_step,0.2105749320445657,0.2133326856080535,0.042566844056178395,0.042566844056178395,12,15
shared,featnn1_logit_step_absdiff,0.15870776575041617,0.16087523554931446,0.03456031491336845,0.03456031491336845,12,15
e237_only,featnn1_dist,8.077835233754701,8.019274100562507,-0.02623489870033946,0.02623489870033946,13,10
e237_only,base_margin,0.07609010458628696,0.07828889128424452,0.023320643180736112,0.023320643180736112,13,10
shared,base_prob,0.5338182986030439,0.5361783252061335,0.017860574279117258,0.017860574279117258,12,15
union,full_prob,0.5313025002987064,0.5331956923700594,0.014723150740602209,0.014723150740602209,34,31
shared,full_margin,0.10367119130378216,0.10429084230573783,0.006758937927116208,0.006758937927116208,12,15
