group,feature,train_mean,test_mean,std_diff_test_minus_train,abs_std_diff,train_n,test_n
e250_only,prob_gap,0.00792187841947068,-0.031532083398014665,-1.804341922816518,1.804341922816518,9,6
e250_only,logit_step,0.03360516116893705,-0.1266885634855229,-1.6650334104366666,1.6650334104366666,9,6
e237_only,prob_gap,-0.0013860959801209477,-0.035161121992827726,-1.5446280315488345,1.5446280315488345,13,10
shared,prob_gap,0.02239468290047911,-0.010778565886133863,-1.5171070469070316,1.5171070469070316,12,15
union,prob_gap,0.009470995671747445,-0.02266071640672172,-1.469474610008811,1.469474610008811,34,31
shared,logit_step,0.09531932827440137,-0.046094060677692415,-1.468916002768548,1.468916002768548,12,15
e237_only,logit_step,-0.008920386278187607,-0.14413290369662085,-1.404505132663514,1.404505132663514,13,10
union,logit_step,0.03912686377049445,-0.09331842993692684,-1.3757609011415395,1.3757609011415395,34,31
e250_only,featnn1_total_smooth_gain_mean,0.05508777940098378,-0.06218563450834139,-1.3500650583541773,1.3500650583541773,9,6
e250_only,featnn1_total_smooth_gain,0.09072146997146359,-0.07505038680481411,-1.2336406253556649,1.2336406253556649,9,6
e250_only,featnn1_base_prob_absdiff,0.07765455954368795,0.17568962691901943,1.0759864890013306,1.0759864890013306,9,6
e250_only,featnn1_base_pair_abs_logit,0.3205969479915356,0.7289886845721107,1.0108107886443471,1.0108107886443471,9,6
shared,featnn1_total_smooth_gain,-0.08678365688493284,0.04548368773479098,0.9843068232686848,0.9843068232686848,12,15
e250_only,base_prob,0.49859932532274265,0.6157878173380239,0.8868771917895042,0.8868771917895042,9,6
shared,featnn1_total_smooth_gain_mean,-0.04631898634078168,0.023061496094625537,0.798716110884454,0.798716110884454,12,15
e237_only,featnn1_logit_step_absdiff,0.1262058101246029,0.0820841221390701,-0.7035204975241075,0.7035204975241075,13,10
e250_only,featnn1_full_prob_absdiff,0.0985336426439319,0.15808636031499101,0.6798350293516807,0.6798350293516807,9,6
e250_only,featnn1_full_pair_abs_logit,0.40436667443586005,0.6567198257498612,0.650091787792687,0.650091787792687,9,6
e237_only,featnn1_total_smooth_gain,0.0585624622239413,-0.02870173471385338,-0.6494025015765296,0.6494025015765296,13,10
e250_only,full_prob,0.5065212037422132,0.5842557339400093,0.60453306517079,0.60453306517079,9,6
shared,base_margin,0.0741912580075048,0.11991497164196244,0.4849521836555727,0.4849521836555727,12,15
e250_only,featnn1_dist,9.453903987145132,10.287034807190695,0.3732356509614036,0.3732356509614036,9,6
shared,featnn1_full_prob_absdiff,0.09109417054014297,0.12362450409910723,0.37135602092976866,0.37135602092976866,12,15
shared,featnn1_full_pair_abs_logit,0.38504545708694843,0.5210058454216607,0.350250161177984,0.350250161177984,12,15
e250_only,featnn1_logit_step_absdiff,0.14337607054633678,0.12364229348411111,-0.31465515692416374,0.31465515692416374,9,6
e250_only,base_margin,0.08763463893484302,0.11578781733802397,0.29859659809387346,0.29859659809387346,9,6
e237_only,abs_logit_step,0.16317020999705362,0.14413290369662085,-0.2938471585239647,0.2938471585239647,13,10
union,base_margin,0.07847582959192281,0.10568839972580728,0.28862037355081577,0.28862037355081577,34,31
union,featnn1_base_prob_absdiff,0.09225559494645076,0.11818235687143902,0.2845598649719618,0.2845598649719618,34,31
union,featnn1_base_pair_abs_logit,0.38733716251386757,0.5021017424525491,0.28405392461551005,0.28405392461551005,34,31
e237_only,featnn1_total_smooth_gain_mean,0.030898989287870264,0.006968709130523834,-0.2754881434767437,0.2754881434767437,13,10
union,base_prob,0.5218315046269588,0.555856408776781,0.25749893120364103,0.25749893120364103,34,31
union,featnn1_dist,9.26513850514753,9.836294720571813,0.25587321550879094,0.25587321550879094,34,31
union,featnn1_full_prob_absdiff,0.09794490978213148,0.1198193274604341,0.2497114483762116,0.2497114483762116,34,31
shared,full_prob,0.5562129815035232,0.5253997593199996,-0.23963110868485327,0.23963110868485327,12,15
e250_only,full_margin,0.06250258503093109,0.0842557339400093,0.23727579352206649,0.23727579352206649,9,6
union,featnn1_full_pair_abs_logit,0.4100869439461159,0.5020826893776904,0.236992002301241,0.236992002301241,34,31
union,featnn1_logit_step_absdiff,0.14222215751593717,0.12825237146887372,-0.2227482963334937,0.2227482963334937,34,31
e250_only,abs_logit_step,0.18944716950257823,0.17569930258547703,-0.21220290127201302,0.21220290127201302,9,6
shared,featnn1_dist,10.409809604324888,10.867345765930459,0.2049723800949989,0.2049723800949989,12,15
e237_only,base_prob,0.5268505881673377,0.5494146889960065,0.17076409154215927,0.17076409154215927,13,10
e237_only,featnn1_full_prob_absdiff,0.10386108479348977,0.0911513427896902,-0.14509040336213597,0.14509040336213597,13,10
e237_only,featnn1_full_pair_abs_logit,0.4371623491693705,0.38091567348843264,-0.14489813882022093,0.14489813882022093,13,10
union,featnn1_total_smooth_gain,0.01577651047162397,-0.0017762694175985155,-0.13062423731245476,0.13062423731245476,34,31
e237_only,full_margin,0.07671885072150483,0.06695716822714107,-0.10647704245678226,0.10647704245678226,13,10
union,featnn1_total_smooth_gain_mean,0.010048501154758454,0.0013708298604700965,-0.09989835216496766,0.09989835216496766,34,31
e237_only,full_prob,0.5254644921872167,0.5142535670031789,-0.0871861571384258,0.0871861571384258,13,10
e237_only,featnn1_base_pair_abs_logit,0.38808611156648526,0.41857675083008283,0.0754674112124856,0.0754674112124856,13,10
shared,featnn1_base_pair_abs_logit,0.4365809619319474,0.467030293353035,0.07536517013088505,0.07536517013088505,12,15
e237_only,featnn1_base_prob_absdiff,0.092507831298668,0.0991799975985344,0.07323053865552527,0.07323053865552527,13,10
