summary,feature_block,value,n
source_top_mode_accuracy,action_shape,0.029850746268656716,67
source_actual_pred_rank_mean,action_shape,0.46875,67
source_top_mode_accuracy,human_plus_action,0.5522388059701493,67
source_actual_pred_rank_mean,human_plus_action,0.629380826373787,67
source_top_mode_accuracy,human_plus_identity_action,0.582089552238806,67
source_actual_pred_rank_mean,human_plus_identity_action,0.6232820315810083,67
source_top_mode_accuracy,human_signature,0.43283582089552236,67
source_actual_pred_rank_mean,human_signature,0.6235248352365443,67
source_top_mode_accuracy,identity_signal,0.029850746268656716,67
source_actual_pred_rank_mean,identity_signal,0.6205313555205171,67
source_top_mode_accuracy,shape_plus_identity,0.029850746268656716,67
source_actual_pred_rank_mean,shape_plus_identity,0.6205386437988882,67
source_top_mode_accuracy,shape_signature,0.029850746268656716,67
source_actual_pred_rank_mean,shape_signature,0.46875,67
null_mode_holdout_p90_spearman_mean,action_shape,-0.358750152500187,3
null_mode_holdout_p90_spearman_mean,human_plus_action,0.08955146792111078,3
null_mode_holdout_p90_spearman_mean,human_plus_identity_action,0.07754513096316377,3
null_mode_holdout_p90_spearman_mean,human_signature,0.1333537850393116,3
null_mode_holdout_p90_spearman_mean,identity_signal,0.03597703329212072,3
null_mode_holdout_p90_spearman_mean,shape_plus_identity,-0.31881029199522365,3
null_mode_holdout_p90_spearman_mean,shape_signature,-0.33774398666307154,3
null_mode_holdout_joint_auc_mean,action_shape,0.659182312043217,3
null_mode_holdout_joint_auc_mean,human_plus_action,0.6508487808795903,3
null_mode_holdout_joint_auc_mean,human_plus_identity_action,0.6476102039398465,3
null_mode_holdout_joint_auc_mean,human_signature,0.6431827206491522,3
null_mode_holdout_joint_auc_mean,identity_signal,0.437080505195169,3
null_mode_holdout_joint_auc_mean,shape_plus_identity,0.6549837153083325,3
null_mode_holdout_joint_auc_mean,shape_signature,0.6707043934024512,3
within_mode_p90_spearman_mean,action_shape,0.3261359333040929,4
within_mode_p90_spearman_mean,human_plus_action,0.31183101919227546,4
within_mode_p90_spearman_mean,human_plus_identity_action,0.31183101919227546,4
within_mode_p90_spearman_mean,human_signature,0.23869338828502973,4
within_mode_p90_spearman_mean,identity_signal,-0.07682480686610701,4
within_mode_p90_spearman_mean,shape_plus_identity,0.24851855923691268,4
within_mode_p90_spearman_mean,shape_signature,0.2729375706149333,4
within_mode_joint_auc_mean,action_shape,0.7682147478529471,4
within_mode_joint_auc_mean,human_plus_action,0.7330180098834516,4
within_mode_joint_auc_mean,human_plus_identity_action,0.7330180098834516,4
within_mode_joint_auc_mean,human_signature,0.7109890292540167,4
within_mode_joint_auc_mean,identity_signal,0.5254963166701315,4
within_mode_joint_auc_mean,shape_plus_identity,0.7042943609296645,4
within_mode_joint_auc_mean,shape_signature,0.7142006798496019,4
source_holdout_predict_p90_rank_spearman,identity_signal,0.3978453097252046,1072
source_holdout_predict_p90_rank_spearman,human_signature,0.32074827901085334,1072
source_holdout_predict_p90_rank_spearman,shape_signature,0.0,1072
source_holdout_predict_p90_rank_spearman,action_shape,0.0,1072
source_holdout_predict_p90_rank_spearman,human_plus_action,0.4519205039635186,1072
source_holdout_predict_p90_rank_spearman,human_plus_identity_action,0.45977403182653365,1072
source_holdout_predict_p90_rank_spearman,shape_plus_identity,0.4012306171177739,1072
source_holdout_predict_health_score_spearman,identity_signal,0.4893047021801598,1072
source_holdout_predict_health_score_spearman,human_signature,0.5537345154453898,1072
source_holdout_predict_health_score_spearman,shape_signature,0.17086659757133937,1072
source_holdout_predict_health_score_spearman,action_shape,0.16116095833969327,1072
source_holdout_predict_health_score_spearman,human_plus_action,0.6260881334200205,1072
source_holdout_predict_health_score_spearman,human_plus_identity_action,0.6458429958588352,1072
source_holdout_predict_health_score_spearman,shape_plus_identity,0.5746930058573166,1072
source_holdout_classify_joint_health_auc,identity_signal,0.6780625915352271,1072
source_holdout_classify_joint_health_auc,human_signature,0.7311850816983541,1072
source_holdout_classify_joint_health_auc,shape_signature,0.680401168951251,1072
source_holdout_classify_joint_health_auc,action_shape,0.6834315333373828,1072
source_holdout_classify_joint_health_auc,human_plus_action,0.7381164496817779,1072
source_holdout_classify_joint_health_auc,human_plus_identity_action,0.7465258795818233,1072
source_holdout_classify_joint_health_auc,shape_plus_identity,0.7943435447839261,1072
