prior,sim_mean_delta_e144_minus_e143,sim_p05,sim_p50,sim_p95,p_e144_beats_e143,support_cells_mean,support_flip_share_mean,top10_support_rate,edge_support_rate
nearest_hard085,-1.0288504234560141e-05,-1.8009052805989277e-05,-1.2866195663131004e-05,3.1338043368677743e-06,0.92572,10.60078,0.5920091228070232,0.640018,0.5500392857142857
both_equal_beta,-6.556361377417324e-06,-1.800905280598855e-05,-6.5804813774172675e-06,6.562375765440189e-06,0.804815,10.22622,0.5347174561403581,0.6181405,0.4813992857142857
nearest_beta,-5.029135663131626e-06,-1.800905280598839e-05,-4.866195663131916e-06,8.276661479725936e-06,0.73413,10.139615,0.5112732017543936,0.606344,0.45632428571428574
edge_endpoint_beta,-4.975455663131627e-06,-1.800905280598836e-05,-4.866195663131885e-06,8.276661479726015e-06,0.731115,10.133805,0.5104491666666744,0.605846,0.45618142857142857
global,-4.491749948845463e-06,-1.9723338520273446e-05,-4.866195663131139e-06,1.1133804336867796e-05,0.696435,11.35389,0.5030238596491238,0.532688,0.4767135714285714
both_distance_beta,-3.70656709170296e-06,-1.800905280598861e-05,-4.8661956631312504e-06,1.1133804336868922e-05,0.659925,10.48366,0.49097061403509434,0.5852325,0.45662714285714284
conflict_flat,-3.67963852027439e-06,-1.8009052805988643e-05,-4.866195663131187e-06,1.1133804336869271e-05,0.657815,10.481205,0.4905572368421119,0.585326,0.456055
next_beta,-2.9241756631315364e-06,-1.8009052805988165e-05,-3.1519099488461846e-06,1.2848090051153845e-05,0.6267,10.317135,0.4789602192982525,0.578388,0.4298657142857143
prev_beta,-1.9855213774172686e-06,-1.6294767091703546e-05,-3.1519099488447887e-06,1.2848090051154685e-05,0.580845,10.37532,0.4645510526315863,0.567246,0.4277407142857143
subject,-1.0906328059886967e-06,-1.6294767091703085e-05,-1.4376242345594219e-06,1.4562375765439617e-05,0.540545,10.203535,0.450813728070183,0.558659,0.3992942857142857
