prior,component,cells,expected_delta_per_all,expected_delta_total,prefers_e144,hard_support_cells,mean_support_probability,flip_benefit_total
both_distance_beta,inherited_e143_body,161,-1.6068154711037448e-05,-0.028119270744315535,True,69,0.4671259794995347,3.219999999999984
both_distance_beta,e144_fine_tail_delta,24,3.4862661660180825e-07,0.0006100965790531644,False,7,0.41575589489488224,0.07200000000000216
both_equal_beta,inherited_e143_body,161,-1.5051248831678837e-05,-0.026339685455437967,True,81,0.4665733132607527,3.219999999999984
both_equal_beta,e144_fine_tail_delta,24,2.1974964133123016e-06,0.003845618723296528,False,7,0.3708180873359445,0.07200000000000216
conflict_flat,inherited_e143_body,161,-2.0834362273138748e-05,-0.03646013397799281,True,83,0.469716309696329,3.219999999999984
conflict_flat,e144_fine_tail_delta,24,3.4862661660180825e-07,0.0006100965790531644,False,7,0.41575589489488224,0.07200000000000216
edge_endpoint_beta,inherited_e143_body,161,-1.3953866005561932e-05,-0.024419265509733383,True,78,0.4659769095509067,3.219999999999984
edge_endpoint_beta,e144_fine_tail_delta,24,1.755937971753847e-06,0.0030728914505692324,False,7,0.38155041056826766,0.07200000000000216
global,inherited_e143_body,161,-4.8416669892209967e-05,-0.08472917231136744,True,62,0.48470669427191165,3.219999999999984
global,e144_fine_tail_delta,24,-1.448845136294121e-06,-0.002535478988514712,True,9,0.4594444444444445,0.07200000000000216
nearest_beta,inherited_e143_body,161,-1.3953866005561932e-05,-0.024419265509733383,True,78,0.4659769095509067,3.219999999999984
nearest_beta,e144_fine_tail_delta,24,1.755937971753847e-06,0.0030728914505692324,False,7,0.38155041056826766,0.07200000000000216
nearest_hard085,inherited_e143_body,161,-2.4556352431894164e-05,-0.042973616755814785,True,74,0.4717391304347827,3.219999999999984
nearest_hard085,e144_fine_tail_delta,24,2.8825834351340547e-06,0.005044521011484596,False,7,0.3541666666666667,0.07200000000000216
next_beta,inherited_e143_body,161,-1.3715396696938238e-05,-0.024001944219641917,True,68,0.4658473066657853,3.219999999999984
next_beta,e144_fine_tail_delta,24,4.1635646646702903e-07,0.0007286238163173008,False,7,0.41410968326621367,0.07200000000000216
prev_beta,inherited_e143_body,161,-2.1594188726553476e-05,-0.03778983027146858,True,71,0.47012925885579354,3.219999999999984
prev_beta,e144_fine_tail_delta,24,-1.3790154471091115e-07,-0.00024132770324409452,True,7,0.4275812321490102,0.07200000000000216
subject,inherited_e143_body,161,-1.979547993525257e-05,-0.034642089886692,True,82,0.4691516997300867,3.219999999999984
subject,e144_fine_tail_delta,24,-9.309904565044221e-08,-0.00016292332988827386,True,10,0.42649228251906823,0.07200000000000216
