mask_index,mask_kind,mask_name,rows,prior_name,l2o_mae,l2o_median,l2o_p80,l2o_p90,l2o_max,l2o_signed_mean,l2o_signed_abs_mean,train_solution_score_mean,train_weighted_std_rmse_mean,train_shift_mean,n_pairs,n_anchor_errors,l2o_pair_mae,l2o_pair_p90,l2o_pair_max,l2o_source_score
1174,random_rows,frac0.40_rep009,100,entropy_g075,0.00046956557218654903,0.00031139535796612344,0.0008671117411827292,0.0010385857584669196,0.0017190707902793858,0.0001681904535997559,0.000469565572186549,0.00031144444485117415,2.590260068502224e-11,0.010381480421226155,21,42,0.000469565572186549,0.0009578704973595821,0.0017190707902793858,0.0014682030114700063
243,subject_contiguous,frac0.40_rep052,101,entropy_g075,0.0005620900884716588,0.000495977506667115,0.0010373584414451846,0.0012119435776972057,0.0016145553345960485,0.0001449419593630434,0.0005620900884716588,0.0003415519364108688,3.1632454714840974e-11,0.011385063229582866,21,42,0.0005620900884716588,0.001021987827246301,0.0016145553345960485,0.0016000368772207734
1167,random_rows,frac0.40_rep002,100,entropy_g075,0.0005344386947884721,0.00039727965918322315,0.0009288506925397486,0.0011626765396309912,0.001822157463939432,0.00024299479846193783,0.0005344386947884721,0.00033967705122435433,3.0203733370516064e-11,0.011322567143681267,21,42,0.0005344386947884721,0.0010003014819106747,0.001822157463939432,0.0016261910332956938
1205,random_rows,frac0.40_rep040,100,entropy_g075,0.0005557525169324375,0.0004030735716940984,0.0011288363616461514,0.0013169403732484122,0.0017061759009860942,0.00017668014321702602,0.0005557525169324375,0.0004949891205559056,0.00011925645029631644,0.011585439602739256,21,42,0.0005557525169324375,0.0009929110468169335,0.0017061759009860942,0.0016551204949363438
128,subject_contiguous,frac0.25_rep099,64,entropy_g075,0.0005501029707583899,0.00027706998866950695,0.001281667011660748,0.001390408770528329,0.001862701886981951,-4.475729673390331e-05,0.00055010297075839,0.000443810092606672,2.1123417227700468e-11,0.014793668843075147,21,42,0.0005501029707583899,0.0008937769331147755,0.001862701886981951,0.0016630533103870928
1146,random_rows,frac0.30_rep221,75,entropy_g075,0.0005488848387639247,0.00026532184903329875,0.0011055041499711913,0.0013266797395434108,0.001982302027597672,0.00016870154271947203,0.0005488848387639248,0.00035463793866444054,2.4880483144825315e-11,0.011821263595647561,21,42,0.0005488848387639247,0.0009638732802300497,0.001982302027597672,0.0016877333911541005
799,random_rows,frac0.20_rep114,50,entropy_g075,0.0005364628080429342,0.00021295173765079707,0.0010389333639172795,0.0015087873978847739,0.0019990125269536323,0.00010008996710992307,0.0005364628080429342,0.0003358992816242316,1.9368008178117855e-11,0.011196641916895043,21,42,0.0005364628080429342,0.001122665018907989,0.0019990125269536323,0.0017361706290615706
1257,random_rows,frac0.40_rep092,100,entropy_g075,0.0005982999851958247,0.0004291780285008793,0.001097598062764432,0.001320543869702868,0.0018600990132861357,0.0001954265917564097,0.0005982999851958248,0.00045808605136927474,7.682874650771005e-05,0.01210299862964339,21,42,0.0005982999851958247,0.001261117056279374,0.0018600990132861357,0.00180212486802172
800,random_rows,frac0.20_rep115,50,entropy_g075,0.0005492457656056512,0.00023102248974999837,0.0010084501421016717,0.0014179654657197978,0.0020898281043936163,0.00015151723464629645,0.0005492457656056512,0.0007680240678604973,0.00033148009790680397,0.012348325419679123,21,42,0.0005492457656056512,0.001139652715487392,0.0020898281043936163,0.0018095339935254094
1362,random_rows,frac0.40_rep197,100,entropy_g075,0.0006287896218596001,0.0005058512409670267,0.0011657151125742614,0.0014336936230522459,0.001713634217563727,0.000198283530966099,0.0006287896218596001,0.00038040687443299565,3.616501159363612e-11,0.012680227653669333,21,42,0.0006287896218596,0.0012815130556565512,0.001713634217563727,0.0018355985397377275
