method,blocks,weighted_row_logloss,weighted_count_nll_per_row,rate_mae_weighted,count_mae_mean,is_subject_mean,delta_weighted_row_logloss_vs_subject,delta_weighted_count_nll_per_row_vs_subject,support_mean,dist_median,view,strict_method
night_phone_rawctx_local_k8_a24,369,0.6016406592396234,0.2794086155594446,0.1854113022756972,0.8547008812221163,0.0,-0.011361114336946532,-0.011361114336946532,8.0,0.9641520381291626,night_phone,0.0
night_coverage_rawctx_local_k8_a24,369,0.6018021423621619,0.2795700986819829,0.18545404703161036,0.8548979241213258,0.0,-0.011199631214408035,-0.011199631214408201,8.0,0.9665333374871601,night_coverage,0.0
night_all_rawctx_local_k8_a24,369,0.6023961090748641,0.280164065394685,0.18607779428372315,0.8577732468200889,0.0,-0.010605664501705858,-0.01060566450170608,8.0,0.9188221541471223,night_all,0.0
night_watch_rawctx_local_k8_a24,369,0.6024481947739824,0.2802161510938035,0.18689344266626687,0.8615331869249859,0.0,-0.01055357880258756,-0.010553578802587615,8.0,0.9431941757173694,night_watch,0.0
night_context_rawctx_local_k8_a24,369,0.6026748491856087,0.2804428055054297,0.1868563709049291,0.8613622951471122,0.0,-0.010326924390961278,-0.01032692439096139,8.0,0.9070459151556771,night_context,0.0
night_mobility_rawctx_local_k8_a24,369,0.6027672842220005,0.2805352405418217,0.18626826566735707,0.8586512734422068,0.0,-0.010234489354569387,-0.010234489354569387,8.0,0.9230895503552665,night_mobility,0.0
night_usage_ambience_rawctx_local_k8_a24,369,0.6030862956342458,0.2808542519540669,0.18655273692029528,0.8599626165350195,0.0,-0.009915477942324169,-0.009915477942324225,8.0,0.9157634225758943,night_usage_ambience,0.0
night_light_rawctx_local_k8_a24,369,0.6034550158585925,0.28122297217841363,0.18647028548882846,0.8595825355460627,0.0,-0.009546757717977417,-0.009546757717977472,8.0,0.9038545486995875,night_light,0.0
night_phone_rawctx_strict_k8_a24,369,0.6052685999000914,0.2830365562199124,0.1908421859994161,0.8797359305826741,0.0,-0.007733173676478522,-0.0077331736764786885,8.0,1.1826832264139937,night_phone,1.0
night_light_rawctx_strict_k8_a24,369,0.6058725277708759,0.2836404840906971,0.19076713099971498,0.8793899453401495,0.0,-0.007129245805694073,-0.007129245805694018,8.0,1.0427741139549365,night_light,1.0
