k,split,rows,cluster_entropy,min_cluster_rows,max_cluster_rows,subject_entropy,dateblock_entropy
4,train,450,0.9583028397614698,58,156,0.9932474536787129,0.9713099828704422
4,test,250,0.824251803625053,10,106,0.9943128109888364,0.9725213496798285
6,train,450,0.9758437678245372,47,102,0.9932474536787129,0.9713099828704422
6,test,250,0.8290626074658459,7,81,0.9943128109888364,0.9725213496798285
8,train,450,0.9816731084483208,36,83,0.9932474536787129,0.9713099828704422
8,test,250,0.9365422334375877,11,66,0.9943128109888364,0.9725213496798285
10,train,450,0.9804350194148304,28,74,0.9932474536787129,0.9713099828704422
10,test,250,0.9053217528569296,1,55,0.9943128109888364,0.9725213496798285
12,train,450,0.9778671395320233,14,59,0.9932474536787129,0.9713099828704422
12,test,250,0.8844423533629363,2,50,0.9943128109888364,0.9725213496798285
