group_type,group,segments,unique_cells,support_delta,adverse_delta,total_swing,top1_swing,top5_swing,expected_global,support_prob_global_swing_weighted,expected_subject,support_prob_subject_swing_weighted,expected_nearest_hard085,support_prob_nearest_hard085_swing_weighted,expected_focus_mean,support_prob_focus_mean_swing_weighted
component,e154_to_e216_s2_graft,250,250,-0.007321835317206736,0.006048480436759345,0.013370315753966081,0.00013139959478365986,0.0006427537581015403,-0.000387916443346565,0.4813945308805934,-0.00024859660209460444,0.4709744447872165,-0.00022842335042680637,0.4694656358675907,-0.0002883121319559919,0.47394487051180023
component,e95_to_e154_body,294,294,-0.001093576567895393,0.0009240703798555904,0.0020176469477509833,1.5339633652824394e-05,7.04601978722272e-05,-4.592464362156299e-05,0.48075557746035824,-1.9128475358954992e-05,0.4674746770072454,-2.445955505884405e-05,0.47011690324302535,-2.983755801312066e-05,0.47278238590354293
target,Q1,70,70,-0.0002454152589143236,0.00022564089182660447,0.000471056150740928,1.3405143872728255e-05,6.310177014729573e-05,-8.820036757968926e-06,0.4977345656474029,-7.047573884249271e-06,0.4939718234118292,-3.6776674356962844e-05,0.5570834087843001,-1.7548094999727003e-05,0.516263265947844
target,Q3,95,95,-0.0003852664552538096,0.0003334627281287134,0.0007187291833825231,1.5339633652824394e-05,7.03383708326716e-05,-8.661908310894396e-06,0.47601328059267317,-9.344065198113134e-06,0.47696239592427614,1.3603380046393837e-05,0.445034590883008,-1.4675311542045668e-06,0.4660034224666523
target,S2,289,250,-0.007437064287602768,0.0062040149154907465,0.013641079203093515,0.00013139959478365986,0.0006427537581015403,-0.00037392798573907183,0.4822157252586054,-0.0002484522364552783,0.4730173511845558,-0.00023841766785356996,0.47228173720179756,-0.0002869326300159733,0.47583827121498623
target,S3,56,56,-0.00018677906828281135,0.00012080064623158475,0.0003075797145143961,1.2575867360216352e-05,6.145567636423979e-05,-4.048977145283035e-06,0.40590980966992307,2.2142166223862642e-06,0.38554697859844755,3.357087014738644e-05,0.283600549606842,1.0578703208163235e-05,0.35835244595840415
target,S4,34,34,-0.00016088681504841667,8.863163493728638e-05,0.000249518449985703,1.2391084031980209e-05,6.0535330938516393e-05,-3.8382179014909815e-05,0.5090357605198087,-5.095418538305119e-06,0.37563175581189234,-2.4862813468897915e-05,0.4548539332970661,-2.2780137007370952e-05,0.4465071498762558
component_target,e154_to_e216_s2_graft:S2,250,250,-0.007321835317206736,0.006048480436759345,0.013370315753966081,0.00013139959478365986,0.0006427537581015403,-0.000387916443346565,0.4813945308805934,-0.00024859660209460444,0.4709744447872165,-0.00022842335042680637,0.4694656358675907,-0.0002883121319559919,0.47394487051180023
component_target,e95_to_e154_body:Q1,70,70,-0.0002454152589143236,0.00022564089182660447,0.000471056150740928,1.3405143872728255e-05,6.310177014729573e-05,-8.820036757968926e-06,0.4977345656474029,-7.047573884249271e-06,0.4939718234118292,-3.6776674356962844e-05,0.5570834087843001,-1.7548094999727003e-05,0.516263265947844
component_target,e95_to_e154_body:Q3,95,95,-0.0003852664552538096,0.0003334627281287134,0.0007187291833825231,1.5339633652824394e-05,7.03383708326716e-05,-8.661908310894396e-06,0.47601328059267317,-9.344065198113134e-06,0.47696239592427614,1.3603380046393837e-05,0.445034590883008,-1.4675311542045668e-06,0.4660034224666523
component_target,e95_to_e154_body:S2,39,39,-0.00011522897039603191,0.0001555344787314014,0.0002707634491274333,1.220505737296808e-05,5.789785659192058e-05,1.3988457607493186e-05,0.5227663541000704,1.4436563932626822e-07,0.5738961946039536,-9.994317426763566e-06,0.611340994109806,1.3795019400186275e-06,0.5693345142712767
component_target,e95_to_e154_body:S3,56,56,-0.00018677906828281135,0.00012080064623158475,0.0003075797145143961,1.2575867360216352e-05,6.145567636423979e-05,-4.048977145283035e-06,0.40590980966992307,2.2142166223862642e-06,0.38554697859844755,3.357087014738644e-05,0.283600549606842,1.0578703208163235e-05,0.35835244595840415
component_target,e95_to_e154_body:S4,34,34,-0.00016088681504841667,8.863163493728638e-05,0.000249518449985703,1.2391084031980209e-05,6.0535330938516393e-05,-3.8382179014909815e-05,0.5090357605198087,-5.095418538305119e-06,0.37563175581189234,-2.4862813468897915e-05,0.4548539332970661,-2.2780137007370952e-05,0.4465071498762558
