strategy,weight,base_loss,candidate_loss,delta,changed_blocks,Q1_delta,Q2_delta,Q3_delta,S1_delta,S2_delta,S3_delta,S4_delta
nearest,0.25,0.5649119658633613,0.5648574321327888,-5.453373057251465e-05,100,0.0,0.00043676677483073245,-0.0008185028888395562,0.0,0.0,0.0,0.0
nearest,0.5,0.5649119658633613,0.564886642263495,-2.5323599866289292e-05,100,0.0,0.0012563147349714532,-0.0014335799340366995,0.0,0.0,0.0,0.0
range,0.25,0.5649119658633613,0.5649119658633613,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
range,0.5,0.5649119658633613,0.5649119658633613,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
range,0.75,0.5649119658633613,0.5649119658633613,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
range,1.0,0.5649119658633613,0.5649119658633613,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nearest,0.75,0.5649119658633613,0.5650006150807492,8.864921738782616e-05,100,0.0,0.002467212446556344,-0.00184666792484256,0.0,0.0,0.0,0.0
nearest,1.0,0.5649119658633613,0.5652010339056546,0.0002890680422932279,100,0.0,0.004081773983704573,-0.0020582976876520886,0.0,0.0,0.0,0.0
