scenario_id,feature_view,dropped_public,train_rows,feature_count,gated_count,top_variant,top_family,top_origin,top_file,top_score,generated_gated_count,train_spearman_ridge_10,train_spearman_ridge_1,train_spearman_knn3,train_spearman_extratrees,e365_rank,e365_score,top_beats_e365,top_is_e365,best_generated_variant,best_generated_family,best_generated_rank,best_generated_score
all__none,all,none,13,164,192,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,e368_generated,analysis_outputs/submission_e368_q2s1rowmask_e368_q2_damp_s1_recover_amp1_06_dece31af.csv,8.357921245421245,15,0.967032967032967,0.9945054945054945,1.0,0.9917393003710356,13.0,6.968345543345544,True,False,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,1.0,8.357921245421245
all__drop_submission_hybrid_0p578_logit_after_subjec,all,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,12,164,192,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,e368_generated,analysis_outputs/submission_e368_q2s1rowmask_e368_q2_damp_s1_recover_amp1_06_dece31af.csv,8.352243589743589,15,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,13.0,6.956318681318682,True,False,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,1.0,8.352243589743589
all__drop_submission_hybrid_0p567_foldsafe_stage2_q1,all,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,12,164,47,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,e368_generated,analysis_outputs/submission_e368_q2s1rowmask_e368_q2_damp_s1_recover_amp1_06_dece31af.csv,8.369459706959706,15,0.9790209790209792,0.9930069930069931,1.0,0.9929823694376383,13.0,7.005158730158731,True,False,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,1.0,8.369459706959706
all__drop_submission_ordinal_q_constraints_ambnext_Q,all,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,12,164,188,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,e368_generated,analysis_outputs/submission_e368_q2s1rowmask_e368_q2_damp_s1_recover_amp1_06_dece31af.csv,8.357249694749694,15,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,13.0,6.979884004884005,True,False,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,1.0,8.357249694749694
all__drop_submission_mixmin_0c916bb4_csv,all,submission_mixmin_0c916bb4.csv,12,164,188,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,e368_generated,analysis_outputs/submission_e368_q2s1rowmask_e368_q2_damp_s1_recover_amp1_06_dece31af.csv,8.360790598290597,15,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,13.0,6.97481684981685,True,False,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,1.0,8.360790598290597
all__drop_submission_e72_topabs50_q2s3_gate_4e48cba2,all,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,12,164,24,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,e368_generated,analysis_outputs/submission_e368_q2s1rowmask_e368_q2_damp_s1_recover_amp1_06_dece31af.csv,8.319337606837607,15,0.9580419580419581,0.9930069930069931,1.0,0.9947414184151023,15.0,6.79508547008547,True,False,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,1.0,8.319337606837607
all__drop_submission_e95_hardtail_541e3973_csv,all,submission_e95_hardtail_541e3973.csv,12,164,189,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,e368_generated,analysis_outputs/submission_e368_q2s1rowmask_e368_q2_damp_s1_recover_amp1_06_dece31af.csv,8.364514652014652,15,0.9860139860139862,1.0,1.0,0.9964973622679555,13.0,6.982631257631258,True,False,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,1.0,8.364514652014652
all__drop_submission_e101_q2s3tail_177569bc_csv,all,submission_e101_q2s3tail_177569bc.csv,12,164,190,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,e368_generated,analysis_outputs/submission_e368_q2s1rowmask_e368_q2_damp_s1_recover_amp1_06_dece31af.csv,8.367139804639804,15,1.0,1.0,1.0,0.99124495269876,13.0,6.973840048840049,True,False,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,1.0,8.367139804639804
all__drop_submission_e176_abl_q2_to0p75_91e49725_csv,all,submission_e176_abl_q2_to0p75_91e49725.csv,12,164,188,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,e368_generated,analysis_outputs/submission_e368_q2s1rowmask_e368_q2_damp_s1_recover_amp1_06_dece31af.csv,8.38307387057387,15,0.965034965034965,0.9930069930069931,1.0,0.9947414184151023,13.0,6.996855921855922,True,False,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,1.0,8.38307387057387
all__drop_submission_e216_maskfam_jepa_s2_rank_e154_,all,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,12,164,182,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,e368_generated,analysis_outputs/submission_e368_q2s1rowmask_e368_q2_damp_s1_recover_amp1_06_dece31af.csv,8.237652625152625,15,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,13.0,6.90528083028083,True,False,e368_q2_damp_s1_recover_amp1.06,learned_q2s1_lifestyle_cell_gate,1.0,8.237652625152625
