context,scope,mask_kind,state_frac,shape,rows,evaluated,strict,veto_actionable,local_and_veto,submit_gate,best_all_minus_e95,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_tail_exposure
all,q1q3_sall,hard,0.3,raw,5,3,0,0,0,0,-4.33537542583462e-05,-4.0388244409467396e-05,2.6205448613912176e-05,0.0015453837461151183
all,all,hard,0.3,raw,5,4,0,0,0,0,-4.359180835389331e-05,-4.012448926888625e-05,2.6922803229003052e-05,0.0015629748638776014
all,q1q3_sall,soft,0.3,raw,5,3,0,0,0,0,-4.247303079030207e-05,-3.928827993963197e-05,2.7041508964206143e-05,0.0015604997513850257
all,q1q3_sall,hard,0.3,sqrt,5,3,0,0,0,0,-3.987951395545419e-05,-3.832077463846365e-05,1.7397438987448856e-05,0.0015085971298216417
all,all,hard,0.3,sqrt,5,3,0,0,0,0,-4.0187223849352804e-05,-3.791085297304302e-05,1.7724579672941096e-05,0.0015253733317448683
all,q1q3_sall,soft,0.3,sqrt,5,3,0,0,0,0,-3.967014145656034e-05,-3.784123359588455e-05,1.837272855546052e-05,0.0015174663894438516
all,all,soft,0.3,sqrt,5,3,0,0,0,0,-3.998773660518484e-05,-3.748724296316332e-05,1.8686839139168495e-05,0.0015342080843145987
all,non_q2s3,hard,0.3,raw,5,3,0,0,0,0,-3.852810925819572e-05,-3.516206557226426e-05,2.7353057233923347e-05,0.0014689481447851779
all,non_q2s3,hard,0.3,sqrt,5,3,0,0,0,0,-3.5392384454158154e-05,-3.338430115086131e-05,1.9027556162265895e-05,0.0014613441269257048
all,non_q2s3,soft,0.3,sqrt,5,3,0,0,0,0,-3.540585759720383e-05,-3.319467791911696e-05,1.93253018530425e-05,0.001467594417517247
all,q1q3_sall,hard,0.3,sign,5,4,0,0,0,0,-2.8984074294191586e-05,-3.1800578950508784e-05,9.914053647073216e-06,0.0014471244069686378
all,q1q3_sall,soft,0.3,sign,5,4,0,0,0,0,-2.8984074294191586e-05,-3.1800578950508784e-05,9.914053647073216e-06,0.0014471244069686378
all,all,hard,0.3,sign,5,4,0,0,0,0,-2.8853143326457165e-05,-3.059031356896031e-05,1.1809538457543691e-05,0.0014591146117947755
all,all,soft,0.3,sign,5,4,0,0,0,0,-2.8853143326457165e-05,-3.059031356896031e-05,1.1809538457543691e-05,0.0014591146117947755
all,all,soft,0.3,raw,5,3,0,0,0,0,-2.962286198626707e-05,-2.8888419394259378e-05,1.0259928734180318e-05,0.001179661443737381
all,all,soft,0.2,raw,5,3,0,0,0,0,-3.209564465278536e-05,-2.8493301203861847e-05,2.0529677865438256e-05,0.0013322795442169395
all,all,hard,0.2,raw,5,3,0,0,0,0,-3.225704186049505e-05,-2.835445510565009e-05,1.9171709154257296e-05,0.0013238558360960094
