basename,source_path,episode,target,view_id,split,rule,scale,source_delta_logloss,source_robust_gate,source_dominance,source_min_mode_dominance,nonzero_rows,mean_abs_delta,max_abs_delta,signed_delta_sum,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s030_f8fc2700.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s030_f8fc2700.csv,routine_fragmentation,S1,raw_human_context,dateblock5,all_centered,0.3,-0.0098040291797294,True,0.9947916666666666,0.984375,250,0.07087287303659784,0.195,2.0302821820118444,promote_candidate,True,False,-0.0012843998199157695,-0.0018249092220128937,-0.0005654749762100364,0.9411764705882353,-0.0019812112926259062
submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s030_11e075f1.csv,analysis_outputs/submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s030_11e075f1.csv,bedtime_arousal,S1,raw_human_context,dateblock5,all_centered,0.3,-0.0069148643143257,True,0.9947916666666666,0.984375,250,0.0660033540526932,0.195,1.4507781396106527,promote_candidate,True,False,-0.0009241382382179509,-0.0014307386784359157,-0.000525463068292734,0.9411764705882353,-0.0060381781850298855
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s022_7c891264.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s022_7c891264.csv,routine_fragmentation,S1,raw_human_context,dateblock5,all_centered,0.22,-0.0098040291797294,True,0.9947916666666666,0.984375,250,0.05197344022683842,0.14300000000000002,1.4888736001420186,promote_candidate,True,False,-0.0008381817482133008,-0.0011724726351824129,-0.0003524736247902426,0.9411764705882353,-0.0014528882812590016
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs64_s030_e87583ab.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs64_s030_e87583ab.csv,routine_fragmentation,S1,raw_human_context,dateblock5,topabs64,0.3,-0.0098040291797294,True,0.9947916666666666,0.984375,64,0.03764799092333584,0.195,2.200615635154105,promote_candidate,True,False,-0.000966458577636737,-0.001283187068318411,-0.0003366568028154841,0.9411764705882353,-0.006013463369472838
submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_topabs64_s030_8582e4d0.csv,analysis_outputs/submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_topabs64_s030_8582e4d0.csv,bedtime_arousal,S1,raw_human_context,dateblock5,topabs64,0.3,-0.0069148643143257,True,0.9947916666666666,0.984375,64,0.034858634255899926,0.195,1.7409878667475764,promote_candidate,True,False,-0.0007000593719604245,-0.0010108991680374121,-0.00032278244844565873,0.9411764705882353,-0.005171428350169649
submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s022_bfbce9d1.csv,analysis_outputs/submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s022_bfbce9d1.csv,bedtime_arousal,S1,raw_human_context,dateblock5,all_centered,0.22,-0.0069148643143257,True,0.9947916666666666,0.984375,250,0.048402459638641676,0.14300000000000002,1.063903969047812,promote_candidate,True,False,-0.0005678216806134223,-0.0008752521309292971,-0.0003188263513561434,0.9411764705882353,-0.004427997335688605
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs64_s022_9f144823.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs64_s022_9f144823.csv,routine_fragmentation,S1,raw_human_context,dateblock5,topabs64,0.22,-0.0098040291797294,True,0.9947916666666666,0.984375,64,0.027608526677112947,0.14300000000000002,1.61378479911301,promote_candidate,True,False,-0.0006577731416782523,-0.0008740028611487339,-0.00021564151394524295,0.9411764705882353,-0.004409873137613429
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs32_s030_eb7092a0.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs32_s030_eb7092a0.csv,routine_fragmentation,S1,raw_human_context,dateblock5,topabs32,0.3,-0.0098040291797294,True,0.9947916666666666,0.984375,32,0.02268473148842427,0.195,1.5079588664032713,promote_candidate,True,False,-0.0005994540090090368,-0.0007960715324433751,-0.00020899012047546992,0.9411764705882353,-0.011472812883750072
submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_topabs64_s022_c26dbc46.csv,analysis_outputs/submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_topabs64_s022_c26dbc46.csv,bedtime_arousal,S1,raw_human_context,dateblock5,topabs64,0.22,-0.0069148643143257,True,0.9947916666666666,0.984375,64,0.025562998454326618,0.14300000000000002,1.2767244356148897,promote_candidate,True,False,-0.00045357025098260453,-0.0006465881104582624,-0.0002016143666106631,0.9411764705882353,-0.003792380790124339
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s015_355ad200.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s015_355ad200.csv,routine_fragmentation,S1,raw_human_context,dateblock5,all_centered,0.15,-0.0098040291797294,True,0.9947916666666666,0.984375,250,0.03543643651829892,0.0975,1.0151410910059222,promote_candidate,True,False,-0.0004856991618504322,-0.000663915777984674,-0.00018961262863999786,0.9411764705882353,-0.0009906056463129254
