model,split,model_split,auc,logloss,brier,corr_benefit,mean_prob,n
lr_l2_c0p10,stratified5,lr_l2_c0p10__stratified5,0.5657593236409608,0.7791330516531915,0.27404303505751654,0.014016880024163647,0.4899181395761789,450
lr_l2_c0p10,rowcontig5,lr_l2_c0p10__rowcontig5,0.5519516434892542,0.9061863768998057,0.3100628807465409,0.06774758234208254,0.4734106941409027,450
lr_l2_c0p10,subject5,lr_l2_c0p10__subject5,0.5417983565107459,0.81017899540963,0.2891447945675586,-0.018524560376701485,0.47068888959740585,450
lr_l2_c0p10,subject_loo,lr_l2_c0p10__subject_loo,0.5468354930467763,0.7879417916328142,0.2828977124892272,-0.03233488482559312,0.4762356065456066,450
lr_l1_c0p04,stratified5,lr_l1_c0p04__stratified5,0.5415218078381795,0.6905250491026661,0.24868621410245342,-0.10689497666837283,0.4985132243179664,450
lr_l1_c0p04,rowcontig5,lr_l1_c0p04__rowcontig5,0.5289783501896334,0.69205155486708,0.2494520262235899,-0.0473606962414343,0.502517766083697,450
lr_l1_c0p04,subject5,lr_l1_c0p04__subject5,0.5500948166877371,0.6879826732878698,0.24743681801842624,-0.02967734684357042,0.5046202512237827,450
lr_l1_c0p04,subject_loo,lr_l1_c0p04__subject_loo,0.5414921776232617,0.6915642016663994,0.2491802818172494,-0.06896567238231835,0.5060180192097884,450
hgb_shallow,stratified5,hgb_shallow__stratified5,0.5519516434892542,0.7115761633118882,0.25770641981424064,-0.031852061701907124,0.4916188267729436,450
hgb_shallow,rowcontig5,hgb_shallow__rowcontig5,0.550766434892541,0.7112235274442871,0.2574669575707517,-0.04073420917545618,0.5065273660432904,450
hgb_shallow,subject5,hgb_shallow__subject5,0.5881005056890013,0.691673340819004,0.24851322112772595,0.014234434229600712,0.4932759882655312,450
hgb_shallow,subject_loo,hgb_shallow__subject_loo,0.559438211125158,0.7010009937179139,0.25315218752286595,-0.007285892959517495,0.5042678267773087,450
gb_shallow,stratified5,gb_shallow__stratified5,0.551141750948167,0.6972422592454598,0.25168017998234415,-0.014938671065462391,0.49584626150464195,450
gb_shallow,rowcontig5,gb_shallow__rowcontig5,0.5240399810366625,0.7043073179975868,0.25522115360242476,-0.05853352457315059,0.4936336189291189,450
gb_shallow,subject5,gb_shallow__subject5,0.5603666245259166,0.6940349147329126,0.25016537713249254,-0.03272571614004231,0.49750146632494485,450
gb_shallow,subject_loo,gb_shallow__subject_loo,0.5426675094816688,0.6960667467464088,0.25126320386369316,0.011200281061944,0.511830905636108,450
