strategy,source,fallback,row_quantile,cell_quantile,projection_scope,rows,evaluated,strict,deployable,loose,best_all_delta,best_inverse_top,best_raw05,best_all_sign,best_hidden_q2s3,best_world,best_block_win,best_block_tail,best_e72_contamination_index,best_mixmin_reversal_index,best_tag
blend_e86_noq2,e86+noq2,,,,,7,7,7,7,7,-2.7700469957814278e-05,-7.065162204500375e-06,-3.523983661124497e-05,-4.079641105769749e-05,-0.00035941391640045145,-0.0002857581239302964,0.7777777777777778,1.0,0.7653119194426167,0.6287747650060174,e89_blend_e86_noq2_4a5e962f
project_away_e72,e86,,,,e86_active_top80cell,6,6,3,3,3,-2.7254077030303137e-05,-4.810309741754004e-06,-3.557793597908088e-05,-4.137398536974146e-05,-0.00032276386842573085,-0.0002161118068998713,0.7777777777777778,1.0,0.7464810315490988,0.6677298166382226,e89_project_away_e72_9c322c06
project_away_e72,e86,,,,e86_active,6,6,2,2,2,-2.7002817346688524e-05,-3.881457531051957e-06,-3.563673928075328e-05,-4.149025522814931e-05,-0.00033478605271158174,-0.00019416442010801726,0.7777777777777778,1.0,0.7511452374150627,0.6592494873384616,e89_project_away_e72_d17157dc
cell_e72_fallback,e86,e85,,0.8,,1,1,1,1,1,-2.5895951955900998e-05,-5.5539239510737914e-06,-3.3314823782548686e-05,-3.881910813419154e-05,-0.00021605979502650058,-0.00014045227871900545,0.6388888888888888,0.9444444444444444,0.6763613053595627,0.6816475688192822,e89_cell_e72_fallback_00d7807f
cell_e72_fallback,e86,e85,,0.7,,1,1,1,1,1,-2.545577183554748e-05,-5.755473822199875e-06,-3.2609555403628754e-05,-3.800228628070279e-05,-0.00021605979502650058,-0.00012815455919010232,0.6388888888888888,0.9444444444444444,0.6826125693748866,0.6773448666744241,e89_cell_e72_fallback_f0e327cd
row_e72_fallback,e86,e85,0.6,,,1,1,1,1,1,-2.553447162900735e-05,-7.148435384518592e-06,-3.211683664028353e-05,-3.733814286233095e-05,-0.00022299767995238168,-0.0001557813057712576,0.6388888888888888,0.9444444444444444,0.6853728269172263,0.6562139145954701,e89_row_e72_fallback_3a92956a
row_e72_fallback,e86,e85,0.8,,,1,1,1,1,1,-2.6508278398118534e-05,-6.830065708562927e-06,-3.367982727375818e-05,-3.901494221214552e-05,-0.00024925436961268504,-0.00020630163093241505,0.7222222222222222,0.9444444444444444,0.6910789419915715,0.6512577637762818,e89_row_e72_fallback_e6493417
cell_e72_fallback,e86,e85,,0.9,,1,1,1,1,1,-2.650401872417163e-05,-5.416119417733789e-06,-3.42137468011261e-05,-3.988218995376602e-05,-0.00021605979502650058,-0.00016042927795733574,0.6388888888888888,0.9444444444444444,0.6914901228749688,0.6879818013918344,e89_cell_e72_fallback_8e24187e
cell_e72_fallback,e86,e85,,0.6,,1,1,1,1,1,-2.499787686482957e-05,-5.969996264343358e-06,-3.1934114702036887e-05,-3.708951962799745e-05,-0.00021605979502650058,-0.0001100853231830845,0.6388888888888888,0.9444444444444444,0.6914922445529046,0.6644524767889594,e89_cell_e72_fallback_01dc4bf6
row_e72_fallback,e86,e85,0.7,,,1,1,1,1,1,-2.6063755598548788e-05,-7.35973484011776e-06,-3.280810452543914e-05,-3.802342742997844e-05,-0.00023037727687465898,-0.00017896894541095666,0.6388888888888888,0.9444444444444444,0.6916665379518323,0.6526818172784952,e89_row_e72_fallback_7c2e4987
row_e72_q2_remove,e86,q2_zero,0.6,,,1,1,1,1,1,-2.686920238970103e-05,-6.0989403839473155e-06,-3.444185089040985e-05,-4.00668158946349e-05,-0.00023683277521104745,-0.00016538953964819746,0.6388888888888888,0.9444444444444444,0.7142456753105573,0.669068821994981,e89_row_e72_q2_remove_ad12b148
row_e72_fallback,e86,e85,0.9,,,1,1,1,1,1,-2.6932385085221e-05,-6.1633542025596455e-06,-3.453015277210536e-05,-4.010364828088697e-05,-0.00029983846764414235,-0.000250999367211191,0.7777777777777778,1.0,0.7157842012048675,0.63882455651664,e89_row_e72_fallback_28925de5
row_e72_q2_remove,e86,q2_zero,0.7,,,1,1,1,1,1,-2.696017269754325e-05,-6.311255815405481e-06,-3.448484121204576e-05,-4.008442106506749e-05,-0.00024373295435319714,-0.00018831799791954595,0.6388888888888888,0.9444444444444444,0.7191953952779602,0.6635492437437819,e89_row_e72_q2_remove_85f7ef06
row_e72_q2_remove,e86,q2_zero,0.8,,,1,1,1,1,1,-2.7137420319789385e-05,-6.243355883062129e-06,-3.474504615519347e-05,-4.0423858921112554e-05,-0.0002610788871794459,-0.00020278137828345645,0.7222222222222222,0.9444444444444444,0.724875840825142,0.657836429649702,e89_row_e72_q2_remove_6b4585f5
control,noq2,,,,,1,1,1,1,1,-2.6946089001889106e-05,-7.289320977377223e-06,-3.406216059576028e-05,-3.948678543230777e-05,-0.0002542062217323199,-0.00017163790502200404,0.6666666666666666,0.9444444444444444,0.7304076452294868,0.6369506941444923,e89_control_a85c4e39
cell_e72_fallback,e86,noq2,,0.6,,1,1,1,1,1,-2.6944125451677792e-05,-7.287562056035313e-06,-3.405946504175805e-05,-3.948534925724001e-05,-0.0002542062217323199,-0.0001716118850411563,0.6388888888888888,0.9444444444444444,0.7304424929392118,0.6369435499245082,e89_cell_e72_fallback_1c652fe0
