strategy,source,fallback,row_quantile,cell_quantile,projection_scope,rows,evaluated,strict,deployable,loose,best_all_delta,best_inverse_top,best_raw05,best_all_sign,best_hidden_q2s3,best_world,best_block_win,best_block_tail,best_e72_contamination_index,best_mixmin_reversal_index,best_tag
cell_e72_fallback,e86,noq2,,0.7,,1,1,1,1,1,-2.694390426405402e-05,-7.288489436763079e-06,-3.405873017781058e-05,-3.94844931775884e-05,-0.0002542062217323199,-0.00017161239893254688,0.6388888888888888,0.9444444444444444,0.7304528090985988,0.6369325582418947,e89_cell_e72_fallback_2e6e1825
cell_e72_fallback,e86,noq2,,0.8,,1,1,1,1,1,-2.6943720863981113e-05,-7.289900821882966e-06,-3.405787130972282e-05,-3.948339046022653e-05,-0.0002542062217323199,-0.0001716886589493205,0.6388888888888888,0.9444444444444444,0.7304579112047117,0.63692688221155,e89_cell_e72_fallback_1feda6c6
cell_e72_fallback,e86,noq2,,0.9,,1,1,1,1,1,-2.694341996034577e-05,-7.289652463104979e-06,-3.40575951723876e-05,-3.948301224543371e-05,-0.0002542062217323199,-0.00017172920041164664,0.6388888888888888,0.9444444444444444,0.7304595032873685,0.6369239159340216,e89_cell_e72_fallback_037f5012
row_e72_fallback,e86,noq2,0.6,,,1,1,1,1,1,-2.6948015844574513e-05,-7.058340334764601e-06,-3.419160534268162e-05,-3.959410185627732e-05,-0.000255722328116631,-0.00016674642125159568,0.6388888888888888,0.9444444444444444,0.7311133535561263,0.6390931652737941,e89_row_e72_fallback_12801003
control,e85,,,,,1,1,1,1,1,-2.387582191021309e-05,-8.166578904234001e-06,-2.9555162944894242e-05,-3.390572388162205e-05,-0.00021605979502650058,-0.00013036074739025683,0.6388888888888888,0.9444444444444444,0.7347713390660593,0.6247787204483503,e89_control_58b23ed1
row_e72_fallback,e86,noq2,0.7,,,1,1,1,1,1,-2.7016806538493476e-05,-7.1426793706308445e-06,-3.4225303514379135e-05,-3.968243673035943e-05,-0.00026197760907933215,-0.00018760837659587693,0.6388888888888888,0.9444444444444444,0.7358514288255501,0.6361618886256862,e89_row_e72_fallback_73e3c821
row_e72_q2_remove,e86,q2_zero,0.9,,,1,1,1,1,1,-2.7459233683191364e-05,-6.486576828446111e-06,-3.5141228370116906e-05,-4.074989585078903e-05,-0.00030687784526065714,-0.0002559121346789317,0.7777777777777778,1.0,0.7407208733686281,0.6434454648194612,e89_row_e72_q2_remove_b4fb0071
row_e72_fallback,e86,noq2,0.8,,,1,1,1,1,1,-2.7226543860114916e-05,-6.952691180672765e-06,-3.456907237231466e-05,-4.015786802713528e-05,-0.00027726368974892446,-0.00020134586721948233,0.7222222222222222,0.9444444444444444,0.7428118230214947,0.6377795436854202,e89_row_e72_fallback_2fbf12ac
row_e72_fallback,e86,noq2,0.9,,,1,1,1,1,1,-2.7583786208151828e-05,-7.009785866429752e-06,-3.5104925969475786e-05,-4.0636646788438924e-05,-0.00031651297198290185,-0.0002571103648970452,0.7777777777777778,1.0,0.7553579851711794,0.6299515843860172,e89_row_e72_fallback_a1c511b2
control,e86,,,,,1,1,1,1,1,-2.7705869828476004e-05,-6.9100032192848104e-06,-3.533869208549589e-05,-4.086891418064731e-05,-0.0003775852972332863,-0.0003074391775771235,0.7777777777777778,1.0,0.7723793763446426,0.6270625307172869,e89_control_a3f7c96f
control,noover,,,,,1,1,1,1,1,-2.4254453449557012e-05,-7.531961495166328e-06,-3.0382272802831345e-05,-3.484912605045132e-05,-0.00030529229255100987,-0.00024883679876759325,0.7777777777777778,1.0,0.7723793763446426,0.6270625307172759,e89_control_acd7add0
control,inverse_top,,,,,1,1,1,1,1,-1.8886223361436194e-05,-2.0643372670048343e-05,-1.8514007640968444e-05,-1.7501289773402817e-05,-0.0003761215471783652,-0.0004434231929264842,0.7777777777777778,1.0,0.9284146526112742,0.5639522680079594,e89_control_5445ec28
cell_e72_fallback,e86,mixmin,,0.6,,1,1,0,0,0,-8.769898860783165e-06,7.797010530663506e-06,-1.4957011786664864e-05,-1.9149695326126093e-05,1.3877787807814457e-17,9.2794001056129e-05,0.25,1.0,1.0666816628179254e-14,0.9857414420708515,e89_cell_e72_fallback_23981c45
cell_e72_fallback,e86,mixmin,,0.7,,1,1,0,0,0,-1.1474064211536295e-05,9.658528531297783e-06,-1.9515734570929588e-05,-2.4564986594866056e-05,1.3877787807814457e-17,7.9601708312671e-06,0.25,1.0,0.03768837373154456,0.9870873078459689,e89_cell_e72_fallback_6334eda9
cell_e72_fallback,e86,mixmin,,0.8,,1,1,0,0,0,-1.3998825157290895e-05,1.1746922620403666e-05,-2.4143084303873685e-05,-2.9600313788291643e-05,1.3877787807814457e-17,-2.8550090529944062e-05,0.25,1.0,0.05322905525517549,0.9452653700245095,e89_cell_e72_fallback_2ac1c026
cell_e72_fallback,e86,mixmin,,0.9,,1,1,0,0,0,-1.811389140771169e-05,1.0881056987432913e-05,-2.9234165419889102e-05,-3.598856579090093e-05,1.3877787807814457e-17,-0.00011307141719310576,0.25,1.0,0.2094151950818277,0.9222261217784503,e89_cell_e72_fallback_2dc14a18
row_e72_fallback,e86,mixmin,0.6,,,1,1,0,0,0,-1.191929737442976e-05,9.666099891614266e-07,-1.5985842563348562e-05,-2.073865954876908e-05,-3.665100633325896e-05,-0.00016934878912285844,0.3333333333333333,1.0,0.3020459036570533,0.7717940192209578,e89_row_e72_fallback_78ecab2e
row_e72_fallback,e86,mixmin,0.7,,,1,1,0,0,0,-1.531513169794607e-05,-8.152034263186891e-07,-2.035688168178229e-05,-2.4773309985737235e-05,-5.096888441868952e-05,-0.00019627676458791599,0.3611111111111111,0.9722222222222222,0.3848078128177669,0.704226793235194,e89_row_e72_fallback_1437e074
row_e72_fallback,e86,mixmin,0.8,,,1,1,0,0,0,-1.8511488983907753e-05,-1.210514757987724e-06,-2.478171022735065e-05,-2.9542241966273863e-05,-9.199116371613053e-05,-0.00023007510424448706,0.5277777777777778,0.9444444444444444,0.5112622064375215,0.6542529150861711,e89_row_e72_fallback_1f508b41
row_e72_fallback,e86,mixmin,0.9,,,1,1,0,0,1,-2.1094236016150347e-05,4.992414091020692e-07,-2.895297579497136e-05,-3.482897366247073e-05,-0.00020622818039548602,-0.0002317908375984834,0.75,1.0,0.6273164303898354,0.6196701595868888,e89_row_e72_fallback_721533f1
