row_mask_kind,n,pair_p90_negative,pair_majority,old_majority,two_selector_majority,localized_sensor_candidate,best_file,best_pair_p90,best_pair_rate,best_old_p90,best_old_rate,best_bad_axis,best_movement,best_row_frac
date_block,312,167,232,0,0,8,analysis_outputs/submission_label_flow_locsensor_contrast_6b_q3_s4_block_id02_b00_s1p00_c6a978ce.csv,-1.9669354468067777e-05,0.9756756756756757,0.0005683326176001424,0.277992277992278,0.033320960940338935,0.001228913971011997,0.064
subject_complement,80,80,80,0,0,0,analysis_outputs/submission_label_flow_locsensor_contrast_6b_q3_s4_not_subject_id07_s1p00_e1c5f36d.csv,-7.376849308988854e-05,0.9702702702702702,0.0006600690031792755,0.277992277992278,0.016225567545882003,0.006229941348629328,0.88
date_block_complement,312,312,312,0,0,0,analysis_outputs/submission_label_flow_locsensor_contrast_6b_q3_s4_not_block_id07_b00_s1p00_ec45a2d0.csv,-7.129544665996338e-05,0.9675675675675676,0.0006667592088517305,0.277992277992278,0.016126729437491057,0.006563752049414176,0.94
delta_energy,24,16,16,0,0,0,analysis_outputs/submission_label_flow_locsensor_contrast_6b_q3_s4_delta_energy_top_20_s1p00_6ac43f67.csv,-6.139730865667233e-05,0.9675675675675676,0.0006700459568166339,0.277992277992278,0.019192364937506208,0.006456018882595763,0.2
delta_sign,16,16,16,0,0,0,analysis_outputs/submission_label_flow_locsensor_contrast_6b_q3_s4_s4_delta_negative_s1p00_460a4f85.csv,-5.1984025373777666e-05,0.9702702702702702,0.0006311704078862945,0.277992277992278,0.02674822902555523,0.0036755910276176544,0.144
subject_energy,16,16,16,0,0,0,analysis_outputs/submission_label_flow_locsensor_conservative_1bb_q3_s4_subject_energy_high_half_s1p00_0829ab1b.csv,-4.532201151874131e-05,0.972972972972973,0.0006048666058690033,0.277992277992278,0.021197480392277143,0.004131065975208203,0.496
subject_phase,40,40,40,0,0,0,analysis_outputs/submission_label_flow_locsensor_contrast_6b_q3_s4_subject_phase_first_half_s1p00_f8b55f2f.csv,-4.459457308787648e-05,0.9675675675675676,0.0006198040044332886,0.277992277992278,0.0317351325460172,0.00390541691702426,0.488
global_tertile,24,24,24,0,0,0,analysis_outputs/submission_label_flow_locsensor_contrast_6b_q3_s4_global_tertile_1_s1p00_ff808add.csv,-3.6203571255408915e-05,0.9702702702702702,0.000601277984787818,0.277992277992278,0.0293768247936936,0.0030730494549114115,0.332
calendar,16,16,16,0,0,0,analysis_outputs/submission_label_flow_locsensor_conservative_1bb_q3_s4_weekday_s1p00_abec76d8.csv,-3.544794792603267e-05,0.9675675675675676,0.0006038925493605518,0.277992277992278,0.0239970587680583,0.0043916357274944706,0.728
global_quintile,40,40,40,0,0,0,analysis_outputs/submission_label_flow_locsensor_conservative_1bb_q3_s4_global_quintile_2_s1p00_14efdc6d.csv,-2.4452550101108497e-05,0.972972972972973,0.0005645967391901818,0.277992277992278,0.03244188211716364,0.002163936031737452,0.2
subject,80,80,80,0,0,0,analysis_outputs/submission_label_flow_locsensor_contrast_6b_q3_s4_subject_id02_s1p00_adea3aeb.csv,-1.9884061914759525e-05,0.9756756756756757,0.000568284371129546,0.277992277992278,0.033295720883128765,0.0012416373412168936,0.128
