group,n_targets,mean_entropy,mean_subject_loo_logloss_gain,mean_subject_rate_var,mean_icc_proxy,mean_same_label_rate_gap_le7,mean_persistence_lift_gap_le7,mean_transition_contrast
Q_targets,3,0.6838344003176022,0.020145911801906318,0.020312668771673363,0.08242847396736011,0.6449612403100775,0.13570033496028325,0.27665522207413135
S_targets,4,0.6493548567667196,0.06872387187703358,0.04037592702269294,0.17728894132439393,0.6302325581395349,0.0872547803617571,0.18754093531958466
E95_active_axis,4,0.6492183717228031,0.06239294701885445,0.03669770324848415,0.1623828303417959,0.6465116279069767,0.10339804766006314,0.22110690403087635
E95_inactive_axis,3,0.6840163803761575,0.028587144946145154,0.02521696713728509,0.10230328861082416,0.6232558139534884,0.11417597856254187,0.23190059712574237
