name,role,source,file,mean_abs_logit_move_vs_mixmin,all__worlds,all__better_rate,all__median_delta,all__p90_delta,all__max_delta,raw_energy_half__worlds,raw_energy_half__better_rate,raw_energy_half__median_delta,raw_energy_half__p90_delta,raw_energy_half__max_delta,raw_energy_quarter__worlds,raw_energy_quarter__better_rate,raw_energy_quarter__median_delta,raw_energy_quarter__p90_delta,raw_energy_quarter__max_delta,low_slack_half__worlds,low_slack_half__better_rate,low_slack_half__median_delta,low_slack_half__p90_delta,low_slack_half__max_delta,strict_gate,score
bridge_mixmin_s1p00,raw_structure_bridge_variant,E52_top_signs,analysis_outputs/bridge_scan_candidates/submission_bridge_mixmin_s1p00.csv,3.852771276616603e-17,45,0.06666666666666667,0.0,0.0,1.1102230246251565e-16,22,0.09090909090909091,0.0,0.0,1.1102230246251565e-16,11,0.0,0.0,0.0,0.0,22,0.09090909090909091,0.0,0.0,0.0,False,0.0
bridge_blend_m0p75_s1p25,raw_structure_bridge_variant,E52_top_signs,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p75_s1p25.csv,0.003522450896478265,45,0.26666666666666666,7.485512466431921e-06,3.4833323312688515e-05,4.5378080914981744e-05,22,0.13636363636363635,2.3088170224838667e-05,3.945546292863922e-05,4.5378080914981744e-05,11,0.0,1.1892467296270581e-05,3.553006040457607e-05,4.097626642307617e-05,22,0.22727272727272727,8.437273874895013e-06,3.0185064934440403e-05,4.5378080914981744e-05,False,2.4993619334862105e-05
direns_c4af,direns_c4af,E26_candidates,analysis_outputs/submission_direns_c4af1fd8.csv,0.0019142675514613008,45,0.17777777777777778,4.738197722564674e-05,0.0001237340592436631,0.00015901004365415083,22,0.0,0.00011025806610237554,0.00015173074738298326,0.00015901004365415083,11,0.0,0.0001079084649912021,0.00015872623182000556,0.00015901004365415083,22,0.22727272727272727,3.266578349958582e-05,0.00012199185573201768,0.00015872623182000556,False,0.0001639229146959964
bridge_blend_m0p75_s1p00,raw_structure_bridge_variant,E52_top_signs,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p75_s1p00.csv,0.010091082471241018,45,0.0,0.0001892213993280878,0.00021343142799854498,0.00023136132514056662,22,0.0,0.00019950302698168443,0.00021947965860141805,0.00023136132514056662,11,0.0,0.0001956130653057997,0.00021226592356105023,0.0002142084309568748,22,0.0,0.00018831484551296018,0.00021380363229304145,0.0002246230145872552,False,0.00034283696895254234
targetabl_q3s234,targetabl_q3s234,E26_candidates,analysis_outputs/submission_targetabl_1049b8e7.csv,0.020159067534939953,45,0.022222222222222223,0.0003399631238334422,0.0009409765806547956,0.0012133382670025394,22,0.0,0.00013595117879566798,0.00034752005180452853,0.0011214153577273622,11,0.0,0.00011434287488221173,0.00034835971046798253,0.00034835971046798253,22,0.0,0.00040873001827651523,0.0010953515597745605,0.0012133382670025394,False,0.000405797811637465
bridge_mixmin_s0p75,raw_structure_bridge_variant,E52_top_signs,analysis_outputs/bridge_scan_candidates/submission_bridge_mixmin_s0p75.csv,0.011403550000559337,45,0.0,0.00022890766123373485,0.00024655705009712925,0.00025931044172167184,22,0.0,0.00023235757677436686,0.00024724338899434484,0.00025931044172167184,11,0.0,0.00024127804747464676,0.00024655705009712925,0.0002493550067335093,22,0.0,0.00022890215417398219,0.0002448254357439228,0.00024731964887181324,False,0.00041736838708592017
bridge_blend_m0p50_s1p25,raw_structure_bridge_variant,E52_top_signs,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p50_s1p25.csv,0.013997473471350804,45,0.0,0.0002538326775213262,0.00030512882479092344,0.00033388448944804416,22,0.0,0.0002814881580101014,0.0003210533266665317,0.00033388448944804416,11,0.0,0.0002769705786539456,0.00030195131643862005,0.00031140446212007955,22,0.0,0.00025335423488986875,0.0003067175789670751,0.00033388448944804416,False,0.000479135525208535
bridge_blend_m0p75_s0p75,raw_structure_bridge_variant,E52_top_signs,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p75_s0p75.csv,0.01896988419486516,45,0.0,0.00038596500569110237,0.00042523491971513394,0.00045230986252453587,22,0.0,0.0004034730918450191,0.0004270519557984298,0.00045230986252453587,11,0.0,0.0004043188368847428,0.00042523491971513394,0.00042532915438819874,22,0.0,0.0003856129543450826,0.0004239742076575848,0.00042968072660753975,False,0.0007034340439860676
bridge_blend_m0p50_s1p00,raw_structure_bridge_variant,E52_top_signs,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p50_s1p00.csv,0.02018216494248201,45,0.0,0.0004041723596066582,0.00045259241694748373,0.0004884522112318379,22,0.0,0.00042473561491362943,0.00046468887815339646,0.0004884522112318379,11,0.0,0.00041695569156185996,0.00045026140807236104,0.00045414642286423224,22,0.0,0.000402359251976403,0.0004533368255365655,0.000474975590124771,False,0.0007307006695681517
bridge_mixmin_s0p50,raw_structure_bridge_variant,E52_top_signs,analysis_outputs/bridge_scan_candidates/submission_bridge_mixmin_s0p50.csv,0.02280710000111867,45,0.0,0.0004941731927422532,0.000529471970468931,0.0005549787537182382,22,0.0,0.0005010730238234062,0.000530844648263562,0.0005549787537182382,11,0.0,0.000518913965223855,0.000529471970468931,0.0005350678837416911,22,0.0,0.0004941621786226924,0.0005260087417625403,0.000530997168018521,False,0.000898363047152434
