basename,source_path,episode,target,view_id,split,rule,scale,source_delta_logloss,source_robust_gate,source_dominance,source_min_mode_dominance,nonzero_rows,mean_abs_delta,max_abs_delta,signed_delta_sum,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current,old_promotion_decision,old_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,null_count,null_strict_rate,p90_dominance,mean_dominance,worst_mode_p90_dominance,public_free_submission_ready,final_decision
submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s010_98acd6c1.csv,analysis_outputs/submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s010_98acd6c1.csv,bedtime_arousal,S1,raw_human_context,dateblock5,all_centered,0.1,-0.0069148643143257,True,0.9947916666666666,0.984375,250,0.0220011180175644,0.065,0.4835927132035507,promote_candidate,True,False,-0.00015528596071271014,-0.00023560091455084462,-8.32416644207827e-05,0.9411764705882353,-0.002012726061676684,promote_candidate,True,-0.00015528596071271014,-0.00023560091455084462,-8.32416644207827e-05,0.9411764705882353,21,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.8571428571428571,False,blocked_by_matched_nulls
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s030_f8fc2700.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s030_f8fc2700.csv,routine_fragmentation,S1,raw_human_context,dateblock5,all_centered,0.3,-0.0098040291797294,True,0.9947916666666666,0.984375,250,0.07087287303659784,0.195,2.0302821820118444,promote_candidate,True,False,-0.0012843998199157695,-0.0018249092220128937,-0.0005654749762100364,0.9411764705882353,-0.0019812112926259062,promote_candidate,True,-0.0012843998199157695,-0.0018249092220128937,-0.0005654749762100364,0.9411764705882353,21,0.9047619047619048,0.9047619047619048,0.6666666666666666,0.7142857142857143,False,blocked_by_matched_nulls
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s010_c5e3baaf.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s010_c5e3baaf.csv,routine_fragmentation,S1,raw_human_context,dateblock5,all_centered,0.1,-0.0098040291797294,True,0.9947916666666666,0.984375,250,0.02362429101219928,0.065,0.6767607273372814,promote_candidate,True,False,-0.00027258585228386663,-0.00036323844938220906,-9.636906240105195e-05,0.9411764705882353,-0.0006604037642085059,promote_candidate,True,-0.00027258585228386663,-0.00036323844938220906,-9.636906240105195e-05,0.9411764705882353,21,0.9047619047619048,0.9047619047619048,0.8095238095238095,0.7142857142857143,False,blocked_by_matched_nulls
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s022_7c891264.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s022_7c891264.csv,routine_fragmentation,S1,raw_human_context,dateblock5,all_centered,0.22,-0.0098040291797294,True,0.9947916666666666,0.984375,250,0.05197344022683842,0.14300000000000002,1.4888736001420186,promote_candidate,True,False,-0.0008381817482133008,-0.0011724726351824129,-0.0003524736247902426,0.9411764705882353,-0.0014528882812590016,promote_candidate,True,-0.0008381817482133008,-0.0011724726351824129,-0.0003524736247902426,0.9411764705882353,21,0.9523809523809523,0.9047619047619048,0.8571428571428571,0.7142857142857143,False,blocked_by_matched_nulls
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs64_s022_9f144823.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs64_s022_9f144823.csv,routine_fragmentation,S1,raw_human_context,dateblock5,topabs64,0.22,-0.0098040291797294,True,0.9947916666666666,0.984375,64,0.027608526677112947,0.14300000000000002,1.61378479911301,promote_candidate,True,False,-0.0006577731416782523,-0.0008740028611487339,-0.00021564151394524295,0.9411764705882353,-0.004409873137613429,promote_candidate,True,-0.0006577731416782523,-0.0008740028611487339,-0.00021564151394524295,0.9411764705882353,21,0.9523809523809523,0.8571428571428571,0.6666666666666666,0.8571428571428571,False,blocked_by_matched_nulls
submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_topabs64_s015_3828136b.csv,analysis_outputs/submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_topabs64_s015_3828136b.csv,bedtime_arousal,S1,raw_human_context,dateblock5,topabs64,0.15,-0.0069148643143257,True,0.9947916666666666,0.984375,64,0.017429317127949963,0.0975,0.8704939333737882,promote_candidate,True,False,-0.0002446033527201181,-0.0003390269859551769,-0.00010005088636738028,0.9411764705882353,-0.0025857141750847135,promote_candidate,True,-0.0002446033527201181,-0.0003390269859551769,-0.00010005088636738028,0.9411764705882353,21,0.9523809523809523,0.7619047619047619,0.38095238095238093,0.5714285714285714,False,blocked_by_matched_nulls
submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_pos_top24_s030_7c09f232.csv,analysis_outputs/submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_pos_top24_s030_7c09f232.csv,bedtime_arousal,S1,raw_human_context,dateblock5,pos_top24,0.3,-0.0069148643143257,True,0.9947916666666666,0.984375,24,0.016014165106191115,0.195,4.003541276547779,promote_candidate,True,False,-0.0007070334677411065,-0.0010476021528997243,-8.102777567220329e-05,0.9117647058823529,-0.010493438461453897,promote_candidate,True,-0.0007070334677411065,-0.0010476021528997243,-8.102777567220329e-05,0.9117647058823529,21,0.9523809523809523,0.8095238095238095,0.23809523809523808,0.7142857142857143,False,blocked_by_matched_nulls
submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s030_11e075f1.csv,analysis_outputs/submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s030_11e075f1.csv,bedtime_arousal,S1,raw_human_context,dateblock5,all_centered,0.3,-0.0069148643143257,True,0.9947916666666666,0.984375,250,0.0660033540526932,0.195,1.4507781396106527,promote_candidate,True,False,-0.0009241382382179509,-0.0014307386784359157,-0.000525463068292734,0.9411764705882353,-0.0060381781850298855,promote_candidate,True,-0.0009241382382179509,-0.0014307386784359157,-0.000525463068292734,0.9411764705882353,21,1.0,0.9047619047619048,0.23809523809523808,0.8571428571428571,False,blocked_by_matched_nulls
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs64_s030_e87583ab.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs64_s030_e87583ab.csv,routine_fragmentation,S1,raw_human_context,dateblock5,topabs64,0.3,-0.0098040291797294,True,0.9947916666666666,0.984375,64,0.03764799092333584,0.195,2.200615635154105,promote_candidate,True,False,-0.000966458577636737,-0.001283187068318411,-0.0003366568028154841,0.9411764705882353,-0.006013463369472838,promote_candidate,True,-0.000966458577636737,-0.001283187068318411,-0.0003366568028154841,0.9411764705882353,21,1.0,0.38095238095238093,0.3333333333333333,0.2857142857142857,False,blocked_by_matched_nulls
submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_topabs64_s030_8582e4d0.csv,analysis_outputs/submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_topabs64_s030_8582e4d0.csv,bedtime_arousal,S1,raw_human_context,dateblock5,topabs64,0.3,-0.0069148643143257,True,0.9947916666666666,0.984375,64,0.034858634255899926,0.195,1.7409878667475764,promote_candidate,True,False,-0.0007000593719604245,-0.0010108991680374121,-0.00032278244844565873,0.9411764705882353,-0.005171428350169649,promote_candidate,True,-0.0007000593719604245,-0.0010108991680374121,-0.00032278244844565873,0.9411764705882353,21,1.0,0.6666666666666666,0.047619047619047616,0.5714285714285714,False,blocked_by_matched_nulls
