strategy,fallback,target_scope,rows,strict_like,e101_pass,best_local_delta,best_broad_mean_vs_e95,best_broad_q2s3_mean_vs_e95,best_broad_beat_e95
e95_q2s3_tail_graft,e85,q2,68,68,11,-2.6223244055101347e-05,-1.5374637431535673e-06,-5.705600089781476e-06,1.0
e95_q2s3_tail_graft,e89,q2,68,68,11,-2.6223244055101347e-05,-1.5374637431535673e-06,-5.705600089781476e-06,1.0
e95_q2s3_tail_graft,mixmin,q2,68,68,11,-2.6223244055101347e-05,-1.5374637431535673e-06,-5.705600089781476e-06,1.0
e95_q2s3_tail_graft,mixmin,q2s3,68,52,9,-2.6211417853971852e-05,-5.671115874496575e-05,-9.841288939017509e-05,1.0
e95_q2s3_tail_graft,mixmin,s3,68,53,4,-2.6188514185898626e-05,-5.5292666209330024e-05,-9.357578912435687e-05,0.9733487833140209
e95_q2s3_tail_graft,e85,q2s3,68,68,4,-2.6211417853971852e-05,-1.5169387708910777e-06,-5.713388885633799e-06,1.0
e95_q2s3_tail_graft,e89,q2s3,68,68,4,-2.6211417853971852e-05,-1.5169387708910777e-06,-5.713388885633799e-06,1.0
e95_q2s3_tail_graft,e85,s3,68,68,0,-2.6207391227939247e-05,-1.0469317850142223e-08,-4.411603308635236e-08,0.1853997682502897
e95_q2s3_tail_graft,e89,s3,68,68,0,-2.6207391227939247e-05,-1.0469317850142223e-08,-4.411603308635236e-08,0.1853997682502897
control,,,6,0,0,-2.7705869828476004e-05,4.435812413452495e-18,-5.030485736463722e-06,0.19582850521436848
