unit_type,feature_set,model,n_units,n_features,top10_truth_mass,top10_enrichment,top10_capture_ratio,top10_overlap,top20_truth_mass,top20_enrichment,top20_capture_ratio,top20_overlap,js,cosine,pearson,spearman,top10_profile
block_target,all_raw_views_raw_pred,ridge,252,1030,0.3326979987385304,3.326979987385304,0.7096524751154384,0.46153846153846156,0.4924246965296653,2.4621234826483263,0.7323901768317979,0.5490196078431373,0.1327946090397848,0.6997254516484962,0.5630255433346457,0.6473586884455385,"Q1:9,Q3:10,S2:1,S3:2,S4:4"
block_family,metadata,knn8,108,24,0.32713116057147695,3.2713116057147693,0.8810420077686624,0.5454545454545454,0.4553775875822885,2.2768879379114426,0.7957141693231897,0.5454545454545454,0.05074273621420746,0.8579671447593339,0.7343802431076885,0.7990797107662408,"Q1Q3:10,other:1"
block_target,night_all_raw,ridge,252,152,0.3236094875981763,3.236094875981763,0.6902664720426175,0.4230769230769231,0.4661606756035774,2.3308033780178867,0.6933273291193807,0.5098039215686274,0.13263908059238397,0.6969152990723138,0.5322106620794934,0.6186940494579853,"Q1:9,Q3:10,S2:1,S3:3,S4:3"
block_target,metadata,ridge,252,28,0.32272148803063433,3.227214880306343,0.6883723485630745,0.4230769230769231,0.49483072609343387,2.4741536304671694,0.7359686984414768,0.5490196078431373,0.12063005190300505,0.7270344928236077,0.5944019713893045,0.6680037075026163,"Q1:6,Q2:1,Q3:10,S2:3,S3:3,S4:3"
block_target,all_raw_views_raw,ridge,252,964,0.3226655846777415,3.2266558467774145,0.6882531054269628,0.4230769230769231,0.4917660924197543,2.458830462098771,0.7314106256762217,0.5490196078431373,0.13224538459299987,0.7014370310559521,0.5677187534127527,0.6536262075795712,"Q1:9,Q3:10,S2:1,S3:3,S4:3"
block_family,prediction_geometry,knn8,108,90,0.3066318992875939,3.0663189928759387,0.8258326223717596,0.45454545454545453,0.4817463901765507,2.4087319508827534,0.8417902837928087,0.6363636363636364,0.0683793433226467,0.8268632025229475,0.6689727892028785,0.6705154953461564,"Q1Q3:7,other:3,Q2S3:1"
block_family,all_raw_views_raw_pred,ridge,108,1026,0.30645970902660385,3.064597090266038,0.8253688730517748,0.45454545454545453,0.4636086891489425,2.318043445744712,0.810096967959588,0.5909090909090909,0.07854715554779584,0.7899495135045977,0.6335554975691006,0.730324768736841,"Q1Q3:9,other:2"
block_target,night_all_raw_pred,ridge,252,218,0.3041451003447661,3.0414510034476607,0.6487484868327226,0.4230769230769231,0.4409306073655492,2.2046530368277457,0.655802293781892,0.49019607843137253,0.13577855334113803,0.6884393927868366,0.5115303375546301,0.6008175971205593,"Q1:8,Q3:10,S2:2,S3:3,S4:3"
block_family,all_raw_views_raw,ridge,108,960,0.29218265069343285,2.9218265069343285,0.7869173598516469,0.45454545454545453,0.45027197042603706,2.251359852130185,0.786792755478608,0.5909090909090909,0.07787217004725669,0.7922291484979025,0.6401577132925511,0.7296293120695074,"Q1Q3:9,other:2"
block_family,night_mobility_raw_pred,knn8,108,214,0.2864308442628927,2.864308442628927,0.7714263773447924,0.36363636363636365,0.42373150554146977,2.1186575277073487,0.7404166830829534,0.5,0.08047067730457913,0.7791343631928929,0.5618578848360113,0.6472319871959759,"Q1Q3:6,other:3,Q2S3:2"
block_target,night_mobility_raw,ridge,252,152,0.28429442161863877,2.8429442161863876,0.6064065330363946,0.38461538461538464,0.4589871319322051,2.294935659661025,0.6826580167249922,0.45098039215686275,0.14008573912691544,0.6868467886926602,0.5118003188819286,0.5625810811305698,"Q1:8,Q2:1,Q3:9,S1:1,S2:2,S3:2,S4:3"
block_target,prediction_geometry,ridge,252,94,0.28069375245249223,2.806937524524922,0.5987262229788763,0.3076923076923077,0.47088014343308654,2.3544007171654324,0.7003466599989357,0.5098039215686274,0.13493137401851701,0.695163742129299,0.521917199477968,0.5646436333414045,"Q1:7,Q3:12,S2:1,S3:2,S4:4"
block_target,night_mobility_raw_pred,ridge,252,218,0.27996603924099683,2.7996603924099683,0.5971739939793933,0.38461538461538464,0.4526560539631668,2.263280269815834,0.673241715418503,0.47058823529411764,0.13772496673898219,0.6866254485618583,0.5077271640212961,0.5708042941987443,"Q1:8,Q3:9,S2:2,S3:3,S4:4"
block_family,night_mobility_raw_pred,ridge,108,214,0.2603755615179529,2.6037556151795287,0.7012533049218544,0.36363636363636365,0.38896152277230994,1.9448076138615495,0.6796605793330206,0.5,0.08432065372850267,0.7735717783537561,0.5661194268956006,0.6431735688359198,"Q1Q3:8,other:2,Q2S3:1"
block_family,night_all_raw,ridge,108,148,0.258032055913417,2.5803205591341696,0.694941687039197,0.36363636363636365,0.44820950268042026,2.2410475134021013,0.7831888565303253,0.5909090909090909,0.07811519078451312,0.7874403453071511,0.602547711180287,0.693732315870702,"Q1Q3:7,other:3,Q2S3:1"
block_total,night_mobility_raw_pred,knn8,36,211,0.25709378566735125,2.5709378566735124,0.8394646091410779,0.75,0.47249340999881856,2.3624670499940925,0.9052920892111841,0.625,0.0359352737868192,0.9104424773748082,0.773284926840248,0.7804375804375805,"id01:2,id07:2"
block_family,metadata,ridge,108,24,0.2526917107405277,2.5269171074052768,0.6805588675453872,0.2727272727272727,0.47726530757989055,2.3863265378994525,0.8339601643198655,0.5909090909090909,0.06510191171168644,0.8206344644603356,0.6755675280798363,0.7657835319671896,"Q1Q3:6,other:3,Q2S3:2"
block_total,night_all_raw_pred,knn8,36,211,0.2517087903589811,2.5170879035898106,0.8218814809840383,0.75,0.41095109895839704,2.0547554947919853,0.7873777095443714,0.5,0.03284597231676785,0.9123767841718788,0.7758698685294965,0.7935649935649937,"id07:2,id01:1,id02:1"
block_family,night_mobility_raw,ridge,108,148,0.24904704624800844,2.490470462480084,0.6707429193595809,0.36363636363636365,0.4417432642593557,2.2087163212967784,0.7718899308164344,0.5454545454545454,0.08279406471450812,0.7838443095696372,0.5860586945257809,0.6353711166366572,"Q1Q3:6,other:3,Q2S3:2"
block_family,night_all_raw_pred,ridge,108,214,0.24191554931599843,2.4191554931599843,0.6515361022395061,0.2727272727272727,0.4131915331553357,2.0659576657766783,0.7219994275995432,0.5454545454545454,0.08254223653397835,0.7746509718374831,0.5683009505287769,0.6579591681195043,"Q1Q3:7,other:3,Q2S3:1"
block_target,night_mobility_raw_pred,knn8,252,218,0.23966360990691263,2.3966360990691262,0.5112079862530426,0.2692307692307692,0.38043734004040175,1.9021867002020088,0.5658298064845803,0.39215686274509803,0.13385033610754835,0.6688490549618433,0.4364306348042052,0.5558088909774889,"Q1:6,Q2:2,Q3:6,S1:2,S2:2,S3:4,S4:4"
